#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30467at50557_144034_0:0022a4|STRG.13851.1:55-2184|+   -            710 30467at50557         -            614         0 1058.2   8.2   1   1         0         0 1057.9   8.2     8   614    31   708    23   708 0.92 -
40115at50557_28612_0:000941|STRG.21446.3:39-890|+     -            284 30467at50557         -            614   5.5e-10   37.1   0.0   1   3   1.1e-05    0.0018   15.6   0.0   167   256    37   128    27   131 0.76 -
40115at50557_28612_0:000941|STRG.21446.3:39-890|+     -            284 30467at50557         -            614   5.5e-10   37.1   0.0   2   3   2.2e-05    0.0035   14.7   0.0   212   259   128   173   122   178 0.88 -
40115at50557_28612_0:000941|STRG.21446.3:39-890|+     -            284 30467at50557         -            614   5.5e-10   37.1   0.0   3   3     0.028       4.5    4.4   0.0   185   249   178   247   174   278 0.62 -
40115at50557_28612_0:000941|STRG.21446.1:0-911|+      -            304 30467at50557         -            614   7.6e-10   36.7   0.0   1   3   1.3e-05    0.0021   15.4   0.0   167   256    57   148    47   151 0.76 -
40115at50557_28612_0:000941|STRG.21446.1:0-911|+      -            304 30467at50557         -            614   7.6e-10   36.7   0.0   2   3   2.5e-05    0.0041   14.4   0.0   212   259   148   193   142   196 0.87 -
40115at50557_28612_0:000941|STRG.21446.1:0-911|+      -            304 30467at50557         -            614   7.6e-10   36.7   0.0   3   3     0.031       5.1    4.2   0.0   185   249   198   267   194   298 0.62 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+     -            286 30467at50557         -            614   1.1e-09   36.1   0.1   1   2   1.3e-08   2.1e-06   25.3   0.2   185   259    95   174    72   177 0.79 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+     -            286 30467at50557         -            614   1.1e-09   36.1   0.1   2   2    0.0011      0.18    9.0   0.0   183   251   177   250   172   280 0.67 -
31374at50557_116153_0:0023e9|STRG.21446.2:60-665|+    -            202 30467at50557         -            614   8.3e-09   33.2   0.0   1   2   5.4e-06   0.00088   16.6   0.0   167   256    37   128    27   131 0.76 -
31374at50557_116153_0:0023e9|STRG.21446.2:60-665|+    -            202 30467at50557         -            614   8.3e-09   33.2   0.0   2   2   1.2e-05    0.0019   15.5   0.0   212   259   128   173   122   181 0.88 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+    -            286 30467at50557         -            614   8.8e-09   33.2   0.2   1   3      0.65     1e+02   -0.1   0.0   476   505    49    78     8    91 0.70 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+    -            286 30467at50557         -            614   8.8e-09   33.2   0.2   2   3   1.1e-06   0.00019   18.9   0.4   186   257    94   170    71   173 0.77 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+    -            286 30467at50557         -            614   8.8e-09   33.2   0.2   3   3   0.00029     0.048   10.9   0.0   182   251   173   246   167   275 0.80 -
80377at50557_166361_0:002fc1|STRG.21442.2:1270-2037|+ -            256 30467at50557         -            614   1.2e-07   29.4   0.2   1   3       0.5        81    0.2   0.0   476   505    65    94    21   106 0.68 -
80377at50557_166361_0:002fc1|STRG.21442.2:1270-2037|+ -            256 30467at50557         -            614   1.2e-07   29.4   0.2   2   3   8.3e-07   0.00013   19.3   0.4   186   257   110   186    87   191 0.78 -
80377at50557_166361_0:002fc1|STRG.21442.2:1270-2037|+ -            256 30467at50557         -            614   1.2e-07   29.4   0.2   3   3    0.0071       1.2    6.3   0.0   182   236   189   249   184   254 0.78 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+   -            289 30467at50557         -            614     2e-06   25.4   0.4   1   3    0.0013      0.21    8.7   0.0   187   251    11    80     5    87 0.55 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+   -            289 30467at50557         -            614     2e-06   25.4   0.4   2   3     0.032       5.2    4.2   0.0   216   252    89   123    81   131 0.83 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+   -            289 30467at50557         -            614     2e-06   25.4   0.4   3   3     0.019         3    5.0   0.1   445   506   182   251   180   263 0.50 -
80377at50557_568069_0:004eea|STRG.6000.1:60-914|+     -            285 30467at50557         -            614   3.7e-06   24.5   0.1   1   2      0.54        87    0.1   0.0   476   504    10    38     3    72 0.77 -
80377at50557_568069_0:004eea|STRG.6000.1:60-914|+     -            285 30467at50557         -            614   3.7e-06   24.5   0.1   2   2   4.1e-05    0.0067   13.7   0.0   476   522   179   225   158   235 0.85 -
78072at50557_7070_0:002a52|STRG.22048.1:429-1271|+    -            281 30467at50557         -            614   6.9e-06   23.6   0.7   1   4      0.34        55    0.8   0.0   480   502     4    26     1    39 0.78 -
78072at50557_7070_0:002a52|STRG.22048.1:429-1271|+    -            281 30467at50557         -            614   6.9e-06   23.6   0.7   2   4     8e-05     0.013   12.8   0.1   186   255    45   118    31   122 0.78 -
78072at50557_7070_0:002a52|STRG.22048.1:429-1271|+    -            281 30467at50557         -            614   6.9e-06   23.6   0.7   3   4     0.041       6.7    3.8   0.0   217   252   124   159   119   175 0.89 -
78072at50557_7070_0:002a52|STRG.22048.1:429-1271|+    -            281 30467at50557         -            614   6.9e-06   23.6   0.7   4   4      0.18        29    1.7   0.0   474   501   167   194   160   226 0.77 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+  -            305 30467at50557         -            614   9.5e-06   23.1   2.6   1   4       0.3        49    1.0   0.0   472   504    45    77     5    87 0.69 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+  -            305 30467at50557         -            614   9.5e-06   23.1   2.6   2   4    0.0049      0.79    6.9   0.0   213   256    87   128    79   139 0.79 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+  -            305 30467at50557         -            614   9.5e-06   23.1   2.6   3   4       0.2        32    1.6   0.0   217   257   133   171   123   185 0.78 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+  -            305 30467at50557         -            614   9.5e-06   23.1   2.6   4   4   0.00022     0.036   11.3   0.1   440   501   238   304   213   305 0.76 -
42371at50557_34720_0:000328|STRG.5876.3:104-1165|+    -            354 30467at50557         -            614   1.5e-05   22.5   0.0   1   2    0.0057      0.92    6.7   0.0   186   250    39   114    27   128 0.75 -
42371at50557_34720_0:000328|STRG.5876.3:104-1165|+    -            354 30467at50557         -            614   1.5e-05   22.5   0.0   2   2   4.1e-05    0.0066   13.7   0.0   398   514   128   247   120   252 0.86 -
80377at50557_104688_0:000c4b|STRG.22549.2:108-659|+   -            184 30467at50557         -            614   2.7e-05   21.6   0.3   1   3      0.03       4.8    4.3   0.0   196   251    15    68    11    73 0.84 -
80377at50557_104688_0:000c4b|STRG.22549.2:108-659|+   -            184 30467at50557         -            614   2.7e-05   21.6   0.3   2   3    0.0053      0.86    6.8   0.0   216   253    93   128    81   134 0.79 -
80377at50557_104688_0:000c4b|STRG.22549.2:108-659|+   -            184 30467at50557         -            614   2.7e-05   21.6   0.3   3   3   6.5e-05      0.01   13.1   0.2   443   519    99   181    94   184 0.73 -
42371at50557_520822_0:00190c|STRG.5876.2:509-2329|+   -            607 30467at50557         -            614   8.7e-05   19.9   0.0   1   2     0.014       2.3    5.4   0.0   186   249   292   366   279   375 0.75 -
42371at50557_520822_0:00190c|STRG.5876.2:509-2329|+   -            607 30467at50557         -            614   8.7e-05   19.9   0.0   2   2   0.00011     0.018   12.3   0.0   399   514   382   500   376   505 0.85 -
42371at50557_520822_0:00190c|STRG.5876.1:509-2332|+   -            608 30467at50557         -            614   8.7e-05   19.9   0.0   1   2     0.014       2.3    5.4   0.0   186   249   293   367   280   376 0.75 -
42371at50557_520822_0:00190c|STRG.5876.1:509-2332|+   -            608 30467at50557         -            614   8.7e-05   19.9   0.0   2   2   0.00011     0.018   12.3   0.0   399   514   383   501   377   506 0.85 -
78072at50557_29053_0:0017f4|STRG.16575.1:389-943|+    -            185 30467at50557         -            614   0.00011   19.6   0.5   1   1     8e-07   0.00013   19.4   0.5   216   315    36   146     1   163 0.76 -
31374at50557_133901_0:001035|STRG.11576.4:1018-1998|+ -            327 30467at50557         -            614   0.00024   18.5   0.0   1   1   8.5e-06    0.0014   16.0   0.0   187   284   173   283   170   288 0.63 -
49370at50557_2015173_0:001990|STRG.14034.2:465-1451|+ -            329 30467at50557         -            614   0.00026   18.4   0.0   1   2   0.00098      0.16    9.2   0.0   216   263    41    86    31    99 0.86 -
49370at50557_2015173_0:001990|STRG.14034.2:465-1451|+ -            329 30467at50557         -            614   0.00026   18.4   0.0   2   2    0.0047      0.76    6.9   0.0   211   257   166   212   155   216 0.88 -
49370at50557_2015173_0:001990|STRG.14034.4:60-1046|+  -            329 30467at50557         -            614   0.00026   18.4   0.0   1   2   0.00098      0.16    9.2   0.0   216   263    41    86    31    99 0.86 -
49370at50557_2015173_0:001990|STRG.14034.4:60-1046|+  -            329 30467at50557         -            614   0.00026   18.4   0.0   2   2    0.0047      0.76    6.9   0.0   211   257   166   212   155   216 0.88 -
31374at50557_133901_0:001035|STRG.11576.1:443-1987|+  -            515 30467at50557         -            614   0.00067   17.0   0.0   1   1   1.1e-05    0.0018   15.6   0.0   186   283   360   470   343   476 0.54 -
31374at50557_133901_0:001035|STRG.11576.2:539-2083|+  -            515 30467at50557         -            614   0.00067   17.0   0.0   1   1   1.1e-05    0.0018   15.6   0.0   186   283   360   470   343   476 0.54 -
31374at50557_133901_0:001035|STRG.11576.3:443-1987|+  -            515 30467at50557         -            614   0.00067   17.0   0.0   1   1   1.1e-05    0.0018   15.6   0.0   186   283   360   470   343   476 0.54 -
40115at50557_108931_0:001d6b|STRG.22478.1:942-1979|+  -            346 30467at50557         -            614     0.001   16.4   0.7   1   3     0.023       3.7    4.6   0.0   187   257    73   147    66   207 0.61 -
40115at50557_108931_0:001d6b|STRG.22478.1:942-1979|+  -            346 30467at50557         -            614     0.001   16.4   0.7   2   3     0.021       3.3    4.8   0.0   475   505   192   222   177   247 0.79 -
40115at50557_108931_0:001d6b|STRG.22478.1:942-1979|+  -            346 30467at50557         -            614     0.001   16.4   0.7   3   3     0.013       2.2    5.4   0.1   167   256   217   322   213   331 0.57 -
40115at50557_108931_0:001d6b|STRG.22478.2:438-1475|+  -            346 30467at50557         -            614     0.001   16.4   0.7   1   3     0.023       3.7    4.6   0.0   187   257    73   147    66   207 0.61 -
40115at50557_108931_0:001d6b|STRG.22478.2:438-1475|+  -            346 30467at50557         -            614     0.001   16.4   0.7   2   3     0.021       3.3    4.8   0.0   475   505   192   222   177   247 0.79 -
40115at50557_108931_0:001d6b|STRG.22478.2:438-1475|+  -            346 30467at50557         -            614     0.001   16.4   0.7   3   3     0.013       2.2    5.4   0.1   167   256   217   322   213   331 0.57 -
49370at50557_79782_0:001886|STRG.18791.1:930-1919|+   -            330 30467at50557         -            614    0.0011   16.3   0.0   1   3   0.00026     0.042   11.1   0.0   215   273    43   106    26   107 0.76 -
49370at50557_79782_0:001886|STRG.18791.1:930-1919|+   -            330 30467at50557         -            614    0.0011   16.3   0.0   2   3    0.0096       1.6    5.9   0.0   187   237    93   150    84   167 0.73 -
49370at50557_79782_0:001886|STRG.18791.1:930-1919|+   -            330 30467at50557         -            614    0.0011   16.3   0.0   3   3       6.2     1e+03   -3.4   0.0   218   251   256   288   249   326 0.68 -
78072at50557_34720_0:000cf9|STRG.17034.1:162-1169|+   -            336 30467at50557         -            614    0.0011   16.3   0.6   1   2     3e-05    0.0049   14.2   0.1   432   503    58   136    12   181 0.73 -
78072at50557_34720_0:000cf9|STRG.17034.1:162-1169|+   -            336 30467at50557         -            614    0.0011   16.3   0.6   2   2       1.5   2.4e+02   -1.3   0.0   476   501   199   224   184   227 0.78 -
31374at50557_217634_0:002f47|STRG.21444.1:33-227|+    -             65 30467at50557         -            614    0.0018   15.6   0.0   1   1   1.1e-05    0.0018   15.6   0.0   209   256    17    65     1    65 0.72 -
40115at50557_77166_0:00051d|STRG.21442.1:283-705|+    -            141 30467at50557         -            614    0.0019   15.6   0.2   1   1   2.1e-05    0.0034   14.7   0.2   185   244    76   140    52   141 0.74 -
49370at50557_456900_0:00265d|STRG.24170.1:236-1804|+  -            523 30467at50557         -            614    0.0021   15.4   0.6   1   5         6   9.7e+02   -3.3   0.0   186   208   229   252   226   265 0.56 -
49370at50557_456900_0:00265d|STRG.24170.1:236-1804|+  -            523 30467at50557         -            614    0.0021   15.4   0.6   2   5     0.021       3.3    4.8   0.0   475   504   325   354   319   365 0.84 -
49370at50557_456900_0:00265d|STRG.24170.1:236-1804|+  -            523 30467at50557         -            614    0.0021   15.4   0.6   3   5      0.55        89    0.1   0.0   221   249   413   439   403   446 0.67 -
