#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
116110at50557_103372_0:00090e|STRG.14861.2:0-611|+   -            204 116110at50557        -            147   1.6e-67  224.8   1.0   1   1   2.3e-70   1.9e-67  224.5   1.0     1   146    35   185    35   186 0.96 -
116110at50557_520822_0:000be2|STRG.14861.1:52-720|+  -            223 116110at50557        -            147     2e-67  224.5   1.0   1   1   3.1e-70   2.5e-67  224.1   1.0     1   146    54   204    54   205 0.96 -
123578at50557_103372_0:0018b4|STRG.1791.1:0-578|+    -            193 116110at50557        -            147   2.7e-08   32.6   1.0   1   1   4.7e-11   3.8e-08   32.2   1.0    30   140    71   180    52   186 0.89 -
107380at50557_103372_0:00142e|STRG.22063.5:0-650|+   -            217 116110at50557        -            147    0.0011   17.7   1.6   1   2      0.93   7.5e+02   -1.2   0.0    89   104    63    78    52   107 0.55 -
107380at50557_103372_0:00142e|STRG.22063.5:0-650|+   -            217 116110at50557        -            147    0.0011   17.7   1.6   2   2   2.4e-06    0.0019   16.9   0.6    71   136   112   177    88   187 0.88 -
107380at50557_103372_0:00142e|STRG.22063.2:44-799|+  -            252 116110at50557        -            147    0.0012   17.6   1.2   1   1     3e-06    0.0025   16.6   0.4    71   136   106   171    89   181 0.88 -
107380at50557_103372_0:00142e|STRG.22063.1:19-792|+  -            258 116110at50557        -            147    0.0014   17.3   1.4   1   1   3.4e-06    0.0028   16.4   0.5    71   136   112   177    95   188 0.88 -
107380at50557_103372_0:00142e|STRG.22063.3:46-750|+  -            235 116110at50557        -            147    0.0016   17.1   1.9   1   2       1.1   8.9e+02   -1.5   0.0    89   105    40    56    31    85 0.54 -
107380at50557_103372_0:00142e|STRG.22063.3:46-750|+  -            235 116110at50557        -            147    0.0016   17.1   1.9   2   2   2.9e-06    0.0023   16.6   0.6    71   136    89   154    71   165 0.88 -
107380at50557_103372_0:00142e|STRG.22063.4:66-773|+  -            236 116110at50557        -            147    0.0017   17.1   1.9   1   2       1.1   8.9e+02   -1.5   0.0    89   105    41    57    32    86 0.54 -
107380at50557_103372_0:00142e|STRG.22063.4:66-773|+  -            236 116110at50557        -            147    0.0017   17.1   1.9   2   2   2.9e-06    0.0024   16.6   0.6    71   136    90   155    72   166 0.88 -
123578at50557_143995_0:0018a4|STRG.18131.1:225-569|+ -            115 116110at50557        -            147    0.0028   16.4   0.0   1   1   6.5e-06    0.0053   15.5   0.0    64   132    42   111    11   115 0.73 -
123578at50557_143995_0:0018a4|STRG.18131.2:6-350|+   -            115 116110at50557        -            147    0.0028   16.4   0.0   1   1   6.5e-06    0.0053   15.5   0.0    64   132    42   111    11   115 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/116110at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/116110at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/116110at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:14:31 2024
# [ok]
