#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
76908at50557_222816_0:000324|STRG.12649.1:19-639|+   -            207 76908at50557         -            265  2.7e-116  386.1   0.3   1   1  4.4e-119  3.3e-116  385.8   0.3     1   192     8   202     8   205 0.98 -
76908at50557_103372_0:001521|STRG.12649.3:19-642|+   -            208 76908at50557         -            265    4e-115  382.3   0.3   1   1  6.7e-118  4.9e-115  382.0   0.3     1   192     8   203     8   206 0.98 -
76908at50557_103372_0:001521|STRG.12649.2:19-636|+   -            206 76908at50557         -            265  9.1e-115  381.1   0.2   1   1  1.5e-117  1.1e-114  380.8   0.2     1   192     8   201     8   204 0.98 -
76908at50557_51655_0:002d7a|STRG.19765.1:383-1024|+  -            214 76908at50557         -            265   7.1e-29   99.5   0.6   1   1   1.1e-31   8.2e-29   99.3   0.6     9   179     3   170     1   183 0.80 -
76908at50557_51655_0:002d7a|STRG.19765.2:111-752|+   -            214 76908at50557         -            265   7.1e-29   99.5   0.6   1   1   1.1e-31   8.2e-29   99.3   0.6     9   179     3   170     1   183 0.80 -
87181at50557_456900_0:001ac2|STRG.12468.1:0-1853|+   -            618 76908at50557         -            265   1.4e-21   75.6   0.0   1   1   2.9e-24   2.1e-21   75.0   0.0    58   189   198   325   162   343 0.80 -
6416at50557_123851_0:000464|STRG.19092.2:1218-2333|+ -            372 76908at50557         -            265   9.1e-06   23.8   3.4   1   3    0.0039       2.9    5.8   0.1    78   111     5    38     2    53 0.84 -
6416at50557_123851_0:000464|STRG.19092.2:1218-2333|+ -            372 76908at50557         -            265   9.1e-06   23.8   3.4   2   3   1.1e-05    0.0079   14.1   0.1    52   106    59   113    53   125 0.86 -
6416at50557_123851_0:000464|STRG.19092.2:1218-2333|+ -            372 76908at50557         -            265   9.1e-06   23.8   3.4   3   3     0.024        17    3.2   0.0    66   109   297   340   262   351 0.76 -
6416at50557_113334_0:00380e|STRG.6213.1:342-1445|+   -            368 76908at50557         -            265    0.0094   13.9   6.9   1   4     0.039        29    2.5   0.1    85   105     2    22     1    33 0.78 -
6416at50557_113334_0:00380e|STRG.6213.1:342-1445|+   -            368 76908at50557         -            265    0.0094   13.9   6.9   2   4   0.00035      0.26    9.2   0.0    81   126    92   137    88   153 0.86 -
6416at50557_113334_0:00380e|STRG.6213.1:342-1445|+   -            368 76908at50557         -            265    0.0094   13.9   6.9   3   4       1.3   9.3e+02   -2.5   0.1    81   105   196   220   192   225 0.86 -
6416at50557_113334_0:00380e|STRG.6213.1:342-1445|+   -            368 76908at50557         -            265    0.0094   13.9   6.9   4   4    0.0098       7.2    4.4   0.1    81   125   318   362   297   368 0.80 -
6416at50557_113334_0:00380e|STRG.15283.3:231-977|+   -            249 76908at50557         -            265     0.021   12.7   3.5   1   3   0.00062      0.45    8.4   0.0    82   115    41    74    14    89 0.76 -
6416at50557_113334_0:00380e|STRG.15283.3:231-977|+   -            249 76908at50557         -            265     0.021   12.7   3.5   2   3      0.12        91    0.8   0.0   203   228    91   116    82   124 0.81 -
6416at50557_113334_0:00380e|STRG.15283.3:231-977|+   -            249 76908at50557         -            265     0.021   12.7   3.5   3   3     0.029        21    2.9   0.4    27   107   137   218   123   232 0.81 -
6416at50557_7536_0:0038e0|STRG.15283.2:834-1469|+    -            212 76908at50557         -            265     0.027   12.4   0.4   1   2   0.00046      0.34    8.8   0.0    81   113    46    78    15    93 0.75 -
6416at50557_7536_0:0038e0|STRG.15283.2:834-1469|+    -            212 76908at50557         -            265     0.027   12.4   0.4   2   2     0.088        64    1.3   0.0   203   228    97   122    89   138 0.82 -
6416at50557_113334_0:00380e|STRG.15283.1:494-1324|+  -            277 76908at50557         -            265     0.032   12.1   4.1   1   3   0.00041       0.3    9.0   0.1    77   112    64    99     2   115 0.68 -
6416at50557_113334_0:00380e|STRG.15283.1:494-1324|+  -            277 76908at50557         -            265     0.032   12.1   4.1   2   3      0.15   1.1e+02    0.6   0.0   203   228   119   144   112   152 0.80 -
6416at50557_113334_0:00380e|STRG.15283.1:494-1324|+  -            277 76908at50557         -            265     0.032   12.1   4.1   3   3     0.032        24    2.8   0.5    26   107   164   246   141   260 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76908at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/76908at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76908at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:20:00 2024
# [ok]
