#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
53261at50557_45779_0:000505|STRG.23765.1:0-866|+      -            289 53261at50557         -            444  2.2e-148  493.6   1.0   1   1  2.1e-149  1.1e-146  488.0   1.0     7   256    16   287    11   289 0.94 -
53261at50557_520822_0:0000dd|STRG.23764.1:2-1087|+    -            362 53261at50557         -            444   5.2e-77  258.4   0.7   1   1   3.1e-79   1.7e-76  256.7   0.7   250   439    11   239     4   244 0.84 -
60951at50557_29031_0:002586|STRG.12362.1:251-1537|+   -            429 53261at50557         -            444   6.5e-60  202.0   2.7   1   2     1e-51   5.5e-49  166.0   0.0     8   184    36   224    31   227 0.90 -
60951at50557_29031_0:002586|STRG.12362.1:251-1537|+   -            429 53261at50557         -            444   6.5e-60  202.0   2.7   2   2   3.7e-12     2e-09   35.6   0.8   277   436   237   423   231   428 0.65 -
60951at50557_29031_0:002586|STRG.12362.2:30-1316|+    -            429 53261at50557         -            444   6.5e-60  202.0   2.7   1   2     1e-51   5.5e-49  166.0   0.0     8   184    36   224    31   227 0.90 -
60951at50557_29031_0:002586|STRG.12362.2:30-1316|+    -            429 53261at50557         -            444   6.5e-60  202.0   2.7   2   2   3.7e-12     2e-09   35.6   0.8   277   436   237   423   231   428 0.65 -
53261at50557_34740_0:000601|STRG.11208.1:1413-3026|+  -            538 53261at50557         -            444     7e-56  188.7   1.3   1   4   4.5e-42   2.4e-39  134.2   0.0    11   195    13   204     4   219 0.91 -
53261at50557_34740_0:000601|STRG.11208.1:1413-3026|+  -            538 53261at50557         -            444     7e-56  188.7   1.3   2   4       2.5   1.3e+03   -3.3   0.0   168   187   239   258   235   264 0.78 -
53261at50557_34740_0:000601|STRG.11208.1:1413-3026|+  -            538 53261at50557         -            444     7e-56  188.7   1.3   3   4   0.00045      0.24    9.0   0.0   275   305   295   325   292   332 0.92 -
53261at50557_34740_0:000601|STRG.11208.1:1413-3026|+  -            538 53261at50557         -            444     7e-56  188.7   1.3   4   4   3.4e-14   1.8e-11   42.4   0.0   277   333   396   453   380   465 0.87 -
53261at50557_178035_0:000813|STRG.12362.3:57-1260|+   -            393 53261at50557         -            444   1.3e-50  171.4   3.1   1   2     2e-42   1.1e-39  135.4   0.1     8   184     7   188     2   191 0.89 -
53261at50557_178035_0:000813|STRG.12362.3:57-1260|+   -            393 53261at50557         -            444   1.3e-50  171.4   3.1   2   2     3e-12   1.6e-09   35.9   0.8   277   436   201   387   195   392 0.65 -
