#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
106896at50557_34720_0:0025d6|STRG.6234.2:864-2300|+     -            479 106896at50557        -             70   1.8e-34  116.3   4.0   1   1   5.8e-36   1.8e-34  116.3   4.0    12    70   384   443   377   443 0.93 -
106896at50557_103372_0:001755|STRG.6234.1:881-2533|+    -            551 106896at50557        -             70   2.2e-34  116.1   4.0   1   1     7e-36   2.2e-34  116.1   4.0    12    70   460   519   453   519 0.93 -
35806at50557_217634_0:001dec|STRG.4693.1:327-1268|+     -            314 106896at50557        -             70   1.8e-17   61.9  42.4   1   5     3e-05   0.00094   17.9   4.2     9    68    18    82    12    84 0.84 -
35806at50557_217634_0:001dec|STRG.4693.1:327-1268|+     -            314 106896at50557        -             70   1.8e-17   61.9  42.4   2   5     0.001     0.033   13.0   2.7    11    59    84   132    81   141 0.86 -
35806at50557_217634_0:001dec|STRG.4693.1:327-1268|+     -            314 106896at50557        -             70   1.8e-17   61.9  42.4   3   5    0.0003    0.0095   14.7   4.4    17    68   146   197   134   199 0.90 -
35806at50557_217634_0:001dec|STRG.4693.1:327-1268|+     -            314 106896at50557        -             70   1.8e-17   61.9  42.4   4   5   1.3e-05   0.00042   19.1   0.4    21    67   206   253   201   256 0.92 -
35806at50557_217634_0:001dec|STRG.4693.1:327-1268|+     -            314 106896at50557        -             70   1.8e-17   61.9  42.4   5   5     6e-06   0.00019   20.2   2.2    16    69   258   311   251   312 0.91 -
35806at50557_217634_0:001dec|STRG.4693.3:132-1073|+     -            314 106896at50557        -             70   1.8e-17   61.9  42.4   1   5     3e-05   0.00094   17.9   4.2     9    68    18    82    12    84 0.84 -
35806at50557_217634_0:001dec|STRG.4693.3:132-1073|+     -            314 106896at50557        -             70   1.8e-17   61.9  42.4   2   5     0.001     0.033   13.0   2.7    11    59    84   132    81   141 0.86 -
35806at50557_217634_0:001dec|STRG.4693.3:132-1073|+     -            314 106896at50557        -             70   1.8e-17   61.9  42.4   3   5    0.0003    0.0095   14.7   4.4    17    68   146   197   134   199 0.90 -
35806at50557_217634_0:001dec|STRG.4693.3:132-1073|+     -            314 106896at50557        -             70   1.8e-17   61.9  42.4   4   5   1.3e-05   0.00042   19.1   0.4    21    67   206   253   201   256 0.92 -
35806at50557_217634_0:001dec|STRG.4693.3:132-1073|+     -            314 106896at50557        -             70   1.8e-17   61.9  42.4   5   5     6e-06   0.00019   20.2   2.2    16    69   258   311   251   312 0.91 -
45419at50557_315563_0:0022b9|STRG.723.1:742-2253|+      -            504 106896at50557        -             70   8.6e-13   46.9  56.6   1   6   0.00069     0.022   13.6   3.4    12    68    17    76    11    78 0.89 -
45419at50557_315563_0:0022b9|STRG.723.1:742-2253|+      -            504 106896at50557        -             70   8.6e-13   46.9  56.6   2   6     0.093         3    6.7   4.0    17    70   166   218   160   218 0.85 -
45419at50557_315563_0:0022b9|STRG.723.1:742-2253|+      -            504 106896at50557        -             70   8.6e-13   46.9  56.6   3   6   1.2e-05   0.00038   19.2   0.4    16    54   255   293   243   297 0.89 -
45419at50557_315563_0:0022b9|STRG.723.1:742-2253|+      -            504 106896at50557        -             70   8.6e-13   46.9  56.6   4   6      0.64        20    4.1   0.4    50    68   315   333   305   335 0.86 -
45419at50557_315563_0:0022b9|STRG.723.1:742-2253|+      -            504 106896at50557        -             70   8.6e-13   46.9  56.6   5   6     9e-06   0.00029   19.6   4.7    12    66   341   395   334   398 0.85 -
45419at50557_315563_0:0022b9|STRG.723.1:742-2253|+      -            504 106896at50557        -             70   8.6e-13   46.9  56.6   6   6    0.0045      0.14   11.0   6.4     9    67   394   452   391   455 0.92 -
45419at50557_51655_0:002e4f|STRG.1828.1:3216-3467|+     -             84 106896at50557        -             70   1.2e-11   43.2   5.5   1   2   1.1e-10   3.5e-09   35.3   1.2    15    68     3    56     1    58 0.92 -
45419at50557_51655_0:002e4f|STRG.1828.1:3216-3467|+     -             84 106896at50557        -             70   1.2e-11   43.2   5.5   2   2    0.0012     0.038   12.8   0.4    36    67    52    83    50    84 0.90 -
45419at50557_51655_0:002e4f|STRG.7445.1:1872-2183|+     -            104 106896at50557        -             70   1.8e-11   42.7   6.9   1   3      0.22         7    5.5   0.1    51    68     2    19     1    21 0.66 -
45419at50557_51655_0:002e4f|STRG.7445.1:1872-2183|+     -            104 106896at50557        -             70   1.8e-11   42.7   6.9   2   3   3.1e-06   9.9e-05   21.1   0.3    18    45    25    52    19    53 0.90 -
45419at50557_51655_0:002e4f|STRG.7445.1:1872-2183|+     -            104 106896at50557        -             70   1.8e-11   42.7   6.9   3   3   1.1e-05   0.00034   19.4   0.2    18    41    54    77    52    82 0.89 -
45419at50557_51655_0:002e4f|STRG.7445.2:801-1112|+      -            104 106896at50557        -             70   1.8e-11   42.7   6.9   1   3      0.22         7    5.5   0.1    51    68     2    19     1    21 0.66 -
45419at50557_51655_0:002e4f|STRG.7445.2:801-1112|+      -            104 106896at50557        -             70   1.8e-11   42.7   6.9   2   3   3.1e-06   9.9e-05   21.1   0.3    18    45    25    52    19    53 0.90 -
45419at50557_51655_0:002e4f|STRG.7445.2:801-1112|+      -            104 106896at50557        -             70   1.8e-11   42.7   6.9   3   3   1.1e-05   0.00034   19.4   0.2    18    41    54    77    52    82 0.89 -
39871at50557_74873_0:00210c|STRG.20928.1:0-251|+        -             84 106896at50557        -             70   5.7e-11   41.1  21.8   1   2   2.1e-08   6.6e-07   28.1   5.2    19    69     4    54     1    55 0.94 -
39871at50557_74873_0:00210c|STRG.20928.1:0-251|+        -             84 106896at50557        -             70   5.7e-11   41.1  21.8   2   2   2.5e-07   8.1e-06   24.6   8.6    22    68    35    81    29    83 0.94 -
14133at50557_7536_0:001741|STRG.22673.1:3570-4934|+     -            455 106896at50557        -             70     8e-11   40.6  40.3   1   7   0.00049     0.016   14.0   2.3    15    69     6    60     2    61 0.90 -
14133at50557_7536_0:001741|STRG.22673.1:3570-4934|+     -            455 106896at50557        -             70     8e-11   40.6  40.3   2   7   2.4e-05   0.00078   18.2   0.7    18    70    37    89    33    89 0.92 -
14133at50557_7536_0:001741|STRG.22673.1:3570-4934|+     -            455 106896at50557        -             70     8e-11   40.6  40.3   3   7    0.0023     0.073   11.9   0.9    22    70    69   121    64   121 0.85 -
14133at50557_7536_0:001741|STRG.22673.1:3570-4934|+     -            455 106896at50557        -             70     8e-11   40.6  40.3   4   7      0.33        10    5.0   0.1    49    68   245   264   217   266 0.78 -
14133at50557_7536_0:001741|STRG.22673.1:3570-4934|+     -            455 106896at50557        -             70     8e-11   40.6  40.3   5   7   4.4e-06   0.00014   20.6   3.6    17    67   269   319   265   322 0.86 -
14133at50557_7536_0:001741|STRG.22673.1:3570-4934|+     -            455 106896at50557        -             70     8e-11   40.6  40.3   6   7       1.4        45    2.9   0.1    16    41   322   347   318   351 0.83 -
14133at50557_7536_0:001741|STRG.22673.1:3570-4934|+     -            455 106896at50557        -             70     8e-11   40.6  40.3   7   7     0.069       2.2    7.2   3.1    22    68   405   451   397   453 0.81 -
14133at50557_7536_0:001741|STRG.22673.2:1137-2501|+     -            455 106896at50557        -             70     8e-11   40.6  40.3   1   7   0.00049     0.016   14.0   2.3    15    69     6    60     2    61 0.90 -
14133at50557_7536_0:001741|STRG.22673.2:1137-2501|+     -            455 106896at50557        -             70     8e-11   40.6  40.3   2   7   2.4e-05   0.00078   18.2   0.7    18    70    37    89    33    89 0.92 -
14133at50557_7536_0:001741|STRG.22673.2:1137-2501|+     -            455 106896at50557        -             70     8e-11   40.6  40.3   3   7    0.0023     0.073   11.9   0.9    22    70    69   121    64   121 0.85 -
14133at50557_7536_0:001741|STRG.22673.2:1137-2501|+     -            455 106896at50557        -             70     8e-11   40.6  40.3   4   7      0.33        10    5.0   0.1    49    68   245   264   217   266 0.78 -
14133at50557_7536_0:001741|STRG.22673.2:1137-2501|+     -            455 106896at50557        -             70     8e-11   40.6  40.3   5   7   4.4e-06   0.00014   20.6   3.6    17    67   269   319   265   322 0.86 -
14133at50557_7536_0:001741|STRG.22673.2:1137-2501|+     -            455 106896at50557        -             70     8e-11   40.6  40.3   6   7       1.4        45    2.9   0.1    16    41   322   347   318   351 0.83 -
14133at50557_7536_0:001741|STRG.22673.2:1137-2501|+     -            455 106896at50557        -             70     8e-11   40.6  40.3   7   7     0.069       2.2    7.2   3.1    22    68   405   451   397   453 0.81 -
14133at50557_7536_0:001741|STRG.22673.3:999-2363|+      -            455 106896at50557        -             70     8e-11   40.6  40.3   1   7   0.00049     0.016   14.0   2.3    15    69     6    60     2    61 0.90 -
