#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
25718at50557_1629725_0:002070|STRG.5764.1:106-1182|+   -            359 25718at50557         -            825   2.5e-96  322.1  14.9   1   1   3.3e-98   2.9e-96  321.9  14.9   317   625     1   359     1   359 0.89 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   1   9   1.6e-08   1.4e-06   25.3   2.7   267   661    78   190    53   215 0.40 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   2   9   1.3e-11   1.1e-09   35.5   2.6   550   662   215   332   193   334 0.80 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   3   9   1.1e-21   9.6e-20   68.8   2.5   551   728   335   529   332   533 0.88 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   4   9   2.5e-17   2.2e-15   54.4   0.3   549   706   529   699   525   700 0.85 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   5   9   5.8e-24   5.1e-22   76.3   3.2   556   723   585   763   584   774 0.89 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   6   9   2.6e-23   2.3e-21   74.2   7.0   542   723   638   834   636   834 0.90 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   7   9   1.1e-13   9.8e-12   42.3   9.9   557   699   775   927   773   935 0.63 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   8   9   1.8e-08   1.6e-06   25.1   3.0   244   401   935  1103   932  1105 0.76 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   9   9   6.8e-07     6e-05   19.9   0.8   664   760  1035  1144  1029  1145 0.77 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   1   9   1.6e-08   1.4e-06   25.3   2.7   267   661    78   190    53   215 0.40 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   2   9   1.3e-11   1.1e-09   35.5   2.6   550   662   215   332   193   334 0.80 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   3   9   1.1e-21   9.6e-20   68.8   2.5   551   728   335   529   332   533 0.88 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   4   9   2.5e-17   2.2e-15   54.4   0.3   549   706   529   699   525   700 0.85 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   5   9   5.8e-24   5.1e-22   76.3   3.2   556   723   585   763   584   774 0.89 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   6   9   2.6e-23   2.3e-21   74.2   7.0   542   723   638   834   636   834 0.90 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   7   9   1.1e-13   9.8e-12   42.3   9.9   557   699   775   927   773   935 0.63 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   8   9   1.8e-08   1.6e-06   25.1   3.0   244   401   935  1103   932  1105 0.76 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 25718at50557         -            825   6.3e-91  304.3  91.4   9   9   6.8e-07     6e-05   19.9   0.8   664   760  1035  1144  1029  1145 0.77 -
