#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
128404at50557_103372_0:000575|STRG.3894.1:2-415|+    -            138 128404at50557        -            132   2.7e-68  226.8   0.4   1   1   1.5e-71     3e-68  226.7   0.4     1   128     1   138     1   138 0.97 -
18644at50557_520822_0:001a49|STRG.12658.2:328-5421|+ -           1670 128404at50557        -            132     0.017   14.0   0.3   1   3       2.6   5.2e+03   -3.8   0.1    44    80  1157  1195  1131  1204 0.61 -
18644at50557_520822_0:001a49|STRG.12658.2:328-5421|+ -           1670 128404at50557        -            132     0.017   14.0   0.3   2   3   8.4e-06     0.017   14.0   0.3    21   102  1293  1379  1276  1395 0.76 -
18644at50557_520822_0:001a49|STRG.12658.2:328-5421|+ -           1670 128404at50557        -            132     0.017   14.0   0.3   3   3       1.4   2.8e+03   -2.9   0.2    48    99  1504  1538  1477  1559 0.54 -
18644at50557_520822_0:001a49|STRG.12658.3:328-5340|+ -           1671 128404at50557        -            132     0.017   14.0   0.3   1   3       2.6   5.2e+03   -3.8   0.1    44    80  1158  1196  1132  1205 0.61 -
18644at50557_520822_0:001a49|STRG.12658.3:328-5340|+ -           1671 128404at50557        -            132     0.017   14.0   0.3   2   3   8.4e-06     0.017   14.0   0.3    21   102  1294  1380  1277  1396 0.76 -
18644at50557_520822_0:001a49|STRG.12658.3:328-5340|+ -           1671 128404at50557        -            132     0.017   14.0   0.3   3   3       1.4   2.8e+03   -2.9   0.2    48    99  1505  1539  1478  1560 0.54 -
18644at50557_520822_0:001a49|STRG.12658.1:328-5370|+ -           1681 128404at50557        -            132     0.017   14.0   0.3   1   3       2.6   5.2e+03   -3.8   0.1    44    80  1158  1196  1132  1205 0.61 -
18644at50557_520822_0:001a49|STRG.12658.1:328-5370|+ -           1681 128404at50557        -            132     0.017   14.0   0.3   2   3   8.5e-06     0.017   14.0   0.3    21   102  1294  1380  1277  1396 0.76 -
18644at50557_520822_0:001a49|STRG.12658.1:328-5370|+ -           1681 128404at50557        -            132     0.017   14.0   0.3   3   3       1.6   3.2e+03   -3.1   0.2    48    96  1505  1536  1478  1555 0.52 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/128404at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/128404at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/128404at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:14:53 2024
# [ok]
