#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42193at50557_103372_0:0016db|STRG.4679.1:0-1571|+    -            524 42193at50557         -            414    7e-218  722.4   9.3   1   1    7e-220  1.6e-217  721.2   9.3     1   406     1   454     1   462 0.92 -
120478at50557_103372_0:000c5c|STRG.1952.2:313-795|+  -            161 42193at50557         -            414   1.2e-49  168.3   0.0   1   1   6.4e-52   1.4e-49  168.0   0.0   249   385     3   147     2   159 0.92 -
42193at50557_123851_0:000a5d|STRG.15792.1:228-662|+  -            145 42193at50557         -            414     2e-44  151.1   0.0   1   1   9.8e-47   2.2e-44  150.9   0.0   248   385     1   145     1   145 0.93 -
120478at50557_103372_0:000c5c|STRG.1952.1:181-588|+  -            136 42193at50557         -            414   1.2e-41  141.9   0.0   1   1   5.9e-44   1.3e-41  141.8   0.0   271   385     1   122     1   134 0.90 -
27737at50557_103372_0:000a01|STRG.12292.1:0-1832|+   -            611 42193at50557         -            414   2.1e-41  141.1   0.1   1   1     2e-43   4.5e-41  140.0   0.1   251   388   461   606   440   610 0.90 -
120478at50557_29058_0:003119|STRG.21153.1:212-682|+  -            157 42193at50557         -            414   5.5e-36  123.3   0.0   1   1   2.9e-38   6.4e-36  123.0   0.0   251   388     3   148     1   156 0.92 -
27737at50557_67767_0:00339d|STRG.5036.3:21-473|+     -            151 42193at50557         -            414     1e-32  112.5   0.4   1   1   5.4e-35   1.2e-32  112.3   0.4   256   372    11   137     7   145 0.87 -
27737at50557_67767_0:00339d|STRG.5036.1:85-555|+     -            157 42193at50557         -            414     1e-32  112.5   0.4   1   1   5.4e-35   1.2e-32  112.3   0.4   255   372    16   143     6   151 0.88 -
27737at50557_67767_0:00339d|STRG.5607.1:22-399|+     -            126 42193at50557         -            414     5e-32  110.2   0.2   1   1   2.5e-34   5.6e-32  110.1   0.2   266   374     1   118     1   125 0.89 -
27737at50557_67767_0:00339d|STRG.21006.1:489-965|+   -            159 42193at50557         -            414   1.6e-31  108.6   0.2   1   1   7.9e-34   1.8e-31  108.4   0.2   262   374    33   154     5   158 0.88 -
27737at50557_121845_0:000a82|STRG.12998.1:563-1057|+ -            165 42193at50557         -            414   4.3e-30  103.9   0.1   1   1   3.3e-32   7.5e-30  103.1   0.1   256   388    14   164    10   165 0.85 -
27737at50557_121845_0:000a82|STRG.12998.2:563-1160|+ -            165 42193at50557         -            414   4.3e-30  103.9   0.1   1   1   3.3e-32   7.5e-30  103.1   0.1   256   388    14   164    10   165 0.85 -
27737at50557_121845_0:000a82|STRG.12998.3:18-512|+   -            165 42193at50557         -            414   4.3e-30  103.9   0.1   1   1   3.3e-32   7.5e-30  103.1   0.1   256   388    14   164    10   165 0.85 -
27737at50557_67767_0:00339d|STRG.501.1:18-449|+      -            144 42193at50557         -            414   5.5e-30  103.5   0.1   1   1   2.8e-32   6.3e-30  103.3   0.1   264   382    11   139     2   144 0.88 -
27737at50557_67767_0:00339d|STRG.501.2:18-449|+      -            144 42193at50557         -            414   5.5e-30  103.5   0.1   1   1   2.8e-32   6.3e-30  103.3   0.1   264   382    11   139     2   144 0.88 -
27737at50557_67767_0:00339d|STRG.501.3:18-449|+      -            144 42193at50557         -            414   5.5e-30  103.5   0.1   1   1   2.8e-32   6.3e-30  103.3   0.1   264   382    11   139     2   144 0.88 -
120478at50557_411798_0:003623|STRG.1907.1:81-536|+   -            152 42193at50557         -            414   3.4e-29  100.9   0.0   1   1   1.8e-31     4e-29  100.7   0.0   253   381     1   145     1   151 0.84 -
42193at50557_123851_0:000a5d|STRG.13996.2:93-536|+   -            148 42193at50557         -            414   5.4e-28   96.9   0.1   1   1   3.1e-30     7e-28   96.6   0.1   256   382     2   145     1   148 0.85 -
92898at50557_62324_0:001787|STRG.16244.1:254-748|+   -            165 42193at50557         -            414   1.7e-24   85.4   0.1   1   1   9.4e-27   2.1e-24   85.1   0.1   251   387     5   156     2   163 0.88 -
92898at50557_62324_0:001787|STRG.16244.2:0-494|+     -            165 42193at50557         -            414   1.7e-24   85.4   0.1   1   1   9.4e-27   2.1e-24   85.1   0.1   251   387     5   156     2   163 0.88 -
