#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
117213at50557_77166_0:002bfc|STRG.4410.1:597-1073|+     -            159 966at50557           -           1751   2.3e-68  229.5   0.0   1   1     2e-69   2.5e-68  229.4   0.0    15   163     5   159     1   159 0.96 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 966at50557           -           1751   4.7e-65  218.5   6.8   1   5   9.3e-09   1.2e-07   28.2   0.0     3   115    63   181    61   191 0.84 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 966at50557           -           1751   4.7e-65  218.5   6.8   2   5   2.6e-16   3.3e-15   53.3   0.9    26   257   191   418   183   423 0.82 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 966at50557           -           1751   4.7e-65  218.5   6.8   3   5   1.4e-12   1.8e-11   40.9   0.0    26   123   421   519   416   530 0.90 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 966at50557           -           1751   4.7e-65  218.5   6.8   4   5   1.5e-06   1.9e-05   20.9   0.0    27    87   550   611   525   615 0.83 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 966at50557           -           1751   4.7e-65  218.5   6.8   5   5     1e-19   1.3e-18   64.5   0.0    26   260   616   852   610   856 0.82 -
2648at50557_535359_0:0002c6|STRG.12356.2:885-6024|+     -            856 966at50557           -           1751   4.7e-65  218.5   6.8   1   5   9.3e-09   1.2e-07   28.2   0.0     3   115    63   181    61   191 0.84 -
2648at50557_535359_0:0002c6|STRG.12356.2:885-6024|+     -            856 966at50557           -           1751   4.7e-65  218.5   6.8   2   5   2.6e-16   3.3e-15   53.3   0.9    26   257   191   418   183   423 0.82 -
2648at50557_535359_0:0002c6|STRG.12356.2:885-6024|+     -            856 966at50557           -           1751   4.7e-65  218.5   6.8   3   5   1.4e-12   1.8e-11   40.9   0.0    26   123   421   519   416   530 0.90 -
2648at50557_535359_0:0002c6|STRG.12356.2:885-6024|+     -            856 966at50557           -           1751   4.7e-65  218.5   6.8   4   5   1.5e-06   1.9e-05   20.9   0.0    27    87   550   611   525   615 0.83 -
2648at50557_535359_0:0002c6|STRG.12356.2:885-6024|+     -            856 966at50557           -           1751   4.7e-65  218.5   6.8   5   5     1e-19   1.3e-18   64.5   0.0    26   260   616   852   610   856 0.82 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 966at50557           -           1751   1.2e-54  184.1  20.7   1   9     0.017      0.22    7.4   0.1   202   258    17    78     9    81 0.70 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 966at50557           -           1751   1.2e-54  184.1  20.7   2   9   5.5e-11   6.9e-10   35.6   0.1    19   116    73   170    70   178 0.91 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 966at50557           -           1751   1.2e-54  184.1  20.7   3   9   1.7e-09   2.1e-08   30.7   0.0    23   116   205   298   179   310 0.84 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 966at50557           -           1751   1.2e-54  184.1  20.7   4   9   3.3e-12   4.1e-11   39.7   0.4    28   140   342   455   331   457 0.84 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 966at50557           -           1751   1.2e-54  184.1  20.7   5   9   0.00046    0.0058   12.7   0.0    28   254   408   466   398   475 0.59 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 966at50557           -           1751   1.2e-54  184.1  20.7   6   9   2.9e-06   3.7e-05   19.9   0.0   200   258   440   503   432   505 0.86 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 966at50557           -           1751   1.2e-54  184.1  20.7   7   9   1.5e-10   1.9e-09   34.2   0.1    25   119   471   565   465   573 0.87 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 966at50557           -           1751   1.2e-54  184.1  20.7   8   9   1.2e-06   1.5e-05   21.3   0.1    28   119   573   664   566   672 0.76 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 966at50557           -           1751   1.2e-54  184.1  20.7   9   9   9.6e-08   1.2e-06   24.9   0.1    27   114   671   758   664   758 0.92 -
966at50557_51655_0:00313f|STRG.4410.1:1579-2010|+       -            144 966at50557           -           1751   3.1e-48  162.7   0.8   1   1   2.9e-49   3.7e-48  162.5   0.8  1641  1745     1   118     1   122 0.92 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 966at50557           -           1751   4.8e-42  142.2  13.5   1   8      0.05      0.63    5.9   0.0    27    82   112   168    87   176 0.86 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 966at50557           -           1751   4.8e-42  142.2  13.5   2   8      0.15       1.9    4.3   0.0   195   256   213   281   184   285 0.74 -
