#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
128261at50557_103372_0:000077|STRG.9512.1:297-728|+    -            144 128261at50557        -            122   2.1e-68  226.9   0.0   1   1   4.9e-71   2.5e-68  226.7   0.0     1   122     9   144     9   144 0.95 -
120473at50557_1041015_0:0012df|STRG.13566.1:787-1239|+ -            151 128261at50557        -            122   5.7e-06   25.3   0.0   1   1   1.6e-08   8.1e-06   24.8   0.0    32    77    30    78     4   113 0.85 -
120473at50557_1041015_0:0012df|STRG.13566.2:787-1916|+ -            151 128261at50557        -            122   5.7e-06   25.3   0.0   1   1   1.6e-08   8.1e-06   24.8   0.0    32    77    30    78     4   113 0.85 -
120473at50557_1041015_0:0012df|STRG.13566.3:787-1417|+ -            151 128261at50557        -            122   5.7e-06   25.3   0.0   1   1   1.6e-08   8.1e-06   24.8   0.0    32    77    30    78     4   113 0.85 -
117699at50557_104421_0:002a75|STRG.18943.1:942-1541|+  -            200 128261at50557        -            122     9e-06   24.6   0.0   1   1   3.5e-08   1.8e-05   23.7   0.0    27    78    28    82     6   121 0.77 -
117699at50557_411798_0:0026ea|STRG.18943.2:354-890|+   -            179 128261at50557        -            122   1.5e-05   23.9   0.0   1   1   6.3e-08   3.2e-05   22.9   0.0    33    78    13    61     2   100 0.82 -
117699at50557_411798_0:0026ea|STRG.18943.3:131-667|+   -            179 128261at50557        -            122   1.5e-05   23.9   0.0   1   1   6.3e-08   3.2e-05   22.9   0.0    33    78    13    61     2   100 0.82 -
117699at50557_411798_0:0026ea|STRG.18943.4:131-705|+   -            179 128261at50557        -            122   1.8e-05   23.7   0.0   1   1   6.4e-08   3.3e-05   22.8   0.0    33    78    13    61     2    99 0.82 -
117925at50557_1507135_0:002201|STRG.2505.1:14-196|-    -             61 128261at50557        -            122    0.0064   15.4   0.0   1   1   1.4e-05    0.0069   15.3   0.0    23    66    15    57     3    59 0.84 -
120473at50557_1049336_0:000626|STRG.4995.1:0-449|+     -            150 128261at50557        -            122     0.021   13.8   0.0   1   1     7e-05     0.035   13.0   0.0    27    67    30    70     6    77 0.81 -
116934at50557_286706_0:0006a3|STRG.2341.1:1077-1571|+  -            165 128261at50557        -            122     0.022   13.7   0.0   1   1   5.5e-05     0.028   13.4   0.0    32    76    52    99    30   136 0.86 -
120473at50557_1049336_0:000626|STRG.9127.2:168-608|+   -            147 128261at50557        -            122     0.041   12.8   0.0   1   2   0.00022      0.11   11.4   0.0    33    76    32    78     6    96 0.83 -
120473at50557_1049336_0:000626|STRG.9127.2:168-608|+   -            147 128261at50557        -            122     0.041   12.8   0.0   2   2       1.5   7.3e+02   -0.9   0.0    28    72   101   145    78   147 0.66 -
120473at50557_28612_0:003609|STRG.9127.1:181-600|+     -            140 128261at50557        -            122     0.041   12.8   0.0   1   2   0.00021      0.11   11.5   0.0    34    76    26    71    15   104 0.84 -
120473at50557_28612_0:003609|STRG.9127.1:181-600|+     -            140 128261at50557        -            122     0.041   12.8   0.0   2   2       1.4   6.9e+02   -0.8   0.0    28    72    94   138    73   140 0.66 -
116934at50557_286706_0:0006a3|STRG.2527.1:345-731|+    -            129 128261at50557        -            122     0.045   12.7   0.0   1   1   0.00013     0.065   12.2   0.0    35    82    27    77    18    90 0.83 -
116934at50557_286706_0:0006a3|STRG.2527.2:1146-1532|+  -            129 128261at50557        -            122     0.045   12.7   0.0   1   1   0.00013     0.065   12.2   0.0    35    82    27    77    18    90 0.83 -
116934at50557_286706_0:0006a3|STRG.2527.3:126-512|+    -            129 128261at50557        -            122     0.045   12.7   0.0   1   1   0.00013     0.065   12.2   0.0    35    82    27    77    18    90 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/128261at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/128261at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/128261at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:14:53 2024
# [ok]
