#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
80072at50557_103372_0:001f31|STRG.22815.1:0-1061|+   -            354 80072at50557         -            323  3.7e-162  537.4   3.4   1   1  6.9e-165  4.3e-162  537.2   3.4     1   323     2   346     2   346 0.95 -
78395at50557_69004_0:0007d1|STRG.5001.1:99-1049|+    -            317 80072at50557         -            323   5.6e-34  116.2   0.6   1   2     1e-14   6.3e-12   43.8   0.0     3    75    14    88    12    97 0.86 -
78395at50557_69004_0:0007d1|STRG.5001.1:99-1049|+    -            317 80072at50557         -            323   5.6e-34  116.2   0.6   2   2   4.2e-23   2.6e-20   71.3   0.3   108   222   100   214    74   226 0.86 -
76116at50557_520822_0:00013b|STRG.11774.1:0-1067|+   -            356 80072at50557         -            323   2.2e-33  114.3   0.4   1   1   5.6e-33   3.5e-30  103.8   0.4     3   225    43   246    41   352 0.74 -
76116at50557_520822_0:00013b|STRG.11774.2:5-1062|+   -            331 80072at50557         -            323     4e-33  113.4   0.1   1   2   6.8e-13   4.3e-10   37.8   0.0     3    80    43   121    41   127 0.93 -
76116at50557_520822_0:00013b|STRG.11774.2:5-1062|+   -            331 80072at50557         -            323     4e-33  113.4   0.1   2   2     2e-24   1.3e-21   75.6   0.4   100   223   120   244   109   262 0.89 -
78395at50557_103372_0:001bc6|STRG.8348.1:0-1067|+    -            356 80072at50557         -            323   2.3e-32  111.0   1.5   1   2   7.8e-13   4.8e-10   37.6   0.0     3    79    35   112    33   121 0.86 -
78395at50557_103372_0:001bc6|STRG.8348.1:0-1067|+    -            356 80072at50557         -            323   2.3e-32  111.0   1.5   2   2   1.9e-23   1.2e-20   72.4   1.2   119   223   137   242    99   344 0.89 -
78395at50557_103372_0:001bc6|STRG.8348.2:229-1327|+  -            342 80072at50557         -            323   5.8e-32  109.6   1.0   1   2   2.7e-12   1.7e-09   35.8   0.0     3    79    35   112    33   120 0.86 -
78395at50557_103372_0:001bc6|STRG.8348.2:229-1327|+  -            342 80072at50557         -            323   5.8e-32  109.6   1.0   2   2   2.3e-23   1.4e-20   72.2   0.9   119   223   137   242   100   257 0.87 -
78395at50557_103372_0:001bc6|STRG.8348.3:197-1105|+  -            303 80072at50557         -            323   2.1e-29  101.2   1.1   1   2   1.1e-09   7.1e-07   27.2   0.0    18    79    12    73     1    82 0.82 -
78395at50557_103372_0:001bc6|STRG.8348.3:197-1105|+  -            303 80072at50557         -            323   2.1e-29  101.2   1.1   2   2   1.7e-23   1.1e-20   72.6   0.9   119   223    98   203    61   218 0.87 -
59039at50557_79782_0:000c3a|STRG.4214.1:1492-2844|+  -            451 80072at50557         -            323   7.2e-05   20.6   0.8   1   1     1e-05    0.0063   14.2   0.8    28   235    68   261    49   269 0.69 -
76116at50557_7213_0:000664|STRG.15072.1:3758-4342|+  -            195 80072at50557         -            323    0.0001   20.1   0.2   1   1   2.6e-07   0.00016   19.4   0.2    23   162    29   165    21   190 0.70 -
76116at50557_7213_0:000664|STRG.15072.2:550-1134|+   -            195 80072at50557         -            323    0.0001   20.1   0.2   1   1   2.6e-07   0.00016   19.4   0.2    23   162    29   165    21   190 0.70 -
76116at50557_7213_0:000664|STRG.15072.3:318-902|+    -            195 80072at50557         -            323    0.0001   20.1   0.2   1   1   2.6e-07   0.00016   19.4   0.2    23   162    29   165    21   190 0.70 -
78395at50557_535359_0:001efc|STRG.14050.1:345-1103|+ -            253 80072at50557         -            323   0.00097   16.9   0.0   1   2   7.7e-06    0.0048   14.6   0.0    24    69    24    72    19   112 0.80 -
78395at50557_535359_0:001efc|STRG.14050.1:345-1103|+ -            253 80072at50557         -            323   0.00097   16.9   0.0   2   2      0.24   1.5e+02   -0.2   0.0   161   190   137   166   118   189 0.83 -
51542at50557_103372_0:0027c7|STRG.17558.1:154-1506|+ -            451 80072at50557         -            323     0.015   12.9   0.0   1   1   4.7e-05     0.029   12.0   0.0    16    57    36    81    27    89 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/80072at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/80072at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/80072at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:20:07 2024
# [ok]
