#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
52703at50557_103372_0:001b91|STRG.15608.1:0-1250|+   -            417 52703at50557         -            352  1.8e-201  667.0   0.1   1   1  1.5e-203  4.7e-201  665.6   0.1     1   352     6   414     6   414 0.93 -
75144at50557_28612_0:003734|STRG.4222.1:111-1238|+   -            376 52703at50557         -            352   1.8e-69  232.8   0.0   1   1   6.9e-72   2.2e-69  232.5   0.0     2   332     8   350     7   373 0.89 -
75144at50557_28612_0:003734|STRG.4222.2:0-1127|+     -            376 52703at50557         -            352   1.8e-69  232.8   0.0   1   1   6.9e-72   2.2e-69  232.5   0.0     2   332     8   350     7   373 0.89 -
75144at50557_28612_0:003734|STRG.3394.1:171-1298|+   -            376 52703at50557         -            352   3.1e-69  232.0   0.0   1   1   1.2e-71   3.9e-69  231.7   0.0     2   332     8   350     7   374 0.89 -
75144at50557_28612_0:003734|STRG.3394.2:198-1325|+   -            376 52703at50557         -            352   3.1e-69  232.0   0.0   1   1   1.2e-71   3.9e-69  231.7   0.0     2   332     8   350     7   374 0.89 -
75144at50557_28612_0:003734|STRG.3394.3:0-1127|+     -            376 52703at50557         -            352   3.1e-69  232.0   0.0   1   1   1.2e-71   3.9e-69  231.7   0.0     2   332     8   350     7   374 0.89 -
75144at50557_28612_0:003734|STRG.4217.1:73-1200|+    -            376 52703at50557         -            352   3.7e-69  231.8   0.0   1   1   1.5e-71   4.5e-69  231.5   0.0     2   332     8   350     7   373 0.89 -
75144at50557_28612_0:003734|STRG.4217.2:0-1127|+     -            376 52703at50557         -            352   3.7e-69  231.8   0.0   1   1   1.5e-71   4.5e-69  231.5   0.0     2   332     8   350     7   373 0.89 -
75144at50557_28612_0:003734|STRG.4219.1:247-1374|+   -            376 52703at50557         -            352   3.7e-69  231.8   0.0   1   1   1.5e-71   4.5e-69  231.5   0.0     2   332     8   350     7   373 0.89 -
75144at50557_28612_0:003734|STRG.4219.2:0-1127|+     -            376 52703at50557         -            352   3.7e-69  231.8   0.0   1   1   1.5e-71   4.5e-69  231.5   0.0     2   332     8   350     7   373 0.89 -
75144at50557_28612_0:003734|STRG.22087.2:386-1375|+  -            330 52703at50557         -            352   2.7e-66  222.4   0.0   1   1   1.1e-68   3.4e-66  222.0   0.0     2   314     8   328     7   329 0.91 -
75144at50557_28612_0:003734|STRG.22087.1:9-986|+     -            326 52703at50557         -            352   1.2e-63  213.6   0.0   1   1   4.8e-66   1.5e-63  213.4   0.0    46   332     4   300     1   313 0.90 -
75144at50557_28612_0:003734|STRG.3208.1:147-1327|+   -            367 52703at50557         -            352   1.4e-61  206.8   0.0   1   1   5.5e-64   1.7e-61  206.6   0.0     3   330     3   339     1   354 0.89 -
75144at50557_28612_0:003734|STRG.3208.2:18-1031|+    -            338 52703at50557         -            352   2.5e-56  189.6   0.0   1   1     1e-58   3.2e-56  189.2   0.0    46   330    16   310     7   325 0.88 -
57613at50557_610380_0:00141b|STRG.13319.1:57-1398|+  -            341 52703at50557         -            352   1.8e-49  167.0   0.0   1   1   7.7e-52   2.4e-49  166.6   0.0    47   311     1   278     1   303 0.88 -
75144at50557_7539_0:003503|STRG.19019.1:24-1256|+    -            411 52703at50557         -            352   1.1e-37  128.2   0.0   1   2   5.6e-32   1.8e-29  101.3   0.0     2   209     5   219     4   228 0.87 -
75144at50557_7539_0:003503|STRG.19019.1:24-1256|+    -            411 52703at50557         -            352   1.1e-37  128.2   0.0   2   2   9.5e-09   2.9e-06   24.9   0.0   229   329   279   385   263   401 0.77 -
75144at50557_7539_0:003503|STRG.22762.1:213-1502|+   -            430 52703at50557         -            352   7.5e-37  125.5   0.0   1   2   7.6e-29   2.4e-26   91.0   0.0     3   213     6   235     4   267 0.78 -
75144at50557_7539_0:003503|STRG.22762.1:213-1502|+   -            430 52703at50557         -            352   7.5e-37  125.5   0.0   2   2   2.9e-10     9e-08   29.9   0.0   229   329   292   402   275   416 0.80 -
52703at50557_1155016_0:00193c|STRG.23201.1:51-1058|+ -            336 52703at50557         -            352   7.3e-23   79.5   0.1   1   2   0.00018     0.057   10.8   0.0     4    39     1    36     1    48 0.84 -
52703at50557_1155016_0:00193c|STRG.23201.1:51-1058|+ -            336 52703at50557         -            352   7.3e-23   79.5   0.1   2   2   3.8e-21   1.2e-18   65.7   0.1    71   316    44   296    35   324 0.80 -
75144at50557_34720_0:000d74|STRG.14406.1:0-1172|+    -            391 52703at50557         -            352   1.6e-18   65.2   0.1   1   2   7.3e-12   2.3e-09   35.1   0.5    49   218    42   218     5   233 0.77 -
75144at50557_34720_0:000d74|STRG.14406.1:0-1172|+    -            391 52703at50557         -            352   1.6e-18   65.2   0.1   2   2   8.6e-10   2.7e-07   28.3   0.0   199   328   228   360   223   378 0.83 -
75144at50557_28612_0:003734|STRG.2512.1:136-717|+    -            194 52703at50557         -            352     1e-12   46.2   0.0   1   1   3.8e-15   1.2e-12   45.9   0.0     4   187     9   194     6   194 0.86 -
150643at50557_315563_0:0000a6|STRG.4217.1:904-1200|+ -             99 52703at50557         -            352     3e-11   41.3   0.0   1   1     1e-13   3.1e-11   41.3   0.0   262   332     2    73     1    97 0.84 -
75144at50557_132113_0:003254|STRG.24270.1:792-1577|+ -            262 52703at50557         -            352   1.7e-06   25.7   0.0   1   1   8.4e-09   2.6e-06   25.1   0.0    98   302    26   240     6   253 0.79 -
57613at50557_7536_0:002bce|STRG.2512.1:1600-1956|+   -            119 52703at50557         -            352   0.00037   18.0   0.0   1   1   1.3e-06    0.0004   17.9   0.0   232   304     2    73     1    99 0.88 -
147680at50557_103372_0:000c7a|STRG.12460.2:3-461|+   -            153 52703at50557         -            352   0.00085   16.8   0.3   1   1   3.2e-06     0.001   16.6   0.3   164   234    81   150    65   153 0.83 -
147680at50557_103372_0:000c7a|STRG.12460.1:48-509|+  -            154 52703at50557         -            352   0.00086   16.8   0.3   1   1   3.3e-06     0.001   16.6   0.3   164   234    82   151    66   154 0.83 -
80072at50557_103372_0:001f31|STRG.22815.1:0-1061|+   -            354 52703at50557         -            352     0.017   12.6   0.5   1   2   0.00078      0.24    8.7   0.0   244   308    90   158    77   197 0.82 -
80072at50557_103372_0:001f31|STRG.22815.1:0-1061|+   -            354 52703at50557         -            352     0.017   12.6   0.5   2   2     0.082        25    2.1   0.1   249   345   245   342   236   347 0.67 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/52703at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/52703at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/52703at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:18:34 2024
# [ok]
