#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89317at50557_103372_0:000bfe|STRG.11993.1:1-441|-    -            147 89317at50557         -            194     1e-67  226.8   8.7   1   1   2.9e-70   1.2e-67  226.6   8.7     1   115    21   145    21   147 0.95 -
89317at50557_13686_0:000743|STRG.11992.1:4-213|+     -             70 89317at50557         -            194   3.4e-35  120.7   4.3   1   1   9.4e-38   3.8e-35  120.5   4.3   116   179     1    70     1    70 0.95 -
89317at50557_108931_0:002c91|STRG.11998.1:147-827|+  -            227 89317at50557         -            194   2.2e-34  118.0  14.4   1   1   6.4e-37   2.6e-34  117.8  14.4     1   181    20   222    20   227 0.82 -
89317at50557_7038_0:001f22|STRG.11997.1:290-907|+    -            206 89317at50557         -            194   9.1e-26   89.9   9.9   1   1   2.7e-28   1.1e-25   89.6   9.9     1   183     1   205     1   206 0.80 -
89317at50557_66420_0:0017df|STRG.11995.1:169-720|+   -            184 89317at50557         -            194   5.5e-25   87.4   5.4   1   2   1.3e-23   5.1e-21   74.4   2.7    15   117    33   145    27   154 0.86 -
89317at50557_66420_0:0017df|STRG.11995.1:169-720|+   -            184 89317at50557         -            194   5.5e-25   87.4   5.4   2   2   3.5e-05     0.014   14.2   0.1     3    38   148   184   146   184 0.86 -
89317at50557_108931_0:002c91|STRG.22233.1:192-770|+  -            193 89317at50557         -            194   3.7e-22   78.1  13.4   1   1   4.7e-24   1.9e-21   75.8  13.4     3   181     1   193     1   193 0.83 -
89317at50557_88501_0:002a2b|STRG.19863.1:731-1426|+  -            232 89317at50557         -            194   5.1e-20   71.2  13.6   1   3   4.8e-05     0.019   13.8   2.2     2    57    11    68    10    82 0.88 -
89317at50557_88501_0:002a2b|STRG.19863.1:731-1426|+  -            232 89317at50557         -            194   5.1e-20   71.2  13.6   2   3   7.8e-09   3.1e-06   26.1   0.2     2    56    92   147    91   158 0.87 -
89317at50557_88501_0:002a2b|STRG.19863.1:731-1426|+  -            232 89317at50557         -            194   5.1e-20   71.2  13.6   3   3   1.1e-12   4.5e-10   38.7   0.5     3    52   179   229   177   232 0.95 -
89317at50557_88501_0:002a2b|STRG.19863.4:731-1426|+  -            232 89317at50557         -            194   5.1e-20   71.2  13.6   1   3   4.8e-05     0.019   13.8   2.2     2    57    11    68    10    82 0.88 -
89317at50557_88501_0:002a2b|STRG.19863.4:731-1426|+  -            232 89317at50557         -            194   5.1e-20   71.2  13.6   2   3   7.8e-09   3.1e-06   26.1   0.2     2    56    92   147    91   158 0.87 -
89317at50557_88501_0:002a2b|STRG.19863.4:731-1426|+  -            232 89317at50557         -            194   5.1e-20   71.2  13.6   3   3   1.1e-12   4.5e-10   38.7   0.5     3    52   179   229   177   232 0.95 -
89317at50557_88501_0:002a2b|STRG.19863.5:731-1426|+  -            232 89317at50557         -            194   5.1e-20   71.2  13.6   1   3   4.8e-05     0.019   13.8   2.2     2    57    11    68    10    82 0.88 -
89317at50557_88501_0:002a2b|STRG.19863.5:731-1426|+  -            232 89317at50557         -            194   5.1e-20   71.2  13.6   2   3   7.8e-09   3.1e-06   26.1   0.2     2    56    92   147    91   158 0.87 -
89317at50557_88501_0:002a2b|STRG.19863.5:731-1426|+  -            232 89317at50557         -            194   5.1e-20   71.2  13.6   3   3   1.1e-12   4.5e-10   38.7   0.5     3    52   179   229   177   232 0.95 -
89317at50557_88501_0:002a2b|STRG.19863.6:731-1426|+  -            232 89317at50557         -            194   5.1e-20   71.2  13.6   1   3   4.8e-05     0.019   13.8   2.2     2    57    11    68    10    82 0.88 -
89317at50557_88501_0:002a2b|STRG.19863.6:731-1426|+  -            232 89317at50557         -            194   5.1e-20   71.2  13.6   2   3   7.8e-09   3.1e-06   26.1   0.2     2    56    92   147    91   158 0.87 -
89317at50557_88501_0:002a2b|STRG.19863.6:731-1426|+  -            232 89317at50557         -            194   5.1e-20   71.2  13.6   3   3   1.1e-12   4.5e-10   38.7   0.5     3    52   179   229   177   232 0.95 -
89317at50557_104688_0:0015ad|STRG.11996.1:154-780|+  -            209 89317at50557         -            194   7.1e-20   70.7  10.6   1   1   2.9e-22   1.2e-19   70.0  10.6     3   181    11   208    10   209 0.81 -
89317at50557_13249_0:000fb7|STRG.11999.1:7-393|-     -            129 89317at50557         -            194   1.9e-18   66.0   4.3   1   1   5.4e-21   2.2e-18   65.8   4.3     3   113     1   121     1   127 0.88 -
89317at50557_29031_0:001282|STRG.11994.1:700-1083|+  -            128 89317at50557         -            194   1.9e-17   62.7   8.5   1   2   5.2e-13   2.1e-10   39.8   0.5     8    57     6    55     1    61 0.93 -
89317at50557_29031_0:001282|STRG.11994.1:700-1083|+  -            128 89317at50557         -            194   1.9e-17   62.7   8.5   2   2     4e-09   1.6e-06   27.1   2.3     3    54    70   121    68   127 0.95 -
89317at50557_28612_0:006203|STRG.8565.3:90-317|+     -             76 89317at50557         -            194   1.4e-11   43.6   1.8   1   1   3.9e-14   1.6e-11   43.4   1.8     1    56     8    63     8    73 0.93 -
89317at50557_64459_0:002c1c|STRG.655.1:716-1246|+    -            177 89317at50557         -            194     7e-08   31.5  18.1   1   1   3.6e-09   1.5e-06   27.2  18.1    10   163     6   168     1   176 0.77 -
89317at50557_64459_0:002c1c|STRG.655.2:621-1151|+    -            177 89317at50557         -            194     7e-08   31.5  18.1   1   1   3.6e-09   1.5e-06   27.2  18.1    10   163     6   168     1   176 0.77 -
89317at50557_535359_0:0022dc|STRG.21704.1:399-833|+  -            145 89317at50557         -            194     5e-07   28.7   4.3   1   1   1.7e-08   6.7e-06   25.1   4.3    65   180     7   137     4   142 0.69 -
89317at50557_1155016_0:000ed3|STRG.20078.1:153-533|+ -            127 89317at50557         -            194   6.5e-05   21.8   3.3   1   2   6.5e-05     0.026   13.3   0.2     8    47     8    47     1    52 0.86 -
89317at50557_1155016_0:000ed3|STRG.20078.1:153-533|+ -            127 89317at50557         -            194   6.5e-05   21.8   3.3   2   2   0.00092      0.37    9.6   0.3     9    46    89   126    81   127 0.85 -
89317at50557_1155016_0:000ed3|STRG.20078.2:63-443|+  -            127 89317at50557         -            194   6.5e-05   21.8   3.3   1   2   6.5e-05     0.026   13.3   0.2     8    47     8    47     1    52 0.86 -
89317at50557_1155016_0:000ed3|STRG.20078.2:63-443|+  -            127 89317at50557         -            194   6.5e-05   21.8   3.3   2   2   0.00092      0.37    9.6   0.3     9    46    89   126    81   127 0.85 -
72000at50557_378494_0:002eaf|STRG.10241.1:348-656|+  -            103 89317at50557         -            194   0.00075   18.4   0.9   1   1   2.2e-06    0.0009   18.1   0.9     8    55    46    94    38   101 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89317at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
