#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
126015at50557_103372_0:0021a1|STRG.6554.1:0-518|+      -            173 126015at50557        -            146   2.6e-70  233.7   0.5   1   1   2.4e-72   6.7e-70  232.4   0.5     1   144     4   173     4   173 0.90 -
126015at50557_66420_0:002d42|STRG.13290.1:469-816|-    -            116 126015at50557        -            146   5.2e-10   38.1   0.0   1   1     2e-12   5.7e-10   38.0   0.0    43   126    29   115     5   116 0.83 -
21787at50557_52612_0:002557|STRG.3163.1:5337-6143|+    -            269 126015at50557        -            146   5.9e-06   25.0   0.0   1   1   3.9e-08   1.1e-05   24.1   0.0    71   111   203   243   192   266 0.83 -
21787at50557_52612_0:002557|STRG.3163.4:4839-5645|+    -            269 126015at50557        -            146   5.9e-06   25.0   0.0   1   1   3.9e-08   1.1e-05   24.1   0.0    71   111   203   243   192   266 0.83 -
21787at50557_52612_0:002557|STRG.3163.5:3650-4456|+    -            269 126015at50557        -            146   5.9e-06   25.0   0.0   1   1   3.9e-08   1.1e-05   24.1   0.0    71   111   203   243   192   266 0.83 -
21787at50557_52612_0:002557|STRG.3163.6:4366-5172|+    -            269 126015at50557        -            146   5.9e-06   25.0   0.0   1   1   3.9e-08   1.1e-05   24.1   0.0    71   111   203   243   192   266 0.83 -
126015at50557_136037_0:0009b5|STRG.15279.1:796-1206|+  -            137 126015at50557        -            146   6.9e-05   21.5   0.1   1   1   3.8e-07   0.00011   20.9   0.1    44    95    41    99     8   103 0.65 -
126015at50557_136037_0:0009b5|STRG.15279.2:796-1206|+  -            137 126015at50557        -            146   6.9e-05   21.5   0.1   1   1   3.8e-07   0.00011   20.9   0.1    44    95    41    99     8   103 0.65 -
126015at50557_136037_0:0009b5|STRG.15279.3:796-1206|+  -            137 126015at50557        -            146   6.9e-05   21.5   0.1   1   1   3.8e-07   0.00011   20.9   0.1    44    95    41    99     8   103 0.65 -
126015at50557_136037_0:0009b5|STRG.15279.4:438-848|+   -            137 126015at50557        -            146   6.9e-05   21.5   0.1   1   1   3.8e-07   0.00011   20.9   0.1    44    95    41    99     8   103 0.65 -
21787at50557_123851_0:0009c4|STRG.14358.1:2736-3521|+  -            262 126015at50557        -            146    0.0012   17.5   0.2   1   1   9.3e-06    0.0026   16.4   0.2    76   124   189   244   180   252 0.80 -
21787at50557_123851_0:0009c4|STRG.14358.2:2712-3497|+  -            262 126015at50557        -            146    0.0012   17.5   0.2   1   1   9.3e-06    0.0026   16.4   0.2    76   124   189   244   180   252 0.80 -
21787at50557_123851_0:0009c4|STRG.22072.2:1204-1901|+  -            177 126015at50557        -            146     0.012   14.2   0.0   1   1   7.2e-05      0.02   13.5   0.0    62    93   104   135    91   173 0.85 -
21787at50557_123851_0:0009c4|STRG.22072.3:1047-1744|+  -            177 126015at50557        -            146     0.012   14.2   0.0   1   1   7.2e-05      0.02   13.5   0.0    62    93   104   135    91   173 0.85 -
21787at50557_123851_0:0009c4|STRG.22072.4:1417-2114|+  -            177 126015at50557        -            146     0.012   14.2   0.0   1   1   7.2e-05      0.02   13.5   0.0    62    93   104   135    91   173 0.85 -
21787at50557_1041015_0:000f71|STRG.22072.1:1351-1985|+ -            156 126015at50557        -            146     0.013   14.2   0.2   1   2       8.8   2.4e+03   -3.0   0.0    49    71    59    81    51    85 0.68 -
21787at50557_1041015_0:000f71|STRG.22072.1:1351-1985|+ -            156 126015at50557        -            146     0.013   14.2   0.2   2   2   7.8e-05     0.022   13.4   0.1    62    93   103   134    90   145 0.81 -
21787at50557_1507135_0:00034b|STRG.14753.1:4179-5093|+ -            305 126015at50557        -            146     0.015   13.9   0.0   1   1    0.0001     0.029   13.0   0.0    75   121   248   301   225   305 0.76 -
21787at50557_1507135_0:00034b|STRG.14753.2:4155-5069|+ -            305 126015at50557        -            146     0.015   13.9   0.0   1   1    0.0001     0.029   13.0   0.0    75   121   248   301   225   305 0.76 -
21787at50557_1507135_0:00034b|STRG.14753.3:4197-5111|+ -            305 126015at50557        -            146     0.015   13.9   0.0   1   1    0.0001     0.029   13.0   0.0    75   121   248   301   225   305 0.76 -
21787at50557_1507135_0:00034b|STRG.14753.4:3657-4571|+ -            305 126015at50557        -            146     0.015   13.9   0.0   1   1    0.0001     0.029   13.0   0.0    75   121   248   301   225   305 0.76 -
21787at50557_123851_0:0009c4|STRG.16758.1:560-1390|+   -            277 126015at50557        -            146     0.018   13.6   0.0   1   1   0.00012     0.034   12.8   0.0    74    93   214   233   196   268 0.85 -
21787at50557_123851_0:0009c4|STRG.16758.2:743-1573|+   -            277 126015at50557        -            146     0.018   13.6   0.0   1   1   0.00012     0.034   12.8   0.0    74    93   214   233   196   268 0.85 -
21787at50557_56086_0:000f6d|STRG.15902.1:448-1179|+    -            244 126015at50557        -            146      0.03   12.9   0.0   1   1   0.00027     0.074   11.7   0.0    70   123   176   237   163   241 0.74 -
21787at50557_307491_0:004719|STRG.18487.1:98-805|+     -            212 126015at50557        -            146     0.051   12.2   0.1   1   2       8.7   2.4e+03   -3.0   0.0    57    77     8    28     4    35 0.68 -
21787at50557_307491_0:004719|STRG.18487.1:98-805|+     -            212 126015at50557        -            146     0.051   12.2   0.1   2   2   0.00038      0.11   11.2   0.0    75    96   142   163   110   203 0.62 -
17115at50557_7493_0:000f73|STRG.2319.1:1037-2464|+     -            476 126015at50557        -            146      0.06   12.0   0.0   1   2         2   5.6e+02   -0.9   0.0    80    94   290   304   274   308 0.82 -
17115at50557_7493_0:000f73|STRG.2319.1:1037-2464|+     -            476 126015at50557        -            146      0.06   12.0   0.0   2   2    0.0012      0.33    9.6   0.0    72    98   308   334   298   341 0.84 -
17115at50557_7493_0:000f73|STRG.2319.2:1001-2428|+     -            476 126015at50557        -            146      0.06   12.0   0.0   1   2         2   5.6e+02   -0.9   0.0    80    94   290   304   274   308 0.82 -
17115at50557_7493_0:000f73|STRG.2319.2:1001-2428|+     -            476 126015at50557        -            146      0.06   12.0   0.0   2   2    0.0012      0.33    9.6   0.0    72    98   308   334   298   341 0.84 -
21787at50557_56086_0:000f6d|STRG.18089.1:320-1012|+    -            231 126015at50557        -            146     0.087   11.4   0.0   1   1   0.00045      0.12   10.9   0.0    63    95   165   198   155   229 0.74 -
21787at50557_56086_0:000f6d|STRG.18089.2:3741-4433|+   -            231 126015at50557        -            146     0.087   11.4   0.0   1   1   0.00045      0.12   10.9   0.0    63    95   165   198   155   229 0.74 -
21787at50557_56086_0:000f6d|STRG.18089.3:3237-3929|+   -            231 126015at50557        -            146     0.087   11.4   0.0   1   1   0.00045      0.12   10.9   0.0    63    95   165   198   155   229 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/126015at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/126015at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/126015at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:14:49 2024
# [ok]
