#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
132744at50557_103372_0:0003f0|STRG.19418.1:266-637|+  -            124 132744at50557        -             95   4.6e-51  169.9   0.8   1   1   4.5e-53   1.7e-50  168.1   0.8     1    95    14   124    14   124 0.94 -
10394at50557_7536_0:0020dc|STRG.12225.1:339-851|+     -            171 132744at50557        -             95   1.3e-07   30.7   1.3   1   2   1.1e-06   0.00044   19.4   0.1    17    91    12    88     2    93 0.77 -
10394at50557_7536_0:0020dc|STRG.12225.1:339-851|+     -            171 132744at50557        -             95   1.3e-07   30.7   1.3   2   2   0.00058      0.22   10.7   0.2     7    61    95   148    89   171 0.58 -
10394at50557_38123_0:002dad|STRG.19126.1:4013-4528|+  -            172 132744at50557        -             95     9e-06   24.8   0.3   1   2    0.0017      0.66    9.2   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.19126.1:4013-4528|+  -            172 132744at50557        -             95     9e-06   24.8   0.3   2   2   5.7e-05     0.022   13.9   0.1    13    90    57   139    47   144 0.73 -
10394at50557_38123_0:002dad|STRG.19126.2:3856-4371|+  -            172 132744at50557        -             95     9e-06   24.8   0.3   1   2    0.0017      0.66    9.2   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.19126.2:3856-4371|+  -            172 132744at50557        -             95     9e-06   24.8   0.3   2   2   5.7e-05     0.022   13.9   0.1    13    90    57   139    47   144 0.73 -
132744at50557_108931_0:001550|STRG.5280.1:2163-2441|+ -             93 132744at50557        -             95   6.5e-05   22.0   0.0   1   1   8.5e-07   0.00033   19.8   0.0    17    88    25    92     9    93 0.73 -
110125at50557_74873_0:001c94|STRG.19126.1:2759-3298|+ -            180 132744at50557        -             95   0.00033   19.8   0.1   1   2   2.1e-06   0.00079   18.5   0.0    42    91     7    58     1    62 0.79 -
110125at50557_74873_0:001c94|STRG.19126.1:2759-3298|+ -            180 132744at50557        -             95   0.00033   19.8   0.1   2   2       7.3   2.8e+03   -2.5   0.0    14    23   145   154   135   161 0.73 -
110125at50557_74873_0:001c94|STRG.19126.2:2329-2868|+ -            180 132744at50557        -             95   0.00033   19.8   0.1   1   2   2.1e-06   0.00079   18.5   0.0    42    91     7    58     1    62 0.79 -
110125at50557_74873_0:001c94|STRG.19126.2:2329-2868|+ -            180 132744at50557        -             95   0.00033   19.8   0.1   2   2       7.3   2.8e+03   -2.5   0.0    14    23   145   154   135   161 0.73 -
132744at50557_319348_0:00228b|STRG.7902.1:472-648|+   -             59 132744at50557        -             95   0.00058   19.0   0.0   1   1   1.6e-06    0.0006   18.9   0.0    39    87     1    52     1    59 0.71 -
132744at50557_286306_0:0034c8|STRG.5280.2:2288-2458|+ -             57 132744at50557        -             95   0.00059   18.9   0.0   1   1   1.6e-06   0.00061   18.9   0.0    39    88     2    56     1    57 0.80 -
110125at50557_7539_0:00092e|STRG.5096.1:2470-2733|+   -             88 132744at50557        -             95    0.0061   15.7   0.0   1   1   1.9e-05    0.0075   15.4   0.0    42    82    21    63     9    71 0.87 -
110125at50557_7539_0:00092e|STRG.5096.2:2585-2848|+   -             88 132744at50557        -             95    0.0061   15.7   0.0   1   1   1.9e-05    0.0075   15.4   0.0    42    82    21    63     9    71 0.87 -
110125at50557_7539_0:00092e|STRG.5096.3:2665-2928|+   -             88 132744at50557        -             95    0.0061   15.7   0.0   1   1   1.9e-05    0.0075   15.4   0.0    42    82    21    63     9    71 0.87 -
110125at50557_7539_0:00092e|STRG.5096.4:2582-2845|+   -             88 132744at50557        -             95    0.0061   15.7   0.0   1   1   1.9e-05    0.0075   15.4   0.0    42    82    21    63     9    71 0.87 -
110125at50557_7539_0:00092e|STRG.5096.5:2662-2925|+   -             88 132744at50557        -             95    0.0061   15.7   0.0   1   1   1.9e-05    0.0075   15.4   0.0    42    82    21    63     9    71 0.87 -
