#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
40260at50557_56086_0:002a93|STRG.7556.1:17-319|-      -            101 40260at50557         -            408   3.4e-62  209.7   3.2   1   1     2e-64   3.7e-62  209.5   3.2   240   338     1    99     1   101 0.98 -
40260at50557_13249_0:002616|STRG.7560.1:153-419|+     -             89 40260at50557         -            408   9.6e-54  181.8   8.2   1   1   5.7e-56     1e-53  181.7   8.2     1    87     1    87     1    89 0.98 -
40260at50557_13249_0:002616|STRG.7555.1:24-245|-      -             74 40260at50557         -            408   5.3e-33  113.5   3.0   1   1   3.2e-35   5.7e-33  113.4   3.0   340   407     1    74     1    74 0.97 -
40260at50557_13249_0:002616|STRG.16840.1:1341-1553|+  -             71 40260at50557         -            408   1.6e-20   72.4   5.8   1   1   9.6e-23   1.7e-20   72.3   5.8    11    81     1    71     1    71 0.99 -
40260at50557_13249_0:002616|STRG.16840.2:1602-1814|+  -             71 40260at50557         -            408   1.6e-20   72.4   5.8   1   1   9.6e-23   1.7e-20   72.3   5.8    11    81     1    71     1    71 0.99 -
40260at50557_13249_0:002616|STRG.16840.4:1525-1737|+  -             71 40260at50557         -            408   1.6e-20   72.4   5.8   1   1   9.6e-23   1.7e-20   72.3   5.8    11    81     1    71     1    71 0.99 -
40260at50557_133901_0:000d2e|STRG.12795.1:77-289|+    -             71 40260at50557         -            408   6.8e-16   57.2   5.7   1   1   4.1e-18   7.4e-16   57.1   5.7     7    76     1    71     1    71 0.96 -
40260at50557_13249_0:002616|STRG.8467.1:327-527|+     -             67 40260at50557         -            408   3.2e-13   48.4   5.5   1   1     2e-15   3.6e-13   48.2   5.5    10    75     1    67     1    67 0.97 -
40260at50557_13249_0:002616|STRG.8467.2:242-442|+     -             67 40260at50557         -            408   3.2e-13   48.4   5.5   1   1     2e-15   3.6e-13   48.2   5.5    10    75     1    67     1    67 0.97 -
40260at50557_13249_0:002616|STRG.8467.3:327-527|+     -             67 40260at50557         -            408   3.2e-13   48.4   5.5   1   1     2e-15   3.6e-13   48.2   5.5    10    75     1    67     1    67 0.97 -
40260at50557_13249_0:002616|STRG.21573.1:549-707|+    -             53 40260at50557         -            408     3e-12   45.2   4.5   1   1   1.8e-14   3.2e-12   45.1   4.5     9    60     2    53     1    53 0.97 -
40260at50557_13249_0:002616|STRG.21573.2:837-995|+    -             53 40260at50557         -            408     3e-12   45.2   4.5   1   1   1.8e-14   3.2e-12   45.1   4.5     9    60     2    53     1    53 0.97 -
40260at50557_13249_0:002616|STRG.21573.3:816-974|+    -             53 40260at50557         -            408     3e-12   45.2   4.5   1   1   1.8e-14   3.2e-12   45.1   4.5     9    60     2    53     1    53 0.97 -
40260at50557_13249_0:002616|STRG.21573.4:701-859|+    -             53 40260at50557         -            408     3e-12   45.2   4.5   1   1   1.8e-14   3.2e-12   45.1   4.5     9    60     2    53     1    53 0.97 -
40260at50557_13249_0:002616|STRG.21573.5:1376-1534|+  -             53 40260at50557         -            408     3e-12   45.2   4.5   1   1   1.8e-14   3.2e-12   45.1   4.5     9    60     2    53     1    53 0.97 -
26432at50557_6973_0:00651c|STRG.8498.1:549-1022|+     -            158 40260at50557         -            408   5.7e-09   34.4  24.6   1   3   7.5e-06    0.0014   16.7   6.3   356   396     2    44     1    58 0.66 -
26432at50557_6973_0:00651c|STRG.8498.1:549-1022|+     -            158 40260at50557         -            408   5.7e-09   34.4  24.6   2   3   8.8e-07   0.00016   19.7   5.8   162   220    43    99    40   107 0.78 -
26432at50557_6973_0:00651c|STRG.8498.1:549-1022|+     -            158 40260at50557         -            408   5.7e-09   34.4  24.6   3   3    0.0076       1.4    6.8   2.7   178   200   121   143    98   158 0.62 -
26432at50557_1507135_0:0025ae|STRG.16717.1:432-782|+  -            117 40260at50557         -            408   7.9e-08   30.6   7.6   1   2   7.9e-08   1.4e-05   23.2   2.4   162   230     1    70     1    73 0.91 -
26432at50557_1507135_0:0025ae|STRG.16717.1:432-782|+  -            117 40260at50557         -            408   7.9e-08   30.6   7.6   2   2     3e-05    0.0054   14.7   0.6   162   196    65   100    62   105 0.73 -
26432at50557_1507135_0:0025ae|STRG.16717.2:420-770|+  -            117 40260at50557         -            408   7.9e-08   30.6   7.6   1   2   7.9e-08   1.4e-05   23.2   2.4   162   230     1    70     1    73 0.91 -
26432at50557_1507135_0:0025ae|STRG.16717.2:420-770|+  -            117 40260at50557         -            408   7.9e-08   30.6   7.6   2   2     3e-05    0.0054   14.7   0.6   162   196    65   100    62   105 0.73 -
40260at50557_7004_0:002f5a|STRG.5063.1:1758-2099|+    -            114 40260at50557         -            408   2.3e-07   29.1  15.8   1   2   6.8e-08   1.2e-05   23.4   7.9   164   222     3    62     1    77 0.57 -
40260at50557_7004_0:002f5a|STRG.5063.1:1758-2099|+    -            114 40260at50557         -            408   2.3e-07   29.1  15.8   2   2    0.0015      0.26    9.1   4.9    11   198    63   100    60   114 0.35 -
40260at50557_7004_0:002f5a|STRG.5063.2:1758-2099|+    -            114 40260at50557         -            408   2.3e-07   29.1  15.8   1   2   6.8e-08   1.2e-05   23.4   7.9   164   222     3    62     1    77 0.57 -
40260at50557_7004_0:002f5a|STRG.5063.2:1758-2099|+    -            114 40260at50557         -            408   2.3e-07   29.1  15.8   2   2    0.0015      0.26    9.1   4.9    11   198    63   100    60   114 0.35 -
26432at50557_6973_0:00651c|STRG.23844.1:259-813|+     -            185 40260at50557         -            408   2.8e-07   28.8  25.8   1   2   1.7e-07     3e-05   22.1  17.9   265   401     1   132     1   137 0.75 -
26432at50557_6973_0:00651c|STRG.23844.1:259-813|+     -            185 40260at50557         -            408   2.8e-07   28.8  25.8   2   2    0.0096       1.7    6.4   1.9   174   196   144   166   129   184 0.78 -
26432at50557_6973_0:00651c|STRG.17409.1:1153-1761|+   -            203 40260at50557         -            408   3.3e-07   28.6  21.0   1   3      0.34        61    1.3   6.2   340   386    23    75    15    87 0.56 -
26432at50557_6973_0:00651c|STRG.17409.1:1153-1761|+   -            203 40260at50557         -            408   3.3e-07   28.6  21.0   2   3   2.6e-07   4.6e-05   21.5   3.6   176   222    96   142    75   147 0.64 -
26432at50557_6973_0:00651c|STRG.17409.1:1153-1761|+   -            203 40260at50557         -            408   3.3e-07   28.6  21.0   3   3   7.6e-05     0.014   13.4   0.6   174   212   161   202   158   203 0.74 -
26432at50557_6973_0:00651c|STRG.17409.2:963-1571|+    -            203 40260at50557         -            408   3.3e-07   28.6  21.0   1   3      0.34        61    1.3   6.2   340   386    23    75    15    87 0.56 -
26432at50557_6973_0:00651c|STRG.17409.2:963-1571|+    -            203 40260at50557         -            408   3.3e-07   28.6  21.0   2   3   2.6e-07   4.6e-05   21.5   3.6   176   222    96   142    75   147 0.64 -
26432at50557_6973_0:00651c|STRG.17409.2:963-1571|+    -            203 40260at50557         -            408   3.3e-07   28.6  21.0   3   3   7.6e-05     0.014   13.4   0.6   174   212   161   202   158   203 0.74 -
40260at50557_121845_0:00039e|STRG.5063.3:1662-2099|+  -            146 40260at50557         -            408   3.5e-07   28.5  16.7   1   2   6.6e-08   1.2e-05   23.4   8.6   162   222    33    94    18   109 0.61 -
40260at50557_121845_0:00039e|STRG.5063.3:1662-2099|+  -            146 40260at50557         -            408   3.5e-07   28.5  16.7   2   2    0.0024      0.42    8.4   5.0   161   198    94   132    91   146 0.39 -
26432at50557_1507135_0:0025ae|STRG.20819.2:126-677|+  -            184 40260at50557         -            408   4.6e-06   24.8  16.4   1   2   1.2e-06   0.00022   19.3  12.5   265   388    22   135     9   144 0.76 -
26432at50557_1507135_0:0025ae|STRG.20819.2:126-677|+  -            184 40260at50557         -            408   4.6e-06   24.8  16.4   2   2      0.49        88    0.8   0.1   280   300   161   181   136   184 0.55 -
26432at50557_178035_0:0024cb|STRG.23844.2:1506-2570|+ -            355 40260at50557         -            408   5.1e-06   24.7  26.5   1   2   2.1e-06   0.00037   18.5  19.7   265   401   172   303   164   305 0.75 -
26432at50557_178035_0:0024cb|STRG.23844.2:1506-2570|+ -            355 40260at50557         -            408   5.1e-06   24.7  26.5   2   2     0.033       5.9    4.7   2.6   173   196   314   337   297   349 0.73 -
26432at50557_1507135_0:0025ae|STRG.18997.2:139-483|+  -            115 40260at50557         -            408     1e-05   23.6   7.1   1   2   1.9e-05    0.0034   15.4   2.4   161   220     4    63     1    71 0.68 -
26432at50557_1507135_0:0025ae|STRG.18997.2:139-483|+  -            115 40260at50557         -            408     1e-05   23.6   7.1   2   2   0.00027     0.049   11.5   1.0    10    46    65   100    57   115 0.61 -
26432at50557_1507135_0:0025ae|STRG.18997.4:139-483|+  -            115 40260at50557         -            408     1e-05   23.6   7.1   1   2   1.9e-05    0.0034   15.4   2.4   161   220     4    63     1    71 0.68 -
26432at50557_1507135_0:0025ae|STRG.18997.4:139-483|+  -            115 40260at50557         -            408     1e-05   23.6   7.1   2   2   0.00027     0.049   11.5   1.0    10    46    65   100    57   115 0.61 -
