#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
27737at50557_103372_0:000a01|STRG.12292.1:0-1832|+    -            611 27737at50557         -            506  2.8e-264  876.2   9.2   1   1  1.3e-265    1e-263  874.4   9.2     6   506    27   605    22   605 0.91 -
120478at50557_103372_0:000c5c|STRG.1952.2:313-795|+   -            161 27737at50557         -            506   1.5e-42  144.7   0.0   1   1   2.3e-44   1.8e-42  144.5   0.0   374   487     3   119     1   136 0.94 -
42193at50557_123851_0:000a5d|STRG.15792.1:228-662|+   -            145 27737at50557         -            506   5.8e-42  142.8   0.2   1   1   7.9e-44   6.2e-42  142.7   0.2   375   503     3   144     1   145 0.90 -
120478at50557_29058_0:003119|STRG.21153.1:212-682|+   -            157 27737at50557         -            506     1e-39  135.4   0.1   1   1   1.5e-41   1.2e-39  135.2   0.1   375   488     2   118     1   135 0.94 -
42193at50557_103372_0:0016db|STRG.4679.1:0-1571|+     -            524 27737at50557         -            506   5.2e-38  129.8   1.0   1   1   7.8e-40   6.1e-38  129.5   0.1   377   487   288   401   267   430 0.88 -
27737at50557_67767_0:00339d|STRG.5036.1:85-555|+      -            157 27737at50557         -            506     8e-36  122.5   0.3   1   1   1.1e-37   8.5e-36  122.4   0.3   378   497    14   143     5   157 0.85 -
27737at50557_67767_0:00339d|STRG.5036.3:21-473|+      -            151 27737at50557         -            506   8.2e-36  122.5   0.3   1   1   1.1e-37   8.2e-36  122.5   0.3   379   497     9   137     1   151 0.86 -
27737at50557_67767_0:00339d|STRG.501.1:18-449|+       -            144 27737at50557         -            506   7.2e-33  112.8   1.2   1   1   9.8e-35   7.6e-33  112.7   1.2   381   499     2   131     1   139 0.85 -
27737at50557_67767_0:00339d|STRG.501.2:18-449|+       -            144 27737at50557         -            506   7.2e-33  112.8   1.2   1   1   9.8e-35   7.6e-33  112.7   1.2   381   499     2   131     1   139 0.85 -
27737at50557_67767_0:00339d|STRG.501.3:18-449|+       -            144 27737at50557         -            506   7.2e-33  112.8   1.2   1   1   9.8e-35   7.6e-33  112.7   1.2   381   499     2   131     1   139 0.85 -
27737at50557_67767_0:00339d|STRG.21006.1:489-965|+    -            159 27737at50557         -            506   1.9e-32  111.4   0.2   1   1   2.8e-34   2.2e-32  111.2   0.2   368   495    13   150     1   154 0.86 -
27737at50557_121845_0:000a82|STRG.12998.1:563-1057|+  -            165 27737at50557         -            506     5e-32  110.0   0.2   1   1   8.4e-34   6.5e-32  109.6   0.2   380   495    13   142     3   152 0.82 -
27737at50557_121845_0:000a82|STRG.12998.2:563-1160|+  -            165 27737at50557         -            506     5e-32  110.0   0.2   1   1   8.4e-34   6.5e-32  109.6   0.2   380   495    13   142     3   152 0.82 -
27737at50557_121845_0:000a82|STRG.12998.3:18-512|+    -            165 27737at50557         -            506     5e-32  110.0   0.2   1   1   8.4e-34   6.5e-32  109.6   0.2   380   495    13   142     3   152 0.82 -
120478at50557_103372_0:000c5c|STRG.1952.1:181-588|+   -            136 27737at50557         -            506   9.4e-32  109.1   0.0   1   1   1.4e-33   1.1e-31  108.9   0.0   398   487     2    94     1   113 0.92 -
27737at50557_67767_0:00339d|STRG.5607.1:22-399|+      -            126 27737at50557         -            506   3.1e-31  107.4   0.3   1   1   4.7e-33   3.7e-31  107.1   0.3   392   496     1   115     1   119 0.87 -
120478at50557_411798_0:003623|STRG.1907.1:81-536|+    -            152 27737at50557         -            506   2.8e-27   94.4   0.1   1   1     4e-29   3.1e-27   94.2   0.1   378   487     1   122     1   138 0.85 -
92898at50557_62324_0:001787|STRG.16244.1:254-748|+    -            165 27737at50557         -            506   1.1e-26   92.4   0.0   1   1   1.6e-28   1.2e-26   92.2   0.0   374   506     3   156     1   156 0.83 -
92898at50557_62324_0:001787|STRG.16244.2:0-494|+      -            165 27737at50557         -            506   1.1e-26   92.4   0.0   1   1   1.6e-28   1.2e-26   92.2   0.0   374   506     3   156     1   156 0.83 -
42193at50557_123851_0:000a5d|STRG.13996.2:93-536|+    -            148 27737at50557         -            506   1.8e-23   81.8   0.2   1   1   2.5e-25     2e-23   81.6   0.2   381   492     2   131     1   145 0.81 -
120478at50557_7237_0:001615|STRG.13996.1:271-673|+    -            119 27737at50557         -            506   9.1e-18   63.0   0.5   1   1   2.3e-19   1.8e-17   62.0   0.5   381   489     2   109     1   117 0.85 -
42193at50557_7539_0:00337e|STRG.13996.3:630-932|+     -            101 27737at50557         -            506   4.4e-15   54.1   0.1   1   1   5.9e-17   4.6e-15   54.0   0.1   417   492     1    84     1    98 0.84 -
42193at50557_7539_0:00337e|STRG.5036.2:145-375|+      -             77 27737at50557         -            506   3.3e-13   47.9   0.3   1   1   4.7e-15   3.6e-13   47.8   0.3   386   449     2    71     1    74 0.80 -
42193at50557_197043_0:007f2e|STRG.5608.1:0-197|-      -             66 27737at50557         -            506   1.9e-12   45.4   0.3   1   1   2.5e-14   1.9e-12   45.4   0.3   392   448     3    63     1    66 0.85 -
42193at50557_197043_0:007f2e|STRG.19187.1:111-284|+   -             58 27737at50557         -            506   7.1e-12   43.5   0.1   1   1   9.6e-14   7.5e-12   43.4   0.1   381   434     1    58     1    58 0.86 -
42193at50557_7539_0:00337e|STRG.2579.2:517-879|+      -            121 27737at50557         -            506     1e-11   43.0   0.1   1   1   1.3e-13     1e-11   43.0   0.1   387   488     2   109     1   121 0.85 -
42193at50557_7539_0:00337e|STRG.2579.4:555-917|+      -            121 27737at50557         -            506     1e-11   43.0   0.1   1   1   1.3e-13     1e-11   43.0   0.1   387   488     2   109     1   121 0.85 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+    -            286 27737at50557         -            506   6.5e-11   40.3   0.9   1   2    0.0089       0.7    7.3   0.0   186   210    53    77    42    87 0.91 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+    -            286 27737at50557         -            506   6.5e-11   40.3   0.9   2   2   2.1e-07   1.6e-05   22.5   0.6    31   208    88   283    81   285 0.71 -
42193at50557_7539_0:00337e|STRG.2579.3:517-945|+      -            113 27737at50557         -            506   9.7e-11   39.8   0.1   1   1   1.3e-12   9.9e-11   39.7   0.1   387   488     2   101     1   113 0.85 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+     -            286 27737at50557         -            506   5.4e-10   37.3   0.8   1   5     0.032       2.5    5.4   0.0   177   207    43    76    36    79 0.80 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+     -            286 27737at50557         -            506   5.4e-10   37.3   0.8   2   5     0.014       1.1    6.6   0.0   177   216    85   127    77   133 0.71 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+     -            286 27737at50557         -            506   5.4e-10   37.3   0.8   3   5   0.00011    0.0082   13.6   0.0   185   221   138   174   132   190 0.87 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+     -            286 27737at50557         -            506   5.4e-10   37.3   0.8   4   5      0.26        21    2.4   0.0    80    98   230   248   189   260 0.67 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+     -            286 27737at50557         -            506   5.4e-10   37.3   0.8   5   5      0.22        17    2.6   0.0   183   206   262   285   256   286 0.89 -
42193at50557_7539_0:00337e|STRG.2579.1:667-945|+      -             93 27737at50557         -            506   1.4e-08   32.6   0.1   1   1   1.8e-10   1.4e-08   32.6   0.1   413   488     3    81     1    93 0.87 -
14512at50557_56086_0:000590|STRG.9671.1:731-1198|+    -            156 27737at50557         -            506   8.9e-08   30.0   0.0   1   3     0.003      0.24    8.8   0.0   184   219     5    40     1    49 0.90 -
14512at50557_56086_0:000590|STRG.9671.1:731-1198|+    -            156 27737at50557         -            506   8.9e-08   30.0   0.0   2   3     0.063       4.9    4.5   0.0    42    60    54    72    42    78 0.78 -
14512at50557_56086_0:000590|STRG.9671.1:731-1198|+    -            156 27737at50557         -            506   8.9e-08   30.0   0.0   3   3   9.4e-05    0.0073   13.8   0.0   184   225    89   130    70   144 0.83 -
14512at50557_56086_0:000590|STRG.9671.2:531-998|+     -            156 27737at50557         -            506   8.9e-08   30.0   0.0   1   3     0.003      0.24    8.8   0.0   184   219     5    40     1    49 0.90 -
14512at50557_56086_0:000590|STRG.9671.2:531-998|+     -            156 27737at50557         -            506   8.9e-08   30.0   0.0   2   3     0.063       4.9    4.5   0.0    42    60    54    72    42    78 0.78 -
14512at50557_56086_0:000590|STRG.9671.2:531-998|+     -            156 27737at50557         -            506   8.9e-08   30.0   0.0   3   3   9.4e-05    0.0073   13.8   0.0   184   225    89   130    70   144 0.83 -
43121at50557_103372_0:001d6c|STRG.22490.2:0-1529|+    -            510 27737at50557         -            506   9.1e-08   30.0   2.7   1   5   0.00018     0.014   12.9   0.0   186   242   220   274   196   279 0.80 -
43121at50557_103372_0:001d6c|STRG.22490.2:0-1529|+    -            510 27737at50557         -            506   9.1e-08   30.0   2.7   2   5     0.089         7    4.0   0.1   184   221   268   305   252   310 0.70 -
43121at50557_103372_0:001d6c|STRG.22490.2:0-1529|+    -            510 27737at50557         -            506   9.1e-08   30.0   2.7   3   5     0.011      0.87    6.9   0.1   181   218   308   345   301   354 0.87 -
43121at50557_103372_0:001d6c|STRG.22490.2:0-1529|+    -            510 27737at50557         -            506   9.1e-08   30.0   2.7   4   5     0.024       1.9    5.8   0.1    31    65   348   385   343   411 0.68 -
43121at50557_103372_0:001d6c|STRG.22490.2:0-1529|+    -            510 27737at50557         -            506   9.1e-08   30.0   2.7   5   5       2.9   2.3e+02   -1.0   0.0    32    59   482   509   446   510 0.80 -
43121at50557_103372_0:001d6c|STRG.22490.1:761-2358|+  -            510 27737at50557         -            506   9.3e-08   29.9   2.7   1   5   0.00018     0.014   12.9   0.0   186   242   220   274   196   279 0.80 -
43121at50557_103372_0:001d6c|STRG.22490.1:761-2358|+  -            510 27737at50557         -            506   9.3e-08   29.9   2.7   2   5     0.089         7    4.0   0.1   184   221   268   305   252   310 0.70 -
43121at50557_103372_0:001d6c|STRG.22490.1:761-2358|+  -            510 27737at50557         -            506   9.3e-08   29.9   2.7   3   5     0.011      0.87    6.9   0.1   181   218   308   345   301   354 0.87 -
43121at50557_103372_0:001d6c|STRG.22490.1:761-2358|+  -            510 27737at50557         -            506   9.3e-08   29.9   2.7   4   5     0.024       1.9    5.8   0.1    31    65   348   385   343   411 0.68 -
43121at50557_103372_0:001d6c|STRG.22490.1:761-2358|+  -            510 27737at50557         -            506   9.3e-08   29.9   2.7   5   5         3   2.3e+02   -1.1   0.0    32    59   482   509   446   510 0.80 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+ -            268 27737at50557         -            506   6.8e-07   27.1   2.3   1   4     0.015       1.2    6.5   0.1    46   105     3    66     2    86 0.77 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+ -            268 27737at50557         -            506   6.8e-07   27.1   2.3   2   4    0.0081      0.63    7.4   0.1    44    99    41   100    33   109 0.69 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+ -            268 27737at50557         -            506   6.8e-07   27.1   2.3   3   4   3.2e-05    0.0025   15.3   0.0    32    96   113   180   107   190 0.82 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+ -            268 27737at50557         -            506   6.8e-07   27.1   2.3   4   4      0.57        45    1.3   0.0    38    59   198   219   187   225 0.79 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+ -            268 27737at50557         -            506   6.8e-07   27.1   2.3   1   4     0.015       1.2    6.5   0.1    46   105     3    66     2    86 0.77 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+ -            268 27737at50557         -            506   6.8e-07   27.1   2.3   2   4    0.0081      0.63    7.4   0.1    44    99    41   100    33   109 0.69 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+ -            268 27737at50557         -            506   6.8e-07   27.1   2.3   3   4   3.2e-05    0.0025   15.3   0.0    32    96   113   180   107   190 0.82 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+ -            268 27737at50557         -            506   6.8e-07   27.1   2.3   4   4      0.57        45    1.3   0.0    38    59   198   219   187   225 0.79 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+  -            305 27737at50557         -            506   8.8e-07   26.7   9.8   1   3   0.00067     0.052   11.0   0.5    31    97     4    77     3    95 0.74 -
