#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
59918at50557_456900_0:001767|STRG.7417.5:0-1193|+    -            398 59918at50557         -            285  6.4e-159  526.5  13.8   1   1  3.4e-161  1.4e-158  525.4  13.8     5   285    42   355    39   355 0.94 -
59918at50557_286306_0:00078b|STRG.7417.1:8-1403|+    -            413 59918at50557         -            285  6.7e-159  526.4  13.7   1   1  3.5e-161  1.4e-158  525.4  13.7     5   285    58   371    55   371 0.94 -
59918at50557_286306_0:00078b|STRG.7417.2:8-1400|+    -            412 59918at50557         -            285  4.5e-156  517.2  13.6   1   1  2.4e-158  9.5e-156  516.1  13.6     5   285    58   370    55   370 0.94 -
59918at50557_286306_0:00078b|STRG.7417.4:8-1320|+    -            412 59918at50557         -            285  4.5e-156  517.2  13.6   1   1  2.4e-158  9.5e-156  516.1  13.6     5   285    58   370    55   370 0.94 -
59918at50557_286306_0:00078b|STRG.7417.3:8-1520|+    -            414 59918at50557         -            285  4.8e-154  510.5  14.4   1   1  2.5e-156    1e-153  509.4  14.4     5   285    58   372    55   372 0.94 -
81145at50557_104421_0:001dae|STRG.10307.1:221-1138|+ -            306 59918at50557         -            285     3e-18   64.9   0.6   1   1   1.2e-20   4.9e-18   64.2   0.6     7   183     2   192     1   273 0.79 -
81145at50557_104421_0:001dae|STRG.10307.2:399-1316|+ -            306 59918at50557         -            285     3e-18   64.9   0.6   1   1   1.2e-20   4.9e-18   64.2   0.6     7   183     2   192     1   273 0.79 -
129498at50557_7493_0:00132e|STRG.9199.1:27-503|+     -            159 59918at50557         -            285   0.00029   19.1   0.0   1   1   8.3e-07   0.00034   18.8   0.0    52   152    45   146    41   159 0.86 -
129498at50557_7493_0:00132e|STRG.9199.2:380-856|+    -            159 59918at50557         -            285   0.00029   19.1   0.0   1   1   8.3e-07   0.00034   18.8   0.0    52   152    45   146    41   159 0.86 -
129498at50557_7493_0:00132e|STRG.9199.3:1385-1861|+  -            159 59918at50557         -            285   0.00029   19.1   0.0   1   1   8.3e-07   0.00034   18.8   0.0    52   152    45   146    41   159 0.86 -
129498at50557_7493_0:00132e|STRG.9199.4:993-1469|+   -            159 59918at50557         -            285   0.00029   19.1   0.0   1   1   8.3e-07   0.00034   18.8   0.0    52   152    45   146    41   159 0.86 -
106023at50557_37001_0:0016d5|STRG.21730.3:3-512|+    -            170 59918at50557         -            285   0.00096   17.3   0.1   1   1   2.5e-06     0.001   17.3   0.1     4    91     4    91     1   133 0.83 -
106023at50557_7176_0:002083|STRG.21730.2:639-1157|+  -            173 59918at50557         -            285   0.00097   17.3   0.1   1   1   2.6e-06     0.001   17.2   0.1     4    91     7    94     4   135 0.83 -
106023at50557_104688_0:002b29|STRG.21730.1:69-605|+  -            179 59918at50557         -            285    0.0011   17.2   0.1   1   1   2.9e-06    0.0012   17.0   0.1     4    91    13   100    10   139 0.82 -
118237at50557_7070_0:00080a|STRG.6573.1:165-710|+    -            182 59918at50557         -            285     0.011   13.9   0.0   1   1   0.00011     0.045   11.9   0.0     3   113    15   119    13   163 0.74 -
118237at50557_121845_0:0047c3|STRG.8947.1:151-651|+  -            167 59918at50557         -            285     0.053   11.6   0.0   1   1   0.00035      0.14   10.2   0.0     9    91    13    88     9    98 0.70 -
106023at50557_7038_0:002188|STRG.16916.3:297-839|+   -            181 59918at50557         -            285     0.056   11.5   0.0   1   1   0.00015     0.062   11.4   0.0    48   150    65   164    22   178 0.63 -
118237at50557_121845_0:0047c3|STRG.8947.2:151-672|+  -            174 59918at50557         -            285     0.059   11.5   0.0   1   1   0.00038      0.16   10.1   0.0     9    91    13    88     9    98 0.69 -
118237at50557_121845_0:0047c3|STRG.8947.3:21-545|+   -            175 59918at50557         -            285      0.06   11.5   0.0   1   1   0.00039      0.16   10.1   0.0     9    91    13    88     9    98 0.69 -
118237at50557_7070_0:00080a|STRG.20631.1:1146-1622|+ -            159 59918at50557         -            285     0.067   11.3   0.1   1   1   0.00054      0.22    9.6   0.0    10    92     3    79     1   101 0.67 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/59918at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/59918at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/59918at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:19:06 2024
# [ok]
