#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
96211at50557_520822_0:002184|STRG.5840.1:0-647|+     -            216 96211at50557         -            195   4.6e-59  197.9   9.4   1   1   2.7e-61   2.8e-58  195.4   9.4    33   195     1   198     1   198 0.87 -
97065at50557_103372_0:0008a1|STRG.19785.2:185-895|+  -            237 96211at50557         -            195   1.7e-08   32.9   0.0   1   1   2.3e-11   2.4e-08   32.5   0.0    70   169    64   179    16   185 0.80 -
97065at50557_103372_0:0008a1|STRG.19785.1:172-885|+  -            238 96211at50557         -            195   1.8e-08   32.9   0.0   1   1   2.3e-11   2.3e-08   32.5   0.0    70   169    65   180    16   186 0.80 -
138527at50557_217634_0:002b14|STRG.17857.1:151-390|+ -             80 96211at50557         -            195   0.00092   17.5   0.0   1   1   1.1e-06    0.0011   17.3   0.0   115   167    11    75     3    78 0.75 -
138527at50557_121225_0:001e16|STRG.3902.1:66-422|+   -            119 96211at50557         -            195    0.0097   14.2   0.2   1   1   1.1e-05     0.012   13.9   0.2    99   175    11    95     6   114 0.73 -
65618at50557_103372_0:000ad6|STRG.6475.1:124-1365|+  -            414 96211at50557         -            195     0.016   13.5   0.3   1   3    0.0026       2.7    6.2   0.0    99   164    17    90     9    94 0.62 -
65618at50557_103372_0:000ad6|STRG.6475.1:124-1365|+  -            414 96211at50557         -            195     0.016   13.5   0.3   2   3    0.0077       7.8    4.7   0.0   139   164   164   189   147   210 0.78 -
65618at50557_103372_0:000ad6|STRG.6475.1:124-1365|+  -            414 96211at50557         -            195     0.016   13.5   0.3   3   3       2.8   2.8e+03   -3.7   0.1    64    83   241   260   226   274 0.60 -
65618at50557_520822_0:000026|STRG.6475.2:115-1566|+  -            417 96211at50557         -            195     0.016   13.4   0.3   1   3    0.0027       2.7    6.2   0.0    99   164    20    93    12    97 0.62 -
65618at50557_520822_0:000026|STRG.6475.2:115-1566|+  -            417 96211at50557         -            195     0.016   13.4   0.3   2   3    0.0078       7.9    4.7   0.0   139   164   167   192   150   213 0.78 -
65618at50557_520822_0:000026|STRG.6475.2:115-1566|+  -            417 96211at50557         -            195     0.016   13.4   0.3   3   3       2.8   2.8e+03   -3.7   0.1    64    83   244   263   229   277 0.60 -
65618at50557_520822_0:000026|STRG.6475.3:115-1630|+  -            409 96211at50557         -            195     0.016   13.4   0.3   1   3    0.0026       2.6    6.2   0.0    99   164    20    93    12    97 0.62 -
65618at50557_520822_0:000026|STRG.6475.3:115-1630|+  -            409 96211at50557         -            195     0.016   13.4   0.3   2   3    0.0076       7.7    4.7   0.0   139   164   167   192   150   213 0.78 -
65618at50557_520822_0:000026|STRG.6475.3:115-1630|+  -            409 96211at50557         -            195     0.016   13.4   0.3   3   3       2.5   2.5e+03   -3.5   0.1    64    83   244   263   228   278 0.60 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/96211at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/96211at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/96211at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:20:44 2024
# [ok]
