#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
38815at50557_520822_0:00044d|STRG.760.1:0-1886|+     -            629 38815at50557         -            491    2e-141  470.6   0.2   1   1  1.3e-143  3.3e-141  469.9   0.2     2   491    49   629    48   629 0.86 -
38815at50557_74869_0:001e74|STRG.20046.1:320-1930|+  -            537 38815at50557         -            491   8.2e-66  221.2   0.0   1   1   1.2e-67     3e-65  219.4   0.0    10   453     2   536     1   537 0.82 -
38815at50557_74869_0:001e74|STRG.20046.2:226-1836|+  -            537 38815at50557         -            491   8.2e-66  221.2   0.0   1   1   1.2e-67     3e-65  219.4   0.0    10   453     2   536     1   537 0.82 -
38815at50557_136037_0:00109b|STRG.23313.1:120-1205|+ -            362 38815at50557         -            491     1e-36  125.3   0.0   1   1   5.6e-39   1.4e-36  124.8   0.0    42   321    23   350     3   356 0.78 -
38815at50557_136037_0:00109b|STRG.15702.1:207-1292|+ -            362 38815at50557         -            491   3.5e-33  113.6   0.0   1   1   1.9e-35   4.7e-33  113.2   0.0    41   323    22   352     2   356 0.78 -
38815at50557_6973_0:0035db|STRG.15702.2:495-1466|+   -            324 38815at50557         -            491   1.2e-32  111.8   0.0   1   1   6.7e-35   1.7e-32  111.4   0.0    75   324    22   309     6   319 0.84 -
56276at50557_319348_0:003341|STRG.8731.1:48-1244|+   -            399 38815at50557         -            491   1.4e-27   95.2   0.0   1   1   6.9e-30   1.7e-27   94.8   0.0    77   280    92   330    44   384 0.75 -
38815at50557_6973_0:0035db|STRG.3686.1:188-1201|+    -            338 38815at50557         -            491   3.4e-23   80.7   0.0   1   1   1.6e-25   4.1e-23   80.4   0.0    72   300    22   291     1   333 0.75 -
56276at50557_319348_0:003341|STRG.15967.1:533-1654|+ -            374 38815at50557         -            491   6.3e-22   76.5   0.0   1   1   3.4e-24   8.7e-22   76.0   0.0    52   323    35   355     9   368 0.78 -
56276at50557_319348_0:003341|STRG.15967.2:533-1654|+ -            374 38815at50557         -            491   6.3e-22   76.5   0.0   1   1   3.4e-24   8.7e-22   76.0   0.0    52   323    35   355     9   368 0.78 -
56276at50557_319348_0:003341|STRG.15967.3:90-1211|+  -            374 38815at50557         -            491   6.3e-22   76.5   0.0   1   1   3.4e-24   8.7e-22   76.0   0.0    52   323    35   355     9   368 0.78 -
