#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
102968at50557_34720_0:0002ad|STRG.5936.1:147-5828|+   -           1894 102968at50557        -            278  2.4e-121  403.3   0.8   1   1  1.5e-123  4.4e-121  402.5   0.8     1   273     1   306     1   311 0.91 -
102968at50557_113334_0:00227f|STRG.2912.1:1200-1391|+ -             64 102968at50557        -            278   3.3e-07   28.9   0.2   1   1   1.2e-09   3.5e-07   28.8   0.2     6    67     1    64     1    64 0.95 -
10394at50557_52612_0:0049a4|STRG.14395.5:252-1241|+   -            330 102968at50557        -            278     5e-07   28.3   0.0   1   3    0.0021      0.62    8.3   0.0   186   230     3    46     1    85 0.79 -
10394at50557_52612_0:0049a4|STRG.14395.5:252-1241|+   -            330 102968at50557        -            278     5e-07   28.3   0.0   2   3   0.00067       0.2    9.9   0.0   171   247    94   173    74   179 0.75 -
10394at50557_52612_0:0049a4|STRG.14395.5:252-1241|+   -            330 102968at50557        -            278     5e-07   28.3   0.0   3   3    0.0062       1.9    6.8   0.0   199   242   215   258   204   286 0.78 -
10394at50557_52612_0:0049a4|STRG.1271.1:952-1914|+    -            321 102968at50557        -            278     1e-06   27.3   0.0   1   2   6.6e-05      0.02   13.2   0.0   201   249    38    86    16   104 0.86 -
10394at50557_52612_0:0049a4|STRG.1271.1:952-1914|+    -            321 102968at50557        -            278     1e-06   27.3   0.0   2   2   0.00019     0.056   11.8   0.0   195   250   235   290   227   297 0.92 -
110125at50557_7539_0:00092e|STRG.5096.1:2470-2733|+   -             88 102968at50557        -            278   3.2e-05   22.4   0.0   1   1   1.2e-07   3.5e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
110125at50557_7539_0:00092e|STRG.5096.2:2585-2848|+   -             88 102968at50557        -            278   3.2e-05   22.4   0.0   1   1   1.2e-07   3.5e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
110125at50557_7539_0:00092e|STRG.5096.3:2665-2928|+   -             88 102968at50557        -            278   3.2e-05   22.4   0.0   1   1   1.2e-07   3.5e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
110125at50557_7539_0:00092e|STRG.5096.4:2582-2845|+   -             88 102968at50557        -            278   3.2e-05   22.4   0.0   1   1   1.2e-07   3.5e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
110125at50557_7539_0:00092e|STRG.5096.5:2662-2925|+   -             88 102968at50557        -            278   3.2e-05   22.4   0.0   1   1   1.2e-07   3.5e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
10394at50557_378494_0:004c1b|STRG.1271.2:36-851|+     -            272 102968at50557        -            278   0.00031   19.1   0.0   1   2    0.0059       1.8    6.8   0.0   187   248    10    71     7    79 0.89 -
10394at50557_378494_0:004c1b|STRG.1271.2:36-851|+     -            272 102968at50557        -            278   0.00031   19.1   0.0   2   2   0.00051      0.15   10.3   0.0   201   241   230   270   207   272 0.84 -
