#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
34006at50557_520822_0:000571|STRG.14919.1:0-1982|+     -            661 34006at50557         -            414  5.1e-229  758.9   4.9   1   1  4.7e-230  1.9e-228  757.0   4.9     1   414   180   645   180   645 0.93 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+      -            286 34006at50557         -            414   1.2e-19   69.3   1.6   1   2   5.4e-12   2.2e-10   38.8   0.1   112   244     6   150     3   151 0.76 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+      -            286 34006at50557         -            414   1.2e-19   69.3   1.6   2   2   3.2e-09   1.3e-07   29.6   0.5   111   223   131   252   130   277 0.74 -
40115at50557_28612_0:000941|STRG.21446.3:39-890|+      -            284 34006at50557         -            414   1.5e-19   69.0   1.3   1   2   7.6e-12   3.1e-10   38.3   0.1   118   245    12   150     2   151 0.73 -
40115at50557_28612_0:000941|STRG.21446.3:39-890|+      -            284 34006at50557         -            414   1.5e-19   69.0   1.3   2   2   2.2e-11   8.9e-10   36.8   0.2   110   243   129   274   122   283 0.80 -
40115at50557_28612_0:000941|STRG.21446.1:0-911|+       -            304 34006at50557         -            414   1.7e-19   68.8   1.3   1   2   7.4e-12     3e-10   38.3   0.1   111   245    23   170    18   171 0.73 -
40115at50557_28612_0:000941|STRG.21446.1:0-911|+       -            304 34006at50557         -            414   1.7e-19   68.8   1.3   2   2     3e-11   1.2e-09   36.3   0.2   110   243   149   294   145   303 0.80 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 34006at50557         -            414   1.8e-17   62.1   4.0   1   6       1.1        43    1.6   0.0   209   247    30    70    22    87 0.82 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 34006at50557         -            414   1.8e-17   62.1   4.0   2   6     0.088       3.6    5.1   0.0   149   184   136   171   126   181 0.66 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 34006at50557         -            414   1.8e-17   62.1   4.0   3   6      0.35        14    3.2   0.0   154   204   308   359   297   363 0.82 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 34006at50557         -            414   1.8e-17   62.1   4.0   4   6   8.6e-10   3.5e-08   31.5   0.1   129   221   367   468   362   498 0.80 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 34006at50557         -            414   1.8e-17   62.1   4.0   5   6   7.5e-05     0.003   15.2   0.0   111   184   521   595   511   604 0.78 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 34006at50557         -            414   1.8e-17   62.1   4.0   6   6       6.2   2.5e+02   -1.0   0.0   151   185   623   658   596   668 0.68 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+     -            286 34006at50557         -            414   8.6e-17   59.9   1.1   1   2   7.9e-09   3.2e-07   28.3   0.1   110   243     3   147     1   148 0.75 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+     -            286 34006at50557         -            414   8.6e-17   59.9   1.1   2   2   1.1e-08   4.5e-07   27.8   0.1   111   242   129   270   127   273 0.75 -
80377at50557_166361_0:002fc1|STRG.22106.1:434-1147|+   -            238 34006at50557         -            414   7.4e-16   56.8   0.5   1   2   0.00068     0.028   12.1   0.0   153   189     5    41     2    47 0.87 -
80377at50557_166361_0:002fc1|STRG.22106.1:434-1147|+   -            238 34006at50557         -            414   7.4e-16   56.8   0.5   2   2   4.8e-12   1.9e-10   38.9   0.2    15   182    67   227    59   233 0.76 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 34006at50557         -            414   3.4e-15   54.6   4.3   1   3    0.0004     0.016   12.8   0.1   110   185     2    79     1   101 0.77 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 34006at50557         -            414   3.4e-15   54.6   4.3   2   3   2.6e-05    0.0011   16.7   0.1   153   237    95   188    84   190 0.68 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 34006at50557         -            414   3.4e-15   54.6   4.3   3   3   9.8e-09     4e-07   28.0   0.1   111   214   176   291   168   291 0.70 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+    -            289 34006at50557         -            414   6.9e-15   53.6   0.7   1   4     0.026       1.1    6.8   0.0   189   245     5    65     2    67 0.86 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+    -            289 34006at50557         -            414   6.9e-15   53.6   0.7   2   4   5.8e-07   2.4e-05   22.2   0.1   127   184    62   120    48   131 0.88 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+    -            289 34006at50557         -            414   6.9e-15   53.6   0.7   3   4   2.2e-11   8.8e-10   36.8   0.1   110   236    86   224    83   260 0.75 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+    -            289 34006at50557         -            414   6.9e-15   53.6   0.7   4   4       3.5   1.4e+02   -0.1   0.0    23    46   229   252   211   283 0.65 -
40115at50557_144034_0:000898|STRG.15013.1:1204-2073|+  -            290 34006at50557         -            414   1.3e-14   52.7   2.8   1   3   9.7e-05    0.0039   14.9   0.1   110   183     3    78     1    88 0.79 -
40115at50557_144034_0:000898|STRG.15013.1:1204-2073|+  -            290 34006at50557         -            414   1.3e-14   52.7   2.8   2   3   9.8e-11     4e-09   34.6   0.1   110   242    91   236    84   239 0.81 -
40115at50557_144034_0:000898|STRG.15013.1:1204-2073|+  -            290 34006at50557         -            414   1.3e-14   52.7   2.8   3   3   0.00043     0.017   12.7   0.1   127   214   192   290   190   290 0.70 -
49370at50557_2015173_0:001990|STRG.14034.2:465-1451|+  -            329 34006at50557         -            414   1.6e-14   52.4   2.0   1   3   1.8e-05   0.00074   17.2   0.1   110   181    38   111    30   115 0.82 -
49370at50557_2015173_0:001990|STRG.14034.2:465-1451|+  -            329 34006at50557         -            414   1.6e-14   52.4   2.0   2   3   8.1e-09   3.3e-07   28.3   0.0   106   227   121   255   113   265 0.77 -
49370at50557_2015173_0:001990|STRG.14034.2:465-1451|+  -            329 34006at50557         -            414   1.6e-14   52.4   2.0   3   3     0.078       3.2    5.3   0.0   159   214   265   328   250   329 0.47 -
49370at50557_2015173_0:001990|STRG.14034.4:60-1046|+   -            329 34006at50557         -            414   1.6e-14   52.4   2.0   1   3   1.8e-05   0.00074   17.2   0.1   110   181    38   111    30   115 0.82 -
