#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
70072at50557_286306_0:001eba|STRG.4490.1:26-1559|+   -            504 70072at50557         -            398  1.2e-204  678.2   2.8   1   1  1.5e-207  1.5e-204  677.9   2.8     5   394    79   487    75   491 0.93 -
70072at50557_456900_0:00138d|STRG.4490.2:0-1463|+    -            488 70072at50557         -            398  4.3e-204  676.4   1.9   1   1  5.6e-207  5.7e-204  676.0   1.9    19   394    79   464    45   468 0.95 -
57156at50557_77166_0:0029c4|STRG.14492.1:524-1729|+  -            402 70072at50557         -            398   1.9e-16   58.6   3.7   1   4   0.00088      0.89    7.0   0.0    55   122    56   122     8   132 0.54 -
57156at50557_77166_0:0029c4|STRG.14492.1:524-1729|+  -            402 70072at50557         -            398   1.9e-16   58.6   3.7   2   4   0.00014      0.14    9.6   0.0    63   122   132   190   121   198 0.84 -
57156at50557_77166_0:0029c4|STRG.14492.1:524-1729|+  -            402 70072at50557         -            398   1.9e-16   58.6   3.7   3   4   9.8e-08   9.9e-05   20.0   0.0    57   145   194   284   188   289 0.84 -
57156at50557_77166_0:0029c4|STRG.14492.1:524-1729|+  -            402 70072at50557         -            398   1.9e-16   58.6   3.7   4   4   5.4e-08   5.4e-05   20.8   0.2    57   127   296   365   288   390 0.90 -
57156at50557_28612_0:002d5e|STRG.14492.2:847-1470|+  -            208 70072at50557         -            398   1.3e-10   39.3   1.1   1   3   1.7e-06    0.0017   15.9   0.1    58   126     2    69     1    73 0.90 -
57156at50557_28612_0:002d5e|STRG.14492.2:847-1470|+  -            208 70072at50557         -            398   1.3e-10   39.3   1.1   2   3   2.6e-08   2.7e-05   21.9   0.3    57   127    69   138    64   147 0.92 -
57156at50557_28612_0:002d5e|STRG.14492.2:847-1470|+  -            208 70072at50557         -            398   1.3e-10   39.3   1.1   3   3     0.098        99    0.2   0.0   102   135   147   180   140   201 0.76 -
89121at50557_104421_0:000c9d|STRG.8876.1:1510-2274|+ -            255 70072at50557         -            398   2.3e-07   28.6   0.0   1   4    0.0043       4.3    4.7   0.0    81   132    10    60     5    76 0.74 -
89121at50557_104421_0:000c9d|STRG.8876.1:1510-2274|+ -            255 70072at50557         -            398   2.3e-07   28.6   0.0   2   4    0.0021       2.1    5.7   0.0    63   126    26    88    20    98 0.82 -
89121at50557_104421_0:000c9d|STRG.8876.1:1510-2274|+ -            255 70072at50557         -            398   2.3e-07   28.6   0.0   3   4   0.00026      0.26    8.7   0.0    44   125   120   203   100   214 0.82 -
89121at50557_104421_0:000c9d|STRG.8876.1:1510-2274|+ -            255 70072at50557         -            398   2.3e-07   28.6   0.0   4   4   8.2e-05     0.083   10.3   0.0    64   100   212   248   207   255 0.83 -
35300at50557_103372_0:002ae9|STRG.16120.1:0-1757|+   -            586 70072at50557         -            398   9.5e-07   26.6   1.9   1   4    0.0056       5.7    4.3   0.1    62   137    99   178    59   206 0.75 -
35300at50557_103372_0:002ae9|STRG.16120.1:0-1757|+   -            586 70072at50557         -            398   9.5e-07   26.6   1.9   2   4    0.0004       0.4    8.1   0.0    17   125   298   404   289   411 0.75 -
35300at50557_103372_0:002ae9|STRG.16120.1:0-1757|+   -            586 70072at50557         -            398   9.5e-07   26.6   1.9   3   4   3.4e-05     0.034   11.6   0.1    61   127   416   484   403   518 0.81 -
35300at50557_103372_0:002ae9|STRG.16120.1:0-1757|+   -            586 70072at50557         -            398   9.5e-07   26.6   1.9   4   4      0.56   5.7e+02   -2.3   0.0    64    88   525   549   496   554 0.76 -
89121at50557_454923_0:000612|STRG.6270.1:1266-2384|+ -            373 70072at50557         -            398   1.6e-06   25.9   4.2   1   4     0.087        88    0.4   0.1    57   121    30    93    18   103 0.71 -
89121at50557_454923_0:000612|STRG.6270.1:1266-2384|+ -            373 70072at50557         -            398   1.6e-06   25.9   4.2   2   4   0.00073      0.74    7.2   0.2    79   128   100   149    85   157 0.92 -
89121at50557_454923_0:000612|STRG.6270.1:1266-2384|+ -            373 70072at50557         -            398   1.6e-06   25.9   4.2   3   4   7.7e-07   0.00077   17.0   0.1    65   159   155   245   150   254 0.82 -
89121at50557_454923_0:000612|STRG.6270.1:1266-2384|+ -            373 70072at50557         -            398   1.6e-06   25.9   4.2   4   4      0.27   2.7e+02   -1.2   0.0    62   124   291   353   259   357 0.68 -
27499at50557_35570_0:0022cb|STRG.7094.1:1200-2708|+  -            503 70072at50557         -            398     0.093   10.2   1.1   1   3   0.00027      0.27    8.6   0.1    61   140    52   131     3   141 0.74 -
27499at50557_35570_0:0022cb|STRG.7094.1:1200-2708|+  -            503 70072at50557         -            398     0.093   10.2   1.1   2   3      0.84   8.5e+02   -2.8   0.0    61    85   189   213   174   270 0.65 -
27499at50557_35570_0:0022cb|STRG.7094.1:1200-2708|+  -            503 70072at50557         -            398     0.093   10.2   1.1   3   3      0.28   2.8e+02   -1.3   0.0    54   123   372   442   356   448 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/70072at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/70072at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/70072at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:19:37 2024
# [ok]
