#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
91571at50557_77166_0:000987|STRG.1391.1:177-617|+       -            147 91571at50557         -            211   3.5e-19   65.9   0.0   1   1   2.4e-20   4.4e-19   65.6   0.0     3   141     1   147     1   147 0.81 -
91571at50557_7038_0:00203c|STRG.1583.1:1699-2613|+      -            305 91571at50557         -            211   7.2e-18   61.6   0.6   1   3   5.6e-08     1e-06   25.2   0.0     2    79     5    96     4   114 0.78 -
91571at50557_7038_0:00203c|STRG.1583.1:1699-2613|+      -            305 91571at50557         -            211   7.2e-18   61.6   0.6   2   3   2.8e-06     5e-05   19.6   0.0     2   102   117   221   116   226 0.80 -
91571at50557_7038_0:00203c|STRG.1583.1:1699-2613|+      -            305 91571at50557         -            211   7.2e-18   61.6   0.6   3   3   0.00018    0.0032   13.7   0.1    88   146   238   297   229   302 0.83 -
91571at50557_30023_0:002c9b|STRG.16128.1:400-984|+      -            195 91571at50557         -            211   1.8e-16   57.1   0.0   1   2   3.3e-17     6e-16   55.3   0.0     2   141     2   157     1   168 0.79 -
91571at50557_30023_0:002c9b|STRG.16128.1:400-984|+      -            195 91571at50557         -            211   1.8e-16   57.1   0.0   2   2       4.7        84   -0.7   0.0     2    19   171   188   170   195 0.85 -
91571at50557_30023_0:002c9b|STRG.16128.2:177-761|+      -            195 91571at50557         -            211   1.8e-16   57.1   0.0   1   2   3.3e-17     6e-16   55.3   0.0     2   141     2   157     1   168 0.79 -
91571at50557_30023_0:002c9b|STRG.16128.2:177-761|+      -            195 91571at50557         -            211   1.8e-16   57.1   0.0   2   2       4.7        84   -0.7   0.0     2    19   171   188   170   195 0.85 -
91571at50557_116153_0:00092a|STRG.13346.1:1249-1734|-   -            162 91571at50557         -            211   7.4e-15   51.8   0.2   1   2   3.6e-09   6.5e-08   29.1   0.1    92   150     1    59     1    74 0.84 -
91571at50557_116153_0:00092a|STRG.13346.1:1249-1734|-   -            162 91571at50557         -            211   7.4e-15   51.8   0.2   2   2     1e-06   1.9e-05   21.0   0.0    91   143   103   155    92   160 0.83 -
91571at50557_224129_0:001e5a|STRG.9301.3:1164-1562|+    -            133 91571at50557         -            211   1.8e-13   47.3   0.0   1   2     4e-06   7.2e-05   19.1   0.0    93   143    19    69     9    77 0.83 -
91571at50557_224129_0:001e5a|STRG.9301.3:1164-1562|+    -            133 91571at50557         -            211   1.8e-13   47.3   0.0   2   2   2.1e-08   3.7e-07   26.6   0.0    90   143    79   132    72   133 0.89 -
91571at50557_224129_0:001e5a|STRG.9301.4:936-1334|+     -            133 91571at50557         -            211   1.8e-13   47.3   0.0   1   2     4e-06   7.2e-05   19.1   0.0    93   143    19    69     9    77 0.83 -
91571at50557_224129_0:001e5a|STRG.9301.4:936-1334|+     -            133 91571at50557         -            211   1.8e-13   47.3   0.0   2   2   2.1e-08   3.7e-07   26.6   0.0    90   143    79   132    72   133 0.89 -
91571at50557_7375_0:003066|STRG.23022.1:465-758|+       -             98 91571at50557         -            211   1.1e-12   44.7   0.0   1   1     6e-14   1.1e-12   44.7   0.0     3    75     1    78     1    98 0.79 -
91571at50557_7375_0:003066|STRG.23022.2:793-1086|+      -             98 91571at50557         -            211   1.1e-12   44.7   0.0   1   1     6e-14   1.1e-12   44.7   0.0     3    75     1    78     1    98 0.79 -
91571at50557_7375_0:003066|STRG.23022.3:465-758|+       -             98 91571at50557         -            211   1.1e-12   44.7   0.0   1   1     6e-14   1.1e-12   44.7   0.0     3    75     1    78     1    98 0.79 -
91571at50557_143948_0:002f00|STRG.3123.1:4651-4833|+    -             61 91571at50557         -            211   1.5e-12   44.2   0.0   1   1   8.3e-14   1.5e-12   44.2   0.0   160   210    10    60     1    61 0.89 -
