#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
116934at50557_103372_0:000d14|STRG.809.1:159-719|+     -            187 116934at50557        -            140   2.3e-74  246.9   0.0   1   1   1.7e-76   3.1e-74  246.4   0.0     3   139    23   166    21   167 0.94 -
120473at50557_1041015_0:0012df|STRG.11688.1:826-1278|+ -            151 116934at50557        -            140   1.3e-39  134.2   0.0   1   1   8.9e-42   1.7e-39  133.9   0.0    13   138     7   135     2   137 0.95 -
120473at50557_37344_0:000b45|STRG.11688.2:826-1985|+   -            161 116934at50557        -            140   1.5e-39  134.0   0.0   1   1     1e-41     2e-39  133.7   0.0    13   138     7   135     2   137 0.95 -
120473at50557_1041015_0:0012df|STRG.11570.1:718-1125|+ -            136 116934at50557        -            140   5.5e-36  122.5   0.0   1   1   3.4e-38   6.4e-36  122.3   0.0    15   135     3   126     1   130 0.95 -
120473at50557_1041015_0:0012df|STRG.11570.2:108-515|+  -            136 116934at50557        -            140   5.5e-36  122.5   0.0   1   1   3.4e-38   6.4e-36  122.3   0.0    15   135     3   126     1   130 0.95 -
120473at50557_1041015_0:0012df|STRG.11570.3:50-457|+   -            136 116934at50557        -            140   5.5e-36  122.5   0.0   1   1   3.4e-38   6.4e-36  122.3   0.0    15   135     3   126     1   130 0.95 -
120473at50557_1041015_0:0012df|STRG.7697.1:413-811|+   -            133 116934at50557        -            140   5.6e-34  116.0   0.0   1   1   3.2e-36     6e-34  115.9   0.0    12   135     2   128     1   133 0.93 -
116934at50557_286706_0:0006a3|STRG.2226.1:339-725|+    -            129 116934at50557        -            140   1.4e-32  111.5   0.0   1   1   7.9e-35   1.5e-32  111.4   0.0    14   134     2   125     1   129 0.93 -
117699at50557_104421_0:002a75|STRG.16257.2:549-1148|+  -            200 116934at50557        -            140     4e-28   97.0   0.0   1   1   2.6e-30   4.9e-28   96.7   0.0    10   135     4   136     1   141 0.84 -
117699at50557_411798_0:0026ea|STRG.16257.1:116-652|+   -            179 116934at50557        -            140   1.9e-27   94.8   0.0   1   1   1.4e-29   2.6e-27   94.4   0.0    38   135    14   115     8   120 0.89 -
117699at50557_219809_0:0002bf|STRG.16257.3:11-580|+    -            190 116934at50557        -            140     2e-27   94.7   0.0   1   1   1.4e-29   2.7e-27   94.3   0.0    37   135    24   126    12   131 0.90 -
120473at50557_1041015_0:0012df|STRG.20220.1:796-1278|+ -            161 116934at50557        -            140     3e-27   94.2   0.3   1   1   2.7e-28     5e-26   90.2   0.3    34   137    28   147     2   150 0.86 -
120473at50557_1041015_0:0012df|STRG.2203.1:198-686|+   -            163 116934at50557        -            140   3.5e-27   94.0   0.0   1   1   1.5e-28   2.8e-26   91.0   0.0    13   135     8   147     2   154 0.84 -
120473at50557_1041015_0:0012df|STRG.2203.3:249-737|+   -            163 116934at50557        -            140   3.5e-27   94.0   0.0   1   1   1.5e-28   2.8e-26   91.0   0.0    13   135     8   147     2   154 0.84 -
120473at50557_1041015_0:0012df|STRG.2203.2:784-1257|+  -            158 116934at50557        -            140   5.8e-26   90.0   0.1   1   1   2.4e-27   4.5e-25   87.1   0.1    28   135    18   142     3   150 0.81 -
120473at50557_1049336_0:000626|STRG.4210.1:255-740|+   -            162 116934at50557        -            140   5.8e-26   90.0   0.0   1   1   1.8e-27   3.4e-25   87.5   0.0    11   136     5   147     2   151 0.89 -
116934at50557_286706_0:0006a3|STRG.2056.1:1122-1616|+  -            165 116934at50557        -            140   1.5e-25   88.7   0.0   1   1   9.4e-28   1.8e-25   88.4   0.0     6   135    22   154    18   159 0.92 -
