#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98900at50557_104421_0:0000b7|STRG.13779.1:439-1254|+  -            272 98900at50557         -            220  4.8e-106  351.9   0.1   1   1  7.9e-108  3.2e-105  349.3   0.1     1   220    12   270    12   270 0.90 -
98900at50557_116153_0:001f59|STRG.11104.1:164-922|+   -            253 98900at50557         -            220   1.6e-46  157.3   0.1   1   1   1.1e-47   4.5e-45  152.6   0.1     1   216     8   253     8   253 0.81 -
98900at50557_121225_0:0016fe|STRG.10557.1:3091-3846|+ -            252 98900at50557         -            220     2e-40  137.4   0.4   1   2    0.0061       2.4    6.3   0.0     3    26     4    27     2    33 0.88 -
98900at50557_121225_0:0016fe|STRG.10557.1:3091-3846|+ -            252 98900at50557         -            220     2e-40  137.4   0.4   2   2   1.3e-40     5e-38  129.5   0.1    49   216    76   252    52   252 0.87 -
98900at50557_121225_0:0016fe|STRG.10557.5:211-948|+   -            246 98900at50557         -            220   8.2e-40  135.4   0.4   1   2     0.029        12    4.1   0.0     6    26     1    21     1    27 0.91 -
98900at50557_121225_0:0016fe|STRG.10557.5:211-948|+   -            246 98900at50557         -            220   8.2e-40  135.4   0.4   2   2   1.2e-40   4.6e-38  129.7   0.1    49   216    70   246    46   246 0.87 -
98900at50557_30019_0:000a95|STRG.10557.4:180-890|+    -            237 98900at50557         -            220   1.6e-39  134.4   0.4   1   2    0.0058       2.3    6.4   0.0     4    26    11    33     8    39 0.88 -
98900at50557_30019_0:000a95|STRG.10557.4:180-890|+    -            237 98900at50557         -            220   1.6e-39  134.4   0.4   2   2   1.4e-39   5.8e-37  126.1   0.1    49   216    82   237    58   237 0.89 -
98900at50557_108931_0:0004a9|STRG.10197.1:531-1304|+  -            258 98900at50557         -            220   2.1e-35  121.0   0.0   1   1     2e-37   7.9e-35  119.1   0.0    35   217    59   258     8   258 0.81 -
98900at50557_108931_0:0004a9|STRG.10197.2:732-1505|+  -            258 98900at50557         -            220   2.1e-35  121.0   0.0   1   1     2e-37   7.9e-35  119.1   0.0    35   217    59   258     8   258 0.81 -
98900at50557_108931_0:0004a9|STRG.10197.3:300-1073|+  -            258 98900at50557         -            220   2.1e-35  121.0   0.0   1   1     2e-37   7.9e-35  119.1   0.0    35   217    59   258     8   258 0.81 -
