#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83323at50557_103372_0:002772|STRG.11478.1:94-1227|+ -            378 83323at50557         -            288    4e-147  488.4  15.4   1   1  6.5e-150  1.5e-146  486.5  15.4     1   288    26   357    26   357 0.91 -
83323at50557_35570_0:001053|STRG.8230.1:1407-2486|+ -            360 83323at50557         -            288   9.2e-30  103.2  16.1   1   4    0.0015       3.6    6.1   0.0    17    48     3    34     1    47 0.74 -
83323at50557_35570_0:001053|STRG.8230.1:1407-2486|+ -            360 83323at50557         -            288   9.2e-30  103.2  16.1   2   4   3.9e-14     9e-11   40.9  10.1    41   220    58   249    52   254 0.78 -
83323at50557_35570_0:001053|STRG.8230.1:1407-2486|+ -            360 83323at50557         -            288   9.2e-30  103.2  16.1   3   4   7.1e-07    0.0016   17.1   0.0   205   232   253   280   233   287 0.78 -
83323at50557_35570_0:001053|STRG.8230.1:1407-2486|+ -            360 83323at50557         -            288   9.2e-30  103.2  16.1   4   4   4.5e-14     1e-10   40.7   0.1   228   281   305   358   295   360 0.93 -
83323at50557_35570_0:001053|STRG.8230.2:647-1726|+  -            360 83323at50557         -            288   9.2e-30  103.2  16.1   1   4    0.0015       3.6    6.1   0.0    17    48     3    34     1    47 0.74 -
83323at50557_35570_0:001053|STRG.8230.2:647-1726|+  -            360 83323at50557         -            288   9.2e-30  103.2  16.1   2   4   3.9e-14     9e-11   40.9  10.1    41   220    58   249    52   254 0.78 -
83323at50557_35570_0:001053|STRG.8230.2:647-1726|+  -            360 83323at50557         -            288   9.2e-30  103.2  16.1   3   4   7.1e-07    0.0016   17.1   0.0   205   232   253   280   233   287 0.78 -
83323at50557_35570_0:001053|STRG.8230.2:647-1726|+  -            360 83323at50557         -            288   9.2e-30  103.2  16.1   4   4   4.5e-14     1e-10   40.7   0.1   228   281   305   358   295   360 0.93 -
83323at50557_35570_0:001053|STRG.8230.3:1404-2483|+ -            360 83323at50557         -            288   9.2e-30  103.2  16.1   1   4    0.0015       3.6    6.1   0.0    17    48     3    34     1    47 0.74 -
83323at50557_35570_0:001053|STRG.8230.3:1404-2483|+ -            360 83323at50557         -            288   9.2e-30  103.2  16.1   2   4   3.9e-14     9e-11   40.9  10.1    41   220    58   249    52   254 0.78 -
83323at50557_35570_0:001053|STRG.8230.3:1404-2483|+ -            360 83323at50557         -            288   9.2e-30  103.2  16.1   3   4   7.1e-07    0.0016   17.1   0.0   205   232   253   280   233   287 0.78 -
83323at50557_35570_0:001053|STRG.8230.3:1404-2483|+ -            360 83323at50557         -            288   9.2e-30  103.2  16.1   4   4   4.5e-14     1e-10   40.7   0.1   228   281   305   358   295   360 0.93 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/83323at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/83323at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/83323at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:10:00 2024
# [ok]
