#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
93379at50557_103372_0:002590|STRG.17752.1:78-1073|+  -            332 93379at50557         -            231  8.9e-109  361.3   0.7   1   1  4.8e-110  4.7e-108  358.9   0.7     2   225    46   306    45   325 0.89 -
93379at50557_37001_0:0007ab|STRG.6708.1:214-1080|+   -            289 93379at50557         -            231   4.3e-58  195.5   1.2   1   1   4.3e-59   4.2e-57  192.2   1.2     4   225     8   270     5   273 0.82 -
93379at50557_136037_0:0013df|STRG.12954.1:397-1338|+ -            314 93379at50557         -            231   2.7e-55  186.3   1.1   1   1   8.9e-56   8.8e-54  181.4   1.1     3   218    28   288    26   296 0.83 -
93379at50557_37001_0:0007ab|STRG.1767.1:143-1063|+   -            307 93379at50557         -            231   9.3e-53  178.0   3.2   1   1     2e-53     2e-51  173.6   3.2     2   225     4   284     3   288 0.77 -
93379at50557_37001_0:0007ab|STRG.1767.2:30-950|+     -            307 93379at50557         -            231   9.3e-53  178.0   3.2   1   1     2e-53     2e-51  173.6   3.2     2   225     4   284     3   288 0.77 -
93379at50557_37001_0:0007ab|STRG.1767.3:30-950|+     -            307 93379at50557         -            231   9.3e-53  178.0   3.2   1   1     2e-53     2e-51  173.6   3.2     2   225     4   284     3   288 0.77 -
93379at50557_28588_0:000c70|STRG.9439.2:141-1049|+   -            303 93379at50557         -            231   8.3e-49  165.1   5.9   1   1   2.4e-49   2.3e-47  160.3   5.9     2   224     6   283     5   288 0.75 -
93379at50557_54969_0:0004f8|STRG.9439.1:114-1052|+   -            313 93379at50557         -            231   1.1e-48  164.7   5.8   1   1   2.9e-49   2.9e-47  160.0   5.8     2   224    15   293    14   298 0.74 -
93379at50557_54969_0:0004f8|STRG.1762.1:116-1054|+   -            313 93379at50557         -            231   2.3e-48  163.6   7.4   1   1   8.8e-49   8.6e-47  158.5   7.4     2   226    15   295    14   300 0.76 -
93379at50557_54969_0:0004f8|STRG.1762.3:136-1071|+   -            312 93379at50557         -            231   3.2e-48  163.1   6.6   1   1   1.2e-48   1.2e-46  158.0   6.6     2   226    15   294    14   299 0.76 -
93379at50557_54969_0:0004f8|STRG.1762.4:136-1074|+   -            313 93379at50557         -            231   3.8e-48  162.9   6.7   1   1   1.4e-48   1.4e-46  157.8   6.7     2   226    15   295    14   300 0.76 -
93379at50557_64459_0:002fa3|STRG.1763.1:153-1073|+   -            307 93379at50557         -            231   1.3e-45  154.6   8.1   1   1   3.5e-46   3.4e-44  150.0   8.1     2   219     3   278     2   287 0.77 -
