#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
76116at50557_520822_0:00013b|STRG.10303.1:0-1067|+    -            356 76116at50557         -            268  1.4e-141  469.1   1.9   1   1    1e-143  5.1e-141  467.3   1.9     1   258    41   329    41   350 0.90 -
78395at50557_103372_0:001bc6|STRG.7281.1:112-1179|+   -            356 76116at50557         -            268   6.8e-60  201.3   0.0   1   1   2.2e-62   1.1e-59  200.6   0.0     2   201    34   243    33   252 0.93 -
78395at50557_103372_0:001bc6|STRG.7281.2:229-1327|+   -            342 76116at50557         -            268   2.4e-59  199.5   0.0   1   1   7.4e-62   3.6e-59  198.9   0.0     2   201    34   243    33   252 0.93 -
78395at50557_69004_0:0007d1|STRG.4359.1:35-985|+      -            317 76116at50557         -            268   7.3e-57  191.4   0.0   1   1   2.1e-59     1e-56  190.9   0.0     1   207    12   222    12   253 0.95 -
78395at50557_103372_0:001bc6|STRG.7281.3:197-1105|+   -            303 76116at50557         -            268   3.7e-55  185.7   0.0   1   1   1.1e-57   5.5e-55  185.2   0.0    10   201     4   204     1   213 0.92 -
80072at50557_103372_0:001f31|STRG.19541.1:106-1167|+  -            354 76116at50557         -            268   4.3e-29  100.3   0.3   1   2   1.3e-10   6.3e-08   30.9   0.0     3    65     4    67     2    76 0.87 -
80072at50557_103372_0:001f31|STRG.19541.1:106-1167|+  -            354 76116at50557         -            268   4.3e-29  100.3   0.3   2   2   1.3e-21   6.1e-19   67.0   0.4    76   199   104   231    80   247 0.88 -
59039at50557_79782_0:000c3a|STRG.3681.1:1492-2844|+   -            451 76116at50557         -            268   1.1e-14   53.1   0.4   1   2      0.14        67    1.3   0.0   134   161     5    32     2    44 0.61 -
59039at50557_79782_0:000c3a|STRG.3681.1:1492-2844|+   -            451 76116at50557         -            268   1.1e-14   53.1   0.4   2   2   2.8e-16   1.4e-13   49.5   0.2    32   198    72   247    56   265 0.78 -
78395at50557_535359_0:001efc|STRG.12025.1:302-1060|+  -            253 76116at50557         -            268   2.4e-10   38.8   0.2   1   2   2.2e-12   1.1e-09   36.7   0.1    13   168    16   170     4   204 0.73 -
78395at50557_535359_0:001efc|STRG.12025.1:302-1060|+  -            253 76116at50557         -            268   2.4e-10   38.8   0.2   2   2      0.16        78    1.1   0.0   168   199   193   226   160   235 0.60 -
76116at50557_7213_0:000664|STRG.12923.1:513-1097|+    -            195 76116at50557         -            268   1.8e-09   36.0   0.0   1   1   4.4e-12   2.1e-09   35.7   0.0     2   162     4   167     3   181 0.81 -
76116at50557_7213_0:000664|STRG.12923.2:348-932|+     -            195 76116at50557         -            268   1.8e-09   36.0   0.0   1   1   4.4e-12   2.1e-09   35.7   0.0     2   162     4   167     3   181 0.81 -
59039at50557_103372_0:001071|STRG.3212.1:2-1513|+     -            504 76116at50557         -            268   3.3e-06   25.3   0.0   1   2       1.1   5.2e+02   -1.6   0.0     3    23   196   216   195   222 0.67 -
59039at50557_103372_0:001071|STRG.3212.1:2-1513|+     -            504 76116at50557         -            268   3.3e-06   25.3   0.0   2   2   2.7e-08   1.3e-05   23.3   0.0    36   107   270   339   240   352 0.79 -
76116at50557_166361_0:00022f|STRG.19490.1:2144-2914|+ -            257 76116at50557         -            268   5.1e-05   21.4   0.1   1   2    0.0096       4.7    5.1   0.0     2    25    16    40    15    46 0.85 -
76116at50557_166361_0:00022f|STRG.19490.1:2144-2914|+ -            257 76116at50557         -            268   5.1e-05   21.4   0.1   2   2   4.4e-05     0.021   12.8   0.1    35    98    78   137    66   257 0.60 -
134311at50557_520822_0:0017de|STRG.8028.1:328-864|+   -            179 76116at50557         -            268    0.0048   14.9   0.1   1   2   1.8e-05    0.0088   14.0   0.0    32    50     6    24     1    33 0.83 -
134311at50557_520822_0:0017de|STRG.8028.1:328-864|+   -            179 76116at50557         -            268    0.0048   14.9   0.1   2   2       3.2   1.6e+03   -3.2   0.1    62   100    94   134    90   143 0.52 -
134311at50557_520822_0:0017de|STRG.8028.2:144-680|+   -            179 76116at50557         -            268    0.0048   14.9   0.1   1   2   1.8e-05    0.0088   14.0   0.0    32    50     6    24     1    33 0.83 -
134311at50557_520822_0:0017de|STRG.8028.2:144-680|+   -            179 76116at50557         -            268    0.0048   14.9   0.1   2   2       3.2   1.6e+03   -3.2   0.1    62   100    94   134    90   143 0.52 -
67606at50557_123851_0:003a23|STRG.10289.1:414-1136|+  -            241 76116at50557         -            268     0.012   13.6   0.4   1   3   0.00095      0.46    8.4   0.1    36    57    14    35     8   102 0.77 -
67606at50557_123851_0:003a23|STRG.10289.1:414-1136|+  -            241 76116at50557         -            268     0.012   13.6   0.4   2   3     0.079        38    2.1   0.0   223   253   154   185   148   200 0.69 -
67606at50557_123851_0:003a23|STRG.10289.1:414-1136|+  -            241 76116at50557         -            268     0.012   13.6   0.4   3   3       0.6   2.9e+02   -0.8   0.0   145   185   192   232   181   235 0.80 -
67606at50557_123851_0:003a23|STRG.10289.2:595-1317|+  -            241 76116at50557         -            268     0.012   13.6   0.4   1   3   0.00095      0.46    8.4   0.1    36    57    14    35     8   102 0.77 -
67606at50557_123851_0:003a23|STRG.10289.2:595-1317|+  -            241 76116at50557         -            268     0.012   13.6   0.4   2   3     0.079        38    2.1   0.0   223   253   154   185   148   200 0.69 -
67606at50557_123851_0:003a23|STRG.10289.2:595-1317|+  -            241 76116at50557         -            268     0.012   13.6   0.4   3   3       0.6   2.9e+02   -0.8   0.0   145   185   192   232   181   235 0.80 -
59664at50557_51655_0:001795|STRG.20621.1:1643-3343|+  -            567 76116at50557         -            268     0.039   11.9   0.0   1   1   0.00014     0.066   11.2   0.0    31    94   169   232   152   239 0.79 -
67606at50557_197043_0:001d95|STRG.9635.1:291-614|+    -            108 76116at50557         -            268      0.04   11.9   0.0   1   1   9.8e-05     0.048   11.6   0.0    34   108     5    81     3   105 0.83 -
134311at50557_103372_0:0015ff|STRG.8062.1:148-672|+   -            175 76116at50557         -            268     0.076   11.0   0.0   1   1   0.00028      0.14   10.1   0.0    32    50     6    24     1    35 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76116at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/76116at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76116at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:09:35 2024
# [ok]
