#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
132744at50557_103372_0:0003f0|STRG.16672.1:284-655|+  -            124 132744at50557        -             95   5.3e-51  169.9   0.8   1   1   7.3e-53     2e-50  168.1   0.8     1    95    14   124    14   124 0.94 -
10394at50557_7536_0:0020dc|STRG.10694.1:223-735|+     -            171 132744at50557        -             95   1.4e-07   30.7   1.3   1   2   1.8e-06    0.0005   19.4   0.1    17    91    12    88     2    93 0.77 -
10394at50557_7536_0:0020dc|STRG.10694.1:223-735|+     -            171 132744at50557        -             95   1.4e-07   30.7   1.3   2   2   0.00094      0.25   10.7   0.2     7    61    95   148    89   171 0.58 -
10394at50557_7536_0:0020dc|STRG.10694.3:223-735|+     -            171 132744at50557        -             95   1.4e-07   30.7   1.3   1   2   1.8e-06    0.0005   19.4   0.1    17    91    12    88     2    93 0.77 -
10394at50557_7536_0:0020dc|STRG.10694.3:223-735|+     -            171 132744at50557        -             95   1.4e-07   30.7   1.3   2   2   0.00094      0.25   10.7   0.2     7    61    95   148    89   171 0.58 -
10394at50557_38123_0:002dad|STRG.16414.2:4232-4777|+  -            182 132744at50557        -             95     8e-06   25.1   0.2   1   2     0.003      0.82    9.0   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.16414.2:4232-4777|+  -            182 132744at50557        -             95     8e-06   25.1   0.2   2   2   6.9e-05     0.019   14.3   0.0    13    90    67   149    50   154 0.72 -
10394at50557_38123_0:002dad|STRG.16414.3:4232-4777|+  -            182 132744at50557        -             95     8e-06   25.1   0.2   1   2     0.003      0.82    9.0   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.16414.3:4232-4777|+  -            182 132744at50557        -             95     8e-06   25.1   0.2   2   2   6.9e-05     0.019   14.3   0.0    13    90    67   149    50   154 0.72 -
10394at50557_38123_0:002dad|STRG.16414.4:3959-4504|+  -            182 132744at50557        -             95     8e-06   25.1   0.2   1   2     0.003      0.82    9.0   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.16414.4:3959-4504|+  -            182 132744at50557        -             95     8e-06   25.1   0.2   2   2   6.9e-05     0.019   14.3   0.0    13    90    67   149    50   154 0.72 -
10394at50557_38123_0:002dad|STRG.16414.1:4232-4747|+  -            172 132744at50557        -             95     1e-05   24.8   0.3   1   2    0.0028      0.75    9.2   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.16414.1:4232-4747|+  -            172 132744at50557        -             95     1e-05   24.8   0.3   2   2   9.3e-05     0.025   13.9   0.1    13    90    57   139    47   144 0.73 -
10394at50557_38123_0:002dad|STRG.16414.5:3856-4371|+  -            172 132744at50557        -             95     1e-05   24.8   0.3   1   2    0.0028      0.75    9.2   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.16414.5:3856-4371|+  -            172 132744at50557        -             95     1e-05   24.8   0.3   2   2   9.3e-05     0.025   13.9   0.1    13    90    57   139    47   144 0.73 -
10394at50557_38123_0:002dad|STRG.16414.6:3856-4371|+  -            172 132744at50557        -             95     1e-05   24.8   0.3   1   2    0.0028      0.75    9.2   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.16414.6:3856-4371|+  -            172 132744at50557        -             95     1e-05   24.8   0.3   2   2   9.3e-05     0.025   13.9   0.1    13    90    57   139    47   144 0.73 -
10394at50557_38123_0:002dad|STRG.16414.7:3583-4098|+  -            172 132744at50557        -             95     1e-05   24.8   0.3   1   2    0.0028      0.75    9.2   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.16414.7:3583-4098|+  -            172 132744at50557        -             95     1e-05   24.8   0.3   2   2   9.3e-05     0.025   13.9   0.1    13    90    57   139    47   144 0.73 -
132744at50557_77166_0:0021ef|STRG.7305.1:221-478|+    -             86 132744at50557        -             95   5.6e-05   22.4   0.0   1   1   2.4e-07   6.5e-05   22.2   0.0    38    87    28    82    16    86 0.83 -
132744at50557_108931_0:001550|STRG.4604.1:2163-2441|+ -             93 132744at50557        -             95   7.4e-05   22.0   0.0   1   1   1.4e-06   0.00037   19.8   0.0    17    88    25    92     9    93 0.73 -
110125at50557_74873_0:001c94|STRG.16414.1:2705-3244|+ -            180 132744at50557        -             95   0.00037   19.8   0.1   1   1   3.3e-06    0.0009   18.5   0.0    42    91     7    58     1    62 0.79 -
110125at50557_74873_0:001c94|STRG.16414.2:2705-3244|+ -            180 132744at50557        -             95   0.00037   19.8   0.1   1   1   3.3e-06    0.0009   18.5   0.0    42    91     7    58     1    62 0.79 -
110125at50557_74873_0:001c94|STRG.16414.3:2705-3244|+ -            180 132744at50557        -             95   0.00037   19.8   0.1   1   1   3.3e-06    0.0009   18.5   0.0    42    91     7    58     1    62 0.79 -
110125at50557_74873_0:001c94|STRG.16414.4:2705-3244|+ -            180 132744at50557        -             95   0.00037   19.8   0.1   1   1   3.3e-06    0.0009   18.5   0.0    42    91     7    58     1    62 0.79 -
110125at50557_74873_0:001c94|STRG.16414.5:2329-2868|+ -            180 132744at50557        -             95   0.00037   19.8   0.1   1   1   3.3e-06    0.0009   18.5   0.0    42    91     7    58     1    62 0.79 -
110125at50557_74873_0:001c94|STRG.16414.6:2329-2868|+ -            180 132744at50557        -             95   0.00037   19.8   0.1   1   1   3.3e-06    0.0009   18.5   0.0    42    91     7    58     1    62 0.79 -
110125at50557_74873_0:001c94|STRG.16414.7:2329-2868|+ -            180 132744at50557        -             95   0.00037   19.8   0.1   1   1   3.3e-06    0.0009   18.5   0.0    42    91     7    58     1    62 0.79 -
132744at50557_319348_0:00228b|STRG.6889.1:472-648|+   -             59 132744at50557        -             95   0.00067   19.0   0.0   1   1   2.5e-06   0.00068   18.9   0.0    39    87     1    52     1    59 0.71 -
132744at50557_286306_0:0034c8|STRG.4604.2:2288-2458|+ -             57 132744at50557        -             95   0.00068   18.9   0.0   1   1   2.6e-06    0.0007   18.9   0.0    39    88     2    56     1    57 0.80 -
110125at50557_7539_0:00092e|STRG.4436.1:2607-2870|+   -             88 132744at50557        -             95    0.0069   15.7   0.0   1   1   3.2e-05    0.0086   15.4   0.0    42    82    21    63     9    71 0.87 -
110125at50557_7539_0:00092e|STRG.4436.2:2607-2870|+   -             88 132744at50557        -             95    0.0069   15.7   0.0   1   1   3.2e-05    0.0086   15.4   0.0    42    82    21    63     9    71 0.87 -
110125at50557_7539_0:00092e|STRG.4436.3:2477-2740|+   -             88 132744at50557        -             95    0.0069   15.7   0.0   1   1   3.2e-05    0.0086   15.4   0.0    42    82    21    63     9    71 0.87 -
110125at50557_7539_0:00092e|STRG.4436.4:2474-2737|+   -             88 132744at50557        -             95    0.0069   15.7   0.0   1   1   3.2e-05    0.0086   15.4   0.0    42    82    21    63     9    71 0.87 -
48837at50557_166423_0:0025f8|STRG.14338.1:1517-2209|+ -            231 132744at50557        -             95     0.013   14.8   0.0   1   1   7.7e-05     0.021   14.2   0.0    40    81    91   133    61   146 0.85 -
48837at50557_166423_0:0025f8|STRG.14338.2:1544-2236|+ -            231 132744at50557        -             95     0.013   14.8   0.0   1   1   7.7e-05     0.021   14.2   0.0    40    81    91   133    61   146 0.85 -
37657at50557_307658_0:001de5|STRG.4753.2:100-1749|+   -            550 132744at50557        -             95     0.048   13.0   0.0   1   1   0.00041      0.11   11.8   0.0    46    87   114   158    72   163 0.85 -
37657at50557_307658_0:001de5|STRG.4753.3:100-1749|+   -            550 132744at50557        -             95     0.048   13.0   0.0   1   1   0.00041      0.11   11.8   0.0    46    87   114   158    72   163 0.85 -
37657at50557_76194_0:0021a4|STRG.20218.1:3049-3351|+  -            101 132744at50557        -             95     0.081   12.3   0.0   1   1   0.00046      0.13   11.7   0.0    47    81    56    91    39   100 0.86 -
37657at50557_76194_0:0021a4|STRG.20218.2:3060-3362|+  -            101 132744at50557        -             95     0.081   12.3   0.0   1   1   0.00046      0.13   11.7   0.0    47    81    56    91    39   100 0.86 -
37657at50557_76194_0:0021a4|STRG.20218.3:1419-1721|+  -            101 132744at50557        -             95     0.081   12.3   0.0   1   1   0.00046      0.13   11.7   0.0    47    81    56    91    39   100 0.86 -
110125at50557_7539_0:00092e|STRG.8999.1:687-1043|+    -            119 132744at50557        -             95     0.081   12.3   0.0   1   1   0.00044      0.12   11.7   0.0    43    88    18    66    11    72 0.83 -
110125at50557_7539_0:00092e|STRG.8999.2:524-880|+     -            119 132744at50557        -             95     0.081   12.3   0.0   1   1   0.00044      0.12   11.7   0.0    43    88    18    66    11    72 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/132744at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/132744at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/132744at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:59 2024
# [ok]
