#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
129956at50557_34720_0:00189a|STRG.10911.1:159-575|+     -            139 129956at50557        -            110   3.4e-63  209.4   0.1   1   1   8.7e-65     4e-63  209.2   0.1     1   108     1   112     1   117 0.94 -
117816at50557_7200_0:0014c2|STRG.20705.3:1762-2655|+    -            298 129956at50557        -            110   6.7e-29   99.0   0.1   1   3   6.7e-11   3.1e-09   35.8   0.0    42   107     2    67     1    70 0.94 -
117816at50557_7200_0:0014c2|STRG.20705.3:1762-2655|+    -            298 129956at50557        -            110   6.7e-29   99.0   0.1   2   3   8.8e-09     4e-07   28.9   0.0    30    94    76   140    71   152 0.95 -
117816at50557_7200_0:0014c2|STRG.20705.3:1762-2655|+    -            298 129956at50557        -            110   6.7e-29   99.0   0.1   3   3   2.2e-09     1e-07   30.9   0.0    31   104   215   289   208   295 0.91 -
117816at50557_7200_0:0014c2|STRG.20705.5:1406-2299|+    -            298 129956at50557        -            110   6.7e-29   99.0   0.1   1   3   6.7e-11   3.1e-09   35.8   0.0    42   107     2    67     1    70 0.94 -
117816at50557_7200_0:0014c2|STRG.20705.5:1406-2299|+    -            298 129956at50557        -            110   6.7e-29   99.0   0.1   2   3   8.8e-09     4e-07   28.9   0.0    30    94    76   140    71   152 0.95 -
117816at50557_7200_0:0014c2|STRG.20705.5:1406-2299|+    -            298 129956at50557        -            110   6.7e-29   99.0   0.1   3   3   2.2e-09     1e-07   30.9   0.0    31   104   215   289   208   295 0.91 -
117816at50557_69004_0:00324f|STRG.15172.1:649-1692|+    -            348 129956at50557        -            110     3e-28   97.0   0.2   1   4   9.4e-07   4.3e-05   22.4   0.0    32   104     2    74     1    80 0.95 -
117816at50557_69004_0:00324f|STRG.15172.1:649-1692|+    -            348 129956at50557        -            110     3e-28   97.0   0.2   2   4   1.1e-07     5e-06   25.4   0.1    32   107    90   164    83   167 0.91 -
117816at50557_69004_0:00324f|STRG.15172.1:649-1692|+    -            348 129956at50557        -            110     3e-28   97.0   0.2   3   4   1.8e-09   8.3e-08   31.1   0.0    30    98   181   248   164   261 0.87 -
117816at50557_69004_0:00324f|STRG.15172.1:649-1692|+    -            348 129956at50557        -            110     3e-28   97.0   0.2   4   4   0.00057     0.026   13.4   0.0    45    93   300   346   265   348 0.77 -
