#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
15589at50557_456900_0:000a2c|STRG.17051.1:59-2593|+   -            845 15589at50557         -            716         0 1356.7  31.2   1   1         0         0 1354.1  31.2     1   677    17   745    17   837 0.93 -
30983at50557_103372_0:001d08|STRG.1369.1:131-2146|+   -            672 15589at50557         -            716     4e-24   84.1  33.4   1   6   1.7e-06    0.0026   15.3   4.1   342   393    76   124    50   169 0.56 -
30983at50557_103372_0:001d08|STRG.1369.1:131-2146|+   -            672 15589at50557         -            716     4e-24   84.1  33.4   2   6   1.7e-08   2.5e-05   22.0   6.2   488   594   173   277   152   298 0.82 -
30983at50557_103372_0:001d08|STRG.1369.1:131-2146|+   -            672 15589at50557         -            716     4e-24   84.1  33.4   3   6   3.1e-05     0.048   11.2   0.3    30    69   312   353   302   369 0.80 -
30983at50557_103372_0:001d08|STRG.1369.1:131-2146|+   -            672 15589at50557         -            716     4e-24   84.1  33.4   4   6   1.8e-14   2.7e-11   41.7   4.8   494   652   370   533   359   552 0.77 -
30983at50557_103372_0:001d08|STRG.1369.1:131-2146|+   -            672 15589at50557         -            716     4e-24   84.1  33.4   5   6    0.0074        11    3.3   0.0   509   538   524   553   509   594 0.69 -
30983at50557_103372_0:001d08|STRG.1369.1:131-2146|+   -            672 15589at50557         -            716     4e-24   84.1  33.4   6   6      0.17   2.5e+02   -1.1   0.0   343   367   544   575   539   619 0.74 -
30983at50557_7394_0:001634|STRG.2069.2:3938-4765|+    -            276 15589at50557         -            716   7.7e-07   27.0   5.7   1   3   0.00048      0.73    7.3   0.9   344   644    33    85    24   132 0.59 -
30983at50557_7394_0:001634|STRG.2069.2:3938-4765|+    -            276 15589at50557         -            716   7.7e-07   27.0   5.7   2   3   4.7e-07   0.00073   17.2   0.2   493   619    71   197    68   202 0.76 -
30983at50557_7394_0:001634|STRG.2069.2:3938-4765|+    -            276 15589at50557         -            716   7.7e-07   27.0   5.7   3   3   0.00016      0.24    8.8   0.1   487   558   202   274   199   276 0.76 -
15852at50557_103372_0:0023aa|STRG.2902.1:22-2829|+    -            936 15589at50557         -            716   1.4e-06   26.2   8.4   1   6      0.81   1.2e+03   -3.4   0.0   344   378   305   339   289   344 0.88 -
15852at50557_103372_0:0023aa|STRG.2902.1:22-2829|+    -            936 15589at50557         -            716   1.4e-06   26.2   8.4   2   6   0.00065      0.99    6.8   0.1     9    55   360   410   353   422 0.79 -
15852at50557_103372_0:0023aa|STRG.2902.1:22-2829|+    -            936 15589at50557         -            716   1.4e-06   26.2   8.4   3   6   5.8e-05      0.09   10.3   1.2   511   652   440   591   425   603 0.78 -
15852at50557_103372_0:0023aa|STRG.2902.1:22-2829|+    -            936 15589at50557         -            716   1.4e-06   26.2   8.4   4   6    0.0016       2.5    5.5   0.2   510   634   549   676   541   718 0.78 -
15852at50557_103372_0:0023aa|STRG.2902.1:22-2829|+    -            936 15589at50557         -            716   1.4e-06   26.2   8.4   5   6   0.00088       1.4    6.4   0.0   510   555   718   764   701   773 0.85 -
15852at50557_103372_0:0023aa|STRG.2902.1:22-2829|+    -            936 15589at50557         -            716   1.4e-06   26.2   8.4   6   6     0.017        27    2.1   0.0     6    95   761   864   758   909 0.72 -
30983at50557_7394_0:001634|STRG.2069.1:3789-4586|+    -            266 15589at50557         -            716   2.5e-06   25.3   4.9   1   2   0.00045      0.69    7.3   0.8   344   644    33    85    25   131 0.59 -
30983at50557_7394_0:001634|STRG.2069.1:3789-4586|+    -            266 15589at50557         -            716   2.5e-06   25.3   4.9   2   2   5.7e-08   8.8e-05   20.2   1.1   493   667    71   244    70   252 0.76 -
143869at50557_93721_0:0021d5|STRG.13139.1:7608-7979|+ -            124 15589at50557         -            716     0.007   13.9   0.1   1   1   5.4e-06    0.0083   13.7   0.1   165   251    14   102     3   108 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/15589at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/15589at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/15589at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:03:28 2024
# [ok]
