#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
113213at50557_34720_0:001faf|STRG.7424.1:0-680|+     -            227 113213at50557        -            323   1.5e-67  226.9   3.1   1   1   4.6e-70   4.7e-67  225.2   3.1   101   289     1   227     1   227 0.85 -
113213at50557_224129_0:002c42|STRG.7425.1:274-594|+  -            107 113213at50557        -            323   7.9e-24   83.2   0.9   1   2   1.9e-17   1.9e-14   52.3   0.1     1    57     1    58     1    71 0.93 -
113213at50557_224129_0:002c42|STRG.7425.1:274-594|+  -            107 113213at50557        -            323   7.9e-24   83.2   0.9   2   2   1.2e-10   1.2e-07   30.0   0.1    53    83    77   107    72   107 0.90 -
113213at50557_224129_0:002c42|STRG.7425.2:984-1304|+ -            107 113213at50557        -            323   7.9e-24   83.2   0.9   1   2   1.9e-17   1.9e-14   52.3   0.1     1    57     1    58     1    71 0.93 -
113213at50557_224129_0:002c42|STRG.7425.2:984-1304|+ -            107 113213at50557        -            323   7.9e-24   83.2   0.9   2   2   1.2e-10   1.2e-07   30.0   0.1    53    83    77   107    72   107 0.90 -
35930at50557_103372_0:002412|STRG.5539.1:500-2191|+  -            564 113213at50557        -            323     6e-06   24.4   0.1   1   2       1.3   1.3e+03   -3.0   0.0    61    86    89   114    69   159 0.65 -
35930at50557_103372_0:002412|STRG.5539.1:500-2191|+  -            564 113213at50557        -            323     6e-06   24.4   0.1   2   2   1.8e-08   1.9e-05   22.8   0.0   253   292   362   401   329   441 0.72 -
35930at50557_103372_0:002412|STRG.5539.2:500-2191|+  -            564 113213at50557        -            323     6e-06   24.4   0.1   1   2       1.3   1.3e+03   -3.0   0.0    61    86    89   114    69   159 0.65 -
35930at50557_103372_0:002412|STRG.5539.2:500-2191|+  -            564 113213at50557        -            323     6e-06   24.4   0.1   2   2   1.8e-08   1.9e-05   22.8   0.0   253   292   362   401   329   441 0.72 -
35930at50557_103372_0:002412|STRG.5539.3:500-2191|+  -            564 113213at50557        -            323     6e-06   24.4   0.1   1   2       1.3   1.3e+03   -3.0   0.0    61    86    89   114    69   159 0.65 -
35930at50557_103372_0:002412|STRG.5539.3:500-2191|+  -            564 113213at50557        -            323     6e-06   24.4   0.1   2   2   1.8e-08   1.9e-05   22.8   0.0   253   292   362   401   329   441 0.72 -
35930at50557_103372_0:002412|STRG.5539.4:160-1851|+  -            564 113213at50557        -            323     6e-06   24.4   0.1   1   2       1.3   1.3e+03   -3.0   0.0    61    86    89   114    69   159 0.65 -
35930at50557_103372_0:002412|STRG.5539.4:160-1851|+  -            564 113213at50557        -            323     6e-06   24.4   0.1   2   2   1.8e-08   1.9e-05   22.8   0.0   253   292   362   401   329   441 0.72 -
35930at50557_103372_0:002412|STRG.5539.5:264-1955|+  -            564 113213at50557        -            323     6e-06   24.4   0.1   1   2       1.3   1.3e+03   -3.0   0.0    61    86    89   114    69   159 0.65 -
35930at50557_103372_0:002412|STRG.5539.5:264-1955|+  -            564 113213at50557        -            323     6e-06   24.4   0.1   2   2   1.8e-08   1.9e-05   22.8   0.0   253   292   362   401   329   441 0.72 -
35930at50557_103372_0:002412|STRG.5539.6:264-1955|+  -            564 113213at50557        -            323     6e-06   24.4   0.1   1   2       1.3   1.3e+03   -3.0   0.0    61    86    89   114    69   159 0.65 -
35930at50557_103372_0:002412|STRG.5539.6:264-1955|+  -            564 113213at50557        -            323     6e-06   24.4   0.1   2   2   1.8e-08   1.9e-05   22.8   0.0   253   292   362   401   329   441 0.72 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/113213at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/113213at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/113213at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:26 2024
# [ok]
