#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
120971at50557_103372_0:001b69|STRG.19751.1:193-642|+ -            150 120971at50557        -            121     7e-61  202.7  11.8   1   1     8e-64   1.2e-60  201.9  11.8     1   121    11   146    11   146 0.92 -
50275at50557_28612_0:005a60|STRG.3772.1:2963-3523|+  -            187 120971at50557        -            121     1e-16   60.2  25.7   1   3   4.5e-08   6.9e-05   22.0   2.7    45    92    11    58     5    68 0.86 -
50275at50557_28612_0:005a60|STRG.3772.1:2963-3523|+  -            187 120971at50557        -            121     1e-16   60.2  25.7   2   3   3.3e-05      0.05   12.7   3.2    27    62    60    97    53   107 0.50 -
50275at50557_28612_0:005a60|STRG.3772.1:2963-3523|+  -            187 120971at50557        -            121     1e-16   60.2  25.7   3   3   1.1e-12   1.8e-09   36.8   6.8     6    76   108   186   103   187 0.86 -
50275at50557_103372_0:001400|STRG.18992.1:247-2853|+ -            869 120971at50557        -            121   3.4e-12   45.6  25.9   1   3   1.1e-05     0.016   14.3  11.3     1    74    52   131    52   135 0.73 -
50275at50557_103372_0:001400|STRG.18992.1:247-2853|+ -            869 120971at50557        -            121   3.4e-12   45.6  25.9   2   3   4.7e-05     0.072   12.2   5.4     9    63   128   190   125   196 0.76 -
50275at50557_103372_0:001400|STRG.18992.1:247-2853|+ -            869 120971at50557        -            121   3.4e-12   45.6  25.9   3   3     9e-09   1.4e-05   24.2   0.1    46   106   337   400   306   411 0.86 -
50275at50557_103372_0:001400|STRG.18992.2:247-3215|+ -            974 120971at50557        -            121   4.7e-12   45.1  25.8   1   3   1.2e-05     0.019   14.1  11.3     1    74    52   131    52   135 0.73 -
50275at50557_103372_0:001400|STRG.18992.2:247-3215|+ -            974 120971at50557        -            121   4.7e-12   45.1  25.8   2   3   5.8e-05     0.089   11.9   5.6     9    63   128   190   122   196 0.77 -
50275at50557_103372_0:001400|STRG.18992.2:247-3215|+ -            974 120971at50557        -            121   4.7e-12   45.1  25.8   3   3     1e-08   1.6e-05   24.0   0.1    46   106   337   400   306   411 0.86 -
120971at50557_54969_0:0040c5|STRG.5173.1:195-494|+   -            100 120971at50557        -            121   1.3e-10   40.5  13.9   1   2   1.5e-09   2.3e-06   26.7   6.2    33    88     9    65     1    66 0.83 -
120971at50557_54969_0:0040c5|STRG.5173.1:195-494|+   -            100 120971at50557        -            121   1.3e-10   40.5  13.9   2   2     4e-07   0.00062   18.9   1.6    41    76    64    99    61   100 0.87 -
120971at50557_54969_0:0040c5|STRG.5173.2:195-494|+   -            100 120971at50557        -            121   1.3e-10   40.5  13.9   1   2   1.5e-09   2.3e-06   26.7   6.2    33    88     9    65     1    66 0.83 -
120971at50557_54969_0:0040c5|STRG.5173.2:195-494|+   -            100 120971at50557        -            121   1.3e-10   40.5  13.9   2   2     4e-07   0.00062   18.9   1.6    41    76    64    99    61   100 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/120971at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/120971at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/120971at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:42 2024
# [ok]
