#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
96248at50557_34720_0:0011e8|STRG.10527.1:210-1229|+   -            340 96248at50557         -            262  3.5e-111  370.1  16.7   1   1  3.8e-113  3.9e-110  366.7  16.7     2   256     8   314     7   319 0.87 -
117917at50557_520822_0:0012a4|STRG.1568.1:113-775|+   -            221 96248at50557         -            262   9.4e-15   54.1   1.7   1   2   9.9e-18     1e-14   54.0   0.3   168   251    21   106     8   113 0.92 -
117917at50557_520822_0:0012a4|STRG.1568.1:113-775|+   -            221 96248at50557         -            262   9.4e-15   54.1   1.7   2   2      0.91   9.3e+02   -1.6   0.0   141   157   129   144   125   169 0.61 -
117917at50557_197043_0:0036b7|STRG.1581.1:188-616|+   -            143 96248at50557         -            262    0.0022   16.8   0.0   1   1   2.6e-06    0.0027   16.5   0.0   173   251     1    84     1    95 0.85 -
117917at50557_197043_0:0036b7|STRG.1581.2:510-938|+   -            143 96248at50557         -            262    0.0022   16.8   0.0   1   1   2.6e-06    0.0027   16.5   0.0   173   251     1    84     1    95 0.85 -
112481at50557_103372_0:001a2c|STRG.20089.1:404-1084|+ -            227 96248at50557         -            262     0.013   14.2   1.8   1   1     2e-05      0.02   13.6   1.7   161   255    64   166    44   172 0.75 -
117917at50557_520822_0:0012a4|STRG.11069.2:401-748|+  -            116 96248at50557         -            262     0.018   13.8   0.1   1   1     2e-05      0.02   13.6   0.1   171   255    24   110    10   115 0.86 -
117917at50557_520822_0:0012a4|STRG.11069.3:389-736|+  -            116 96248at50557         -            262     0.018   13.8   0.1   1   1     2e-05      0.02   13.6   0.1   171   255    24   110    10   115 0.86 -
117917at50557_520822_0:0012a4|STRG.11069.4:176-523|+  -            116 96248at50557         -            262     0.018   13.8   0.1   1   1     2e-05      0.02   13.6   0.1   171   255    24   110    10   115 0.86 -
117917at50557_520822_0:0012a4|STRG.11069.6:366-713|+  -            116 96248at50557         -            262     0.018   13.8   0.1   1   1     2e-05      0.02   13.6   0.1   171   255    24   110    10   115 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/96248at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/96248at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/96248at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:10:35 2024
# [ok]
