#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
104832at50557_34720_0:0019e7|STRG.16082.1:100-921|+     -            274 104832at50557        -            207   7.8e-77  256.5  14.2   1   1   4.1e-77   4.8e-75  250.7  14.2     1   205     4   260     4   264 0.84 -
117816at50557_69004_0:00324f|STRG.15172.1:649-1692|+    -            348 104832at50557        -            207   2.2e-12   46.0   3.4   1   4      0.93   1.1e+02    1.2   0.0   145   164    44    63    29    87 0.77 -
117816at50557_69004_0:00324f|STRG.15172.1:649-1692|+    -            348 104832at50557        -            207   2.2e-12   46.0   3.4   2   4     0.001      0.12   10.9   0.1   125   166   106   152    98   178 0.78 -
117816at50557_69004_0:00324f|STRG.15172.1:649-1692|+    -            348 104832at50557        -            207   2.2e-12   46.0   3.4   3   4   2.7e-05    0.0032   16.0   0.3   124   165   198   244   156   270 0.69 -
117816at50557_69004_0:00324f|STRG.15172.1:649-1692|+    -            348 104832at50557        -            207   2.2e-12   46.0   3.4   4   4   3.5e-05    0.0041   15.7   0.2   121   166   295   348   256   348 0.70 -
117816at50557_69004_0:00324f|STRG.15171.1:684-1727|+    -            348 104832at50557        -            207     4e-12   45.1   2.6   1   4      0.78        91    1.5   0.0   145   166    44    65    24    87 0.79 -
117816at50557_69004_0:00324f|STRG.15171.1:684-1727|+    -            348 104832at50557        -            207     4e-12   45.1   2.6   2   4   0.00052     0.061   11.9   0.1   125   166   106   152    97   179 0.78 -
117816at50557_69004_0:00324f|STRG.15171.1:684-1727|+    -            348 104832at50557        -            207     4e-12   45.1   2.6   3   4    0.0002     0.023   13.2   0.1   124   165   198   244   156   267 0.79 -
117816at50557_69004_0:00324f|STRG.15171.1:684-1727|+    -            348 104832at50557        -            207     4e-12   45.1   2.6   4   4   3.5e-05    0.0041   15.7   0.2   121   166   295   348   258   348 0.69 -
83433at50557_166361_0:0030d8|STRG.13243.6:396-956|+     -            187 104832at50557        -            207   8.5e-07   27.7   0.1   1   2    0.0015      0.18   10.4   0.0   145   175    35    69    17    83 0.78 -
83433at50557_166361_0:0030d8|STRG.13243.6:396-956|+     -            187 104832at50557        -            207   8.5e-07   27.7   0.1   2   2   3.4e-05     0.004   15.7   0.0   124   167    94   143    72   182 0.76 -
