#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
23620at50557_34720_0:0012cc|STRG.4221.1:102-2786|+    -            844 23620at50557         -            502  6.3e-248  822.6  11.3   1   1  4.1e-248  1.7e-246  817.9  11.3     1   501   220   827   220   828 0.91 -
23620at50557_103372_0:00201d|STRG.4221.2:82-2613|+    -            844 23620at50557         -            502  7.9e-248  822.2  11.5   1   1    5e-248  2.1e-246  817.6  11.5     1   501   220   827   220   828 0.91 -
57752at50557_121225_0:0018b6|STRG.11077.1:539-1453|+  -            305 23620at50557         -            502   6.7e-39  133.0  10.1   1   7    0.0023     0.096   10.5   0.0   239   276     3    41     1    43 0.82 -
57752at50557_121225_0:0018b6|STRG.11077.1:539-1453|+  -            305 23620at50557         -            502   6.7e-39  133.0  10.1   2   7   1.1e-05   0.00044   18.2   0.0   236   278    42    86    39    87 0.86 -
57752at50557_121225_0:0018b6|STRG.11077.1:539-1453|+  -            305 23620at50557         -            502   6.7e-39  133.0  10.1   3   7   1.4e-11   5.8e-10   37.6   0.3   235   288    84   138    77   141 0.88 -
57752at50557_121225_0:0018b6|STRG.11077.1:539-1453|+  -            305 23620at50557         -            502   6.7e-39  133.0  10.1   4   7   1.2e-08   4.9e-07   27.9   0.2   236   298   127   196   127   202 0.83 -
57752at50557_121225_0:0018b6|STRG.11077.1:539-1453|+  -            305 23620at50557         -            502   6.7e-39  133.0  10.1   5   7    0.0013     0.053   11.3   0.0   251   279   204   232   199   232 0.92 -
57752at50557_121225_0:0018b6|STRG.11077.1:539-1453|+  -            305 23620at50557         -            502   6.7e-39  133.0  10.1   6   7   7.4e-11     3e-09   35.2   0.1   236   287   230   282   228   286 0.91 -
57752at50557_121225_0:0018b6|STRG.11077.1:539-1453|+  -            305 23620at50557         -            502   6.7e-39  133.0  10.1   7   7      0.23       9.5    3.9   0.0   251   268   288   305   283   305 0.88 -
80377at50557_30019_0:0008bb|STRG.6179.1:1374-2234|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   1   7     2e-10   8.1e-09   33.8   0.1   237   280    11    54     3    64 0.90 -
80377at50557_30019_0:0008bb|STRG.6179.1:1374-2234|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   2   7    0.0001    0.0042   15.0   0.1   239   278    54    92    52    93 0.85 -
80377at50557_30019_0:0008bb|STRG.6179.1:1374-2234|+   -            287 23620at50557         -            502   4.5e-34  117.1  14.8   3   7   5.1e-08   2.1e-06   25.9   0.2   236   280    91   134    89   137 0.91 -
