#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
38815at50557_520822_0:00044d|STRG.733.1:89-1975|+    -            629 38815at50557         -            491  2.3e-141  470.6   0.2   1   1  1.1e-143  3.8e-141  469.9   0.2     2   491    49   629    48   629 0.86 -
38815at50557_74869_0:001e74|STRG.17190.1:165-1775|+  -            537 38815at50557         -            491   9.4e-66  221.2   0.0   1   1     1e-67   3.4e-65  219.4   0.0    10   453     2   536     1   537 0.82 -
38815at50557_136037_0:00109b|STRG.19969.1:272-1357|+ -            362 38815at50557         -            491   1.2e-36  125.3   0.0   1   1   4.9e-39   1.6e-36  124.8   0.0    42   321    23   350     3   356 0.78 -
38815at50557_136037_0:00109b|STRG.13489.1:360-1445|+ -            362 38815at50557         -            491     4e-33  113.6   0.0   1   1   1.6e-35   5.4e-33  113.2   0.0    41   323    22   352     2   356 0.78 -
38815at50557_6973_0:0035db|STRG.13489.2:154-1125|+   -            324 38815at50557         -            491   1.4e-32  111.8   0.0   1   1   5.8e-35   1.9e-32  111.4   0.0    75   324    22   309     6   319 0.84 -
56276at50557_319348_0:003341|STRG.7615.1:197-1393|+  -            399 38815at50557         -            491   1.6e-27   95.2   0.0   1   1     6e-30     2e-27   94.8   0.0    77   280    92   330    44   384 0.75 -
38815at50557_6973_0:0035db|STRG.3231.1:391-1404|+    -            338 38815at50557         -            491   3.9e-23   80.7   0.0   1   1   1.4e-25   4.6e-23   80.4   0.0    72   300    22   291     1   333 0.75 -
38815at50557_6973_0:0035db|STRG.3231.2:491-1504|+    -            338 38815at50557         -            491   3.9e-23   80.7   0.0   1   1   1.4e-25   4.6e-23   80.4   0.0    72   300    22   291     1   333 0.75 -
38815at50557_6973_0:0035db|STRG.3231.3:287-1300|+    -            338 38815at50557         -            491   3.9e-23   80.7   0.0   1   1   1.4e-25   4.6e-23   80.4   0.0    72   300    22   291     1   333 0.75 -
56276at50557_319348_0:003341|STRG.13717.1:327-1448|+ -            374 38815at50557         -            491   7.1e-22   76.5   0.0   1   1     3e-24   9.9e-22   76.0   0.0    52   323    35   355     9   368 0.78 -
56276at50557_319348_0:003341|STRG.13717.2:327-1448|+ -            374 38815at50557         -            491   7.1e-22   76.5   0.0   1   1     3e-24   9.9e-22   76.0   0.0    52   323    35   355     9   368 0.78 -
