#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
138527at50557_103372_0:00284e|STRG.20055.1:80-496|+  -            139 138527at50557        -             95   2.1e-44  148.7   0.3   1   1   8.3e-47   3.2e-44  148.1   0.3     1    95    35   136    35   136 0.96 -
138527at50557_29053_0:0022e2|STRG.8684.1:183-482|+   -            100 138527at50557        -             95     5e-15   54.5   0.1   1   1   1.6e-17   6.3e-15   54.2   0.1     3    94     1    98     1    99 0.84 -
138527at50557_121225_0:001e16|STRG.3424.2:774-1130|+ -            119 138527at50557        -             95   7.6e-15   53.9   0.5   1   1   2.7e-17     1e-14   53.5   0.5     3    95     6   104     4   104 0.89 -
138527at50557_121225_0:001e16|STRG.3424.3:680-1036|+ -            119 138527at50557        -             95   7.6e-15   53.9   0.5   1   1   2.7e-17     1e-14   53.5   0.5     3    95     6   104     4   104 0.89 -
138527at50557_121225_0:001e16|STRG.3424.4:79-435|+   -            119 138527at50557        -             95   7.6e-15   53.9   0.5   1   1   2.7e-17     1e-14   53.5   0.5     3    95     6   104     4   104 0.89 -
60961at50557_34720_0:0017d0|STRG.6125.1:92-1423|+    -            444 138527at50557        -             95   9.7e-11   40.7   0.0   1   3   2.9e-07   0.00011   21.3   0.0     7    68    46   114    41   125 0.87 -
60961at50557_34720_0:0017d0|STRG.6125.1:92-1423|+    -            444 138527at50557        -             95   9.7e-11   40.7   0.0   2   3   3.9e-05     0.015   14.5   0.0     5    77   172   251   169   260 0.86 -
60961at50557_34720_0:0017d0|STRG.6125.1:92-1423|+    -            444 138527at50557        -             95   9.7e-11   40.7   0.0   3   3      0.98   3.8e+02    0.4   0.1    40    56   428   444   425   444 0.87 -
60961at50557_54969_0:0007af|STRG.5131.1:481-1179|+   -            233 138527at50557        -             95   2.5e-10   39.4   0.0   1   2     6e-08   2.3e-05   23.5   0.0     8    94    13   106     8   107 0.82 -
60961at50557_54969_0:0007af|STRG.5131.1:481-1179|+   -            233 138527at50557        -             95   2.5e-10   39.4   0.0   2   2   5.6e-05     0.022   14.0   0.0    27    93   162   232   135   233 0.82 -
65618at50557_64459_0:000660|STRG.16625.2:263-1108|+  -            282 138527at50557        -             95   5.6e-08   31.9   0.0   1   1   3.7e-10   1.4e-07   30.6   0.0     6    94     5   106     2   107 0.77 -
65618at50557_64459_0:000660|STRG.16625.1:264-1157|+  -            298 138527at50557        -             95   6.5e-08   31.7   0.0   1   1   4.1e-10   1.6e-07   30.4   0.0     6    94     5   106     2   107 0.77 -
