#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30467at50557_144034_0:0022a4|STRG.11857.1:54-2183|+   -            710 30467at50557         -            614         0 1058.2   8.2   1   1         0         0 1057.9   8.2     8   614    31   708    23   708 0.92 -
40115at50557_28612_0:000941|STRG.18369.1:23-934|+     -            304 30467at50557         -            614   8.6e-10   36.7   0.0   1   3   1.5e-05    0.0024   15.4   0.0   167   256    57   148    47   151 0.76 -
40115at50557_28612_0:000941|STRG.18369.1:23-934|+     -            304 30467at50557         -            614   8.6e-10   36.7   0.0   2   3   2.9e-05    0.0047   14.4   0.0   212   259   148   193   142   196 0.87 -
40115at50557_28612_0:000941|STRG.18369.1:23-934|+     -            304 30467at50557         -            614   8.6e-10   36.7   0.0   3   3     0.036       5.8    4.2   0.0   185   249   198   267   194   298 0.62 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 30467at50557         -            614     1e-08   33.2   0.2   1   3      0.74   1.2e+02   -0.1   0.0   476   505    49    78     8    91 0.70 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 30467at50557         -            614     1e-08   33.2   0.2   2   3   1.3e-06   0.00021   18.9   0.4   186   257    94   170    71   173 0.77 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 30467at50557         -            614     1e-08   33.2   0.2   3   3   0.00034     0.054   10.9   0.0   182   251   173   246   167   275 0.80 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 30467at50557         -            614     1e-08   33.2   0.2   1   3      0.74   1.2e+02   -0.1   0.0   476   505    49    78     8    91 0.70 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 30467at50557         -            614     1e-08   33.2   0.2   2   3   1.3e-06   0.00021   18.9   0.4   186   257    94   170    71   173 0.77 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 30467at50557         -            614     1e-08   33.2   0.2   3   3   0.00034     0.054   10.9   0.0   182   251   173   246   167   275 0.80 -
80377at50557_7070_0:0023da|STRG.18368.1:447-1094|+    -            216 30467at50557         -            614   2.9e-08   31.6   0.2   1   2   2.5e-06    0.0004   18.0   0.0   180   257     7    89     3    91 0.81 -
80377at50557_7070_0:0023da|STRG.18368.1:447-1094|+    -            216 30467at50557         -            614   2.9e-08   31.6   0.2   2   2   0.00014     0.023   12.2   0.0   183   274    93   195    88   211 0.67 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 30467at50557         -            614   1.3e-07   29.4   0.2   1   3      0.57        93    0.2   0.0   476   505    65    94    21   106 0.68 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 30467at50557         -            614   1.3e-07   29.4   0.2   2   3   9.5e-07   0.00015   19.3   0.4   186   257   110   186    87   191 0.78 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 30467at50557         -            614   1.3e-07   29.4   0.2   3   3    0.0081       1.3    6.3   0.0   182   236   189   249   184   254 0.78 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 30467at50557         -            614   9.5e-07   26.6   0.0   1   5   0.00081      0.13    9.6   0.0   181   257    49   131    44   133 0.75 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 30467at50557         -            614   9.5e-07   26.6   0.0   2   5     0.027       4.3    4.6   0.0   187   235    98   153    93   160 0.80 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 30467at50557         -            614   9.5e-07   26.6   0.0   3   5       1.7   2.8e+02   -1.4   0.0   178   251   251   287   192   330 0.62 -
