#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
61705at50557_144034_0:002511|STRG.7318.1:162-1421|+ -            420 61705at50557         -            355  9.6e-177  586.3   7.4   1   1  9.8e-180  1.5e-176  585.6   7.4     1   355     1   415     1   415 0.92 -
67311at50557_13686_0:002311|STRG.19772.1:406-2985|+ -            860 61705at50557         -            355   6.4e-05   21.1   0.8   1   2         2     3e+03   -4.2   0.0   190   242   132   184   117   197 0.76 -
67311at50557_13686_0:002311|STRG.19772.1:406-2985|+ -            860 61705at50557         -            355   6.4e-05   21.1   0.8   2   2   6.8e-08    0.0001   20.4   0.1   262   354   754   852   745   854 0.80 -
67311at50557_13686_0:002311|STRG.19772.3:135-2717|+ -            861 61705at50557         -            355   6.4e-05   21.1   0.8   1   2         2     3e+03   -4.2   0.0   190   242   129   181   114   194 0.76 -
67311at50557_13686_0:002311|STRG.19772.3:135-2717|+ -            861 61705at50557         -            355   6.4e-05   21.1   0.8   2   2   6.8e-08    0.0001   20.4   0.1   262   354   755   853   746   855 0.80 -
67311at50557_13686_0:002311|STRG.19772.2:405-2996|+ -            864 61705at50557         -            355   7.6e-05   20.8   1.0   1   2         2   3.1e+03   -4.2   0.1   190   242   132   184   118   197 0.76 -
67311at50557_13686_0:002311|STRG.19772.2:405-2996|+ -            864 61705at50557         -            355   7.6e-05   20.8   1.0   2   2   6.8e-08    0.0001   20.4   0.1   262   354   758   856   749   858 0.80 -
61705at50557_51655_0:001f8f|STRG.2588.1:1354-1770|+ -            139 61705at50557         -            355   8.5e-05   20.7   0.3   1   1   6.6e-08    0.0001   20.4   0.3   258   353    25   132    13   135 0.75 -
4137at50557_378494_0:00213c|STRG.18408.4:947-1699|+ -            251 61705at50557         -            355   0.00015   19.8   0.9   1   2   3.1e-05     0.047   11.7   0.5   277   332    72   125    13   142 0.70 -
4137at50557_378494_0:00213c|STRG.18408.4:947-1699|+ -            251 61705at50557         -            355   0.00015   19.8   0.9   2   2   0.00084       1.3    6.9   0.0   284   330   182   228   125   246 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/61705at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/61705at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/61705at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:08:47 2024
# [ok]
