#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
117699at50557_104421_0:002a75|STRG.16257.2:549-1148|+  -            200 117699at50557        -            170   5.3e-91  302.2   0.1   1   1   6.1e-93   1.1e-90  301.1   0.1     1   169     1   197     1   198 0.94 -
117699at50557_219809_0:0002bf|STRG.16257.3:11-580|+    -            190 117699at50557        -            170   2.8e-86  286.8   0.0   1   1   2.1e-88   3.9e-86  286.4   0.0    10   169     9   187     3   188 0.94 -
117699at50557_411798_0:0026ea|STRG.16257.1:116-652|+   -            179 117699at50557        -            170   1.2e-85  284.7   0.0   1   1   8.3e-88   1.6e-85  284.4   0.0    16   169     4   176     1   177 0.95 -
120473at50557_1041015_0:0012df|STRG.11570.1:718-1125|+ -            136 117699at50557        -            170   2.7e-35  120.9   0.0   1   1   1.5e-37   2.8e-35  120.8   0.0    31   132    31   131     3   136 0.89 -
120473at50557_1041015_0:0012df|STRG.11570.2:108-515|+  -            136 117699at50557        -            170   2.7e-35  120.9   0.0   1   1   1.5e-37   2.8e-35  120.8   0.0    31   132    31   131     3   136 0.89 -
120473at50557_1041015_0:0012df|STRG.11570.3:50-457|+   -            136 117699at50557        -            170   2.7e-35  120.9   0.0   1   1   1.5e-37   2.8e-35  120.8   0.0    31   132    31   131     3   136 0.89 -
120473at50557_1041015_0:0012df|STRG.7697.1:413-811|+   -            133 117699at50557        -            170   3.3e-33  114.1   0.0   1   1   1.9e-35   3.6e-33  114.0   0.0    23   127    25   128     2   132 0.95 -
116934at50557_286706_0:0006a3|STRG.2226.1:339-725|+    -            129 117699at50557        -            170   1.7e-29  102.0   0.0   1   1     1e-31   1.9e-29  101.8   0.0    25   125    25   124     2   128 0.96 -
120473at50557_1041015_0:0012df|STRG.11688.1:826-1278|+ -            151 117699at50557        -            170   5.1e-27   94.0   0.0   1   1     3e-29   5.6e-27   93.8   0.0    25   128    31   133     5   146 0.91 -
120473at50557_37344_0:000b45|STRG.11688.2:826-1985|+   -            161 117699at50557        -            170   4.4e-26   90.9   0.0   1   1   2.7e-28     5e-26   90.7   0.0    25   127    31   132     5   147 0.90 -
116934at50557_103372_0:000d14|STRG.809.1:159-719|+     -            187 117699at50557        -            170   1.2e-24   86.3   0.0   1   1   7.5e-27   1.4e-24   86.0   0.0    25   125    58   157    29   175 0.83 -
