#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
135254at50557_103372_0:002a85|STRG.7181.1:116-490|+     -            125 135254at50557        -            104   1.3e-58  194.6   1.6   1   1   1.1e-60   1.5e-58  194.4   1.6     1   104     7   120     7   120 0.92 -
117816at50557_69004_0:00324f|STRG.15172.1:649-1692|+    -            348 135254at50557        -            104   5.8e-08   31.9   0.6   1   4      0.33        45    3.3   0.0    27    70    19    62     2    90 0.76 -
117816at50557_69004_0:00324f|STRG.15172.1:649-1692|+    -            348 135254at50557        -            104   5.8e-08   31.9   0.6   2   4    0.0058      0.78    8.9   0.1    16    73    90   152    78   179 0.82 -
117816at50557_69004_0:00324f|STRG.15172.1:649-1692|+    -            348 135254at50557        -            104   5.8e-08   31.9   0.6   3   4   0.00018     0.025   13.8   0.0    16   102   183   271   168   274 0.75 -
117816at50557_69004_0:00324f|STRG.15172.1:649-1692|+    -            348 135254at50557        -            104   5.8e-08   31.9   0.6   4   4         1   1.4e+02    1.7   0.0    13    68   284   343   272   347 0.71 -
117816at50557_69004_0:00324f|STRG.15171.1:684-1727|+    -            348 135254at50557        -            104   9.1e-08   31.2   1.2   1   4      0.13        17    4.6   0.0    17    69     3    61     1    84 0.68 -
117816at50557_69004_0:00324f|STRG.15171.1:684-1727|+    -            348 135254at50557        -            104   9.1e-08   31.2   1.2   2   4     0.016       2.1    7.6   0.1    16    72    90   151    76   179 0.80 -
117816at50557_69004_0:00324f|STRG.15171.1:684-1727|+    -            348 135254at50557        -            104   9.1e-08   31.2   1.2   3   4    0.0002     0.028   13.6   0.1    17   102   184   271   166   273 0.74 -
117816at50557_69004_0:00324f|STRG.15171.1:684-1727|+    -            348 135254at50557        -            104   9.1e-08   31.2   1.2   4   4      0.98   1.3e+02    1.8   0.0    14    68   285   343   273   347 0.71 -
117816at50557_7200_0:0014c2|STRG.20705.3:1762-2655|+    -            298 135254at50557        -            104   6.8e-07   28.4   0.0   1   3    0.0074         1    8.6   0.0    28    86    10    68     4    78 0.86 -
117816at50557_7200_0:0014c2|STRG.20705.3:1762-2655|+    -            298 135254at50557        -            104   6.8e-07   28.4   0.0   2   3       1.2   1.6e+02    1.5   0.0    27    71    92   139    76   141 0.66 -
117816at50557_7200_0:0014c2|STRG.20705.3:1762-2655|+    -            298 135254at50557        -            104   6.8e-07   28.4   0.0   3   3   0.00011     0.015   14.5   0.0    28    83   232   290   207   297 0.78 -
117816at50557_7200_0:0014c2|STRG.20705.5:1406-2299|+    -            298 135254at50557        -            104   6.8e-07   28.4   0.0   1   3    0.0074         1    8.6   0.0    28    86    10    68     4    78 0.86 -
117816at50557_7200_0:0014c2|STRG.20705.5:1406-2299|+    -            298 135254at50557        -            104   6.8e-07   28.4   0.0   2   3       1.2   1.6e+02    1.5   0.0    27    71    92   139    76   141 0.66 -
117816at50557_7200_0:0014c2|STRG.20705.5:1406-2299|+    -            298 135254at50557        -            104   6.8e-07   28.4   0.0   3   3   0.00011     0.015   14.5   0.0    28    83   232   290   207   297 0.78 -
117816at50557_29058_0:000b65|STRG.13243.1:911-1384|+    -            158 135254at50557        -            104   1.1e-06   27.8   0.1   1   2   0.00012     0.016   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.13243.1:911-1384|+    -            158 135254at50557        -            104   1.1e-06   27.8   0.1   2   2   0.00077       0.1   11.8   0.0    15    71    81   143    72   145 0.76 -
