#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
96805at50557_520822_0:00258e|STRG.15178.3:354-1214|+   -            287 96805at50557         -            186   1.1e-56  190.6  14.4   1   1     2e-57   1.7e-54  183.4  14.4    13   186    49   277    40   277 0.79 -
96805at50557_103372_0:000294|STRG.15178.1:589-1530|+   -            314 96805at50557         -            186   1.4e-56  190.2  14.2   1   1   2.5e-57   2.1e-54  183.2  14.2    13   186    76   304    67   304 0.79 -
96805at50557_64793_0:0006ba|STRG.15178.4:467-1547|+    -            290 96805at50557         -            186     2e-54  183.2  13.3   1   1   3.8e-55   3.2e-52  176.0  13.3    13   186    49   280    40   280 0.79 -
96805at50557_64793_0:0006ba|STRG.15178.2:420-1608|+    -            300 96805at50557         -            186   2.6e-54  182.8  13.5   1   1   4.6e-55   3.9e-52  175.7  13.5    13   186    59   290    50   290 0.79 -
96805at50557_37001_0:003325|STRG.6972.3:344-1003|+     -            220 96805at50557         -            186   7.3e-05   21.6   0.0   1   1   1.4e-07   0.00011   21.0   0.0    19    95    65   152    52   168 0.69 -
96805at50557_91411_0:001c67|STRG.6972.2:599-1159|+     -            187 96805at50557         -            186   0.00053   18.8   0.2   1   2   3.1e-06    0.0026   16.5   0.0    39    95     1    67     1    80 0.71 -
96805at50557_91411_0:001c67|STRG.6972.2:599-1159|+     -            187 96805at50557         -            186   0.00053   18.8   0.2   2   2      0.32   2.7e+02    0.2   0.1    98   161   112   175    95   180 0.71 -
96805at50557_91411_0:001c67|STRG.6972.1:786-1295|+     -            170 96805at50557         -            186   0.00099   17.9   0.2   1   2   2.5e-06    0.0021   16.8   0.0    39    95     1    67     1    80 0.71 -
96805at50557_91411_0:001c67|STRG.6972.1:786-1295|+     -            170 96805at50557         -            186   0.00099   17.9   0.2   2   2       1.4   1.2e+03   -1.9   0.1    99   130   113   147    96   166 0.60 -
132051at50557_520822_0:001d22|STRG.14512.2:1399-2550|+ -            287 96805at50557         -            186     0.035   12.9   0.0   1   1   7.6e-05     0.064   12.0   0.0    24    90    82   159    57   179 0.64 -
132051at50557_520822_0:001d22|STRG.14512.3:47-916|+    -            290 96805at50557         -            186     0.035   12.9   0.0   1   1   7.8e-05     0.065   12.0   0.0    24    90    85   162    60   182 0.64 -
132051at50557_520822_0:001d22|STRG.14512.4:391-1260|+  -            290 96805at50557         -            186     0.035   12.9   0.0   1   1   7.8e-05     0.065   12.0   0.0    24    90    85   162    60   182 0.64 -
132051at50557_520822_0:001d22|STRG.14512.1:389-1255|+  -            289 96805at50557         -            186     0.035   12.9   0.0   1   1   7.7e-05     0.065   12.0   0.0    24    90    84   161    59   181 0.64 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/96805at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/96805at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/96805at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:10:57 2024
# [ok]
