#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
102968at50557_34720_0:0002ad|STRG.5181.1:143-5824|+   -           1894 102968at50557        -            278  2.7e-121  403.3   0.8   1   1  1.5e-123    5e-121  402.5   0.8     1   273     1   306     1   311 0.91 -
102968at50557_113334_0:00227f|STRG.2578.1:5397-5588|+ -             64 102968at50557        -            278   3.7e-07   28.9   0.2   1   1   1.2e-09     4e-07   28.8   0.2     6    67     1    64     1    64 0.95 -
102968at50557_113334_0:00227f|STRG.2578.2:5397-5588|+ -             64 102968at50557        -            278   3.7e-07   28.9   0.2   1   1   1.2e-09     4e-07   28.8   0.2     6    67     1    64     1    64 0.95 -
10394at50557_52612_0:0049a4|STRG.1146.2:1958-2920|+   -            321 102968at50557        -            278   1.2e-06   27.3   0.0   1   2   6.9e-05     0.023   13.2   0.0   201   249    38    86    16   104 0.86 -
10394at50557_52612_0:0049a4|STRG.1146.2:1958-2920|+   -            321 102968at50557        -            278   1.2e-06   27.3   0.0   2   2   0.00019     0.064   11.8   0.0   195   250   235   290   227   297 0.92 -
110125at50557_7539_0:00092e|STRG.4436.1:2607-2870|+   -             88 102968at50557        -            278   3.6e-05   22.4   0.0   1   1   1.2e-07     4e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
110125at50557_7539_0:00092e|STRG.4436.2:2607-2870|+   -             88 102968at50557        -            278   3.6e-05   22.4   0.0   1   1   1.2e-07     4e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
110125at50557_7539_0:00092e|STRG.4436.3:2477-2740|+   -             88 102968at50557        -            278   3.6e-05   22.4   0.0   1   1   1.2e-07     4e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
110125at50557_7539_0:00092e|STRG.4436.4:2474-2737|+   -             88 102968at50557        -            278   3.6e-05   22.4   0.0   1   1   1.2e-07     4e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
10394at50557_378494_0:004c1b|STRG.1146.1:1382-2197|+  -            272 102968at50557        -            278   0.00036   19.1   0.0   1   2    0.0061         2    6.8   0.0   187   248    10    71     7    79 0.89 -
10394at50557_378494_0:004c1b|STRG.1146.1:1382-2197|+  -            272 102968at50557        -            278   0.00036   19.1   0.0   2   2   0.00053      0.17   10.3   0.0   201   241   230   270   207   272 0.84 -
10394at50557_378494_0:004c1b|STRG.1146.3:694-1509|+   -            272 102968at50557        -            278   0.00036   19.1   0.0   1   2    0.0061         2    6.8   0.0   187   248    10    71     7    79 0.89 -
10394at50557_378494_0:004c1b|STRG.1146.3:694-1509|+   -            272 102968at50557        -            278   0.00036   19.1   0.0   2   2   0.00053      0.17   10.3   0.0   201   241   230   270   207   272 0.84 -
31141at50557_34720_0:0021d7|STRG.17885.1:468-2513|+   -            682 102968at50557        -            278   0.00041   19.0   0.3   1   2      0.92     3e+02   -0.3   0.0    12    60   162   212   160   223 0.77 -
31141at50557_34720_0:0021d7|STRG.17885.1:468-2513|+   -            682 102968at50557        -            278   0.00041   19.0   0.3   2   2   7.2e-06    0.0024   16.4   0.5    12    71   231   293   217   303 0.84 -
31141at50557_34720_0:0021d7|STRG.17885.2:142-2520|+   -            793 102968at50557        -            278   0.00054   18.5   0.3   1   2       1.1   3.7e+02   -0.6   0.0    12    60   273   323   271   334 0.77 -
31141at50557_34720_0:0021d7|STRG.17885.2:142-2520|+   -            793 102968at50557        -            278   0.00054   18.5   0.3   2   2   8.7e-06    0.0029   16.2   0.5    12    71   342   404   328   414 0.84 -
10394at50557_7536_0:0020dc|STRG.12316.3:218-745|+     -            176 102968at50557        -            278    0.0037   15.8   0.0   1   2    0.0072       2.4    6.6   0.0   185   232    38    85    21   105 0.80 -
10394at50557_7536_0:0020dc|STRG.12316.3:218-745|+     -            176 102968at50557        -            278    0.0037   15.8   0.0   2   2    0.0038       1.3    7.5   0.0   185   226   136   176   124   176 0.89 -
10394at50557_7536_0:0020dc|STRG.12316.4:215-742|+     -            176 102968at50557        -            278    0.0037   15.8   0.0   1   2    0.0072       2.4    6.6   0.0   185   232    38    85    21   105 0.80 -
