#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98332at50557_132113_0:00196c|STRG.1244.1:941-1744|+    -            257 98332at50557         -            180   2.7e-98  325.9   0.6   1   1   1.9e-99   1.2e-97  323.7   0.6     1   179     1   208     1   209 0.94 -
68581at50557_104452_0:00171a|STRG.10878.5:4333-4938|+  -            202 98332at50557         -            180   8.2e-30  102.8   0.1   1   3   2.8e-11   1.8e-09   36.5   0.0   131   180     3    53     1    53 0.93 -
68581at50557_104452_0:00171a|STRG.10878.5:4333-4938|+  -            202 98332at50557         -            180   8.2e-30  102.8   0.1   2   3   2.4e-07   1.5e-05   23.7   0.0   128   179    64   122    57   123 0.79 -
68581at50557_104452_0:00171a|STRG.10878.5:4333-4938|+  -            202 98332at50557         -            180   8.2e-30  102.8   0.1   3   3   3.2e-12   2.1e-10   39.6   0.0   128   179   147   200   129   201 0.89 -
68581at50557_104452_0:00171a|STRG.10878.7:3033-3638|+  -            202 98332at50557         -            180   8.2e-30  102.8   0.1   1   3   2.8e-11   1.8e-09   36.5   0.0   131   180     3    53     1    53 0.93 -
68581at50557_104452_0:00171a|STRG.10878.7:3033-3638|+  -            202 98332at50557         -            180   8.2e-30  102.8   0.1   2   3   2.4e-07   1.5e-05   23.7   0.0   128   179    64   122    57   123 0.79 -
68581at50557_104452_0:00171a|STRG.10878.7:3033-3638|+  -            202 98332at50557         -            180   8.2e-30  102.8   0.1   3   3   3.2e-12   2.1e-10   39.6   0.0   128   179   147   200   129   201 0.89 -
84585at50557_199890_0:0017fa|STRG.13833.3:1029-3470|+  -            814 98332at50557         -            180   1.3e-29  102.1   0.0   1   4   1.5e-09   9.5e-08   30.9   0.0   118   178    98   160    91   162 0.87 -
84585at50557_199890_0:0017fa|STRG.13833.3:1029-3470|+  -            814 98332at50557         -            180   1.3e-29  102.1   0.0   2   4   1.4e-06   9.2e-05   21.2   0.0   130   178   172   225   168   227 0.79 -
84585at50557_199890_0:0017fa|STRG.13833.3:1029-3470|+  -            814 98332at50557         -            180   1.3e-29  102.1   0.0   3   4   5.7e-08   3.7e-06   25.7   0.0   131   179   433   485   418   486 0.84 -
84585at50557_199890_0:0017fa|STRG.13833.3:1029-3470|+  -            814 98332at50557         -            180   1.3e-29  102.1   0.0   4   4   6.3e-06   0.00041   19.0   0.0   135   177   767   813   750   814 0.79 -
