#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83902at50557_13686_0:0017a1|STRG.7653.1:0-851|+        -            284 83902at50557         -            211  2.8e-106  352.7  11.0   1   1  1.6e-107  1.2e-105  350.6  11.0     1   211    15   256    15   256 0.93 -
54603at50557_103372_0:00290d|STRG.7595.1:75-1919|+     -            615 83902at50557         -            211   8.1e-48  161.7  27.5   1   6   8.1e-07   6.1e-05   21.6   0.0   143   184   138   179   123   181 0.87 -
54603at50557_103372_0:00290d|STRG.7595.1:75-1919|+     -            615 83902at50557         -            211   8.1e-48  161.7  27.5   2   6   2.1e-06   0.00016   20.2   0.4   138   183   179   224   177   227 0.92 -
54603at50557_103372_0:00290d|STRG.7595.1:75-1919|+     -            615 83902at50557         -            211   8.1e-48  161.7  27.5   3   6   1.9e-15   1.4e-13   49.8   4.4    82   183   190   293   188   300 0.93 -
54603at50557_103372_0:00290d|STRG.7595.1:75-1919|+     -            615 83902at50557         -            211   8.1e-48  161.7  27.5   4   6   7.8e-06   0.00059   18.4   0.1   141   188   297   344   293   361 0.73 -
54603at50557_103372_0:00290d|STRG.7595.1:75-1919|+     -            615 83902at50557         -            211   8.1e-48  161.7  27.5   5   6   2.2e-18   1.7e-16   59.3   7.0    32   184   364   527   359   528 0.87 -
54603at50557_103372_0:00290d|STRG.7595.1:75-1919|+     -            615 83902at50557         -            211   8.1e-48  161.7  27.5   6   6    0.0053       0.4    9.1   0.0   118   159   550   595   549   598 0.87 -
54603at50557_217634_0:0030bb|STRG.16414.1:512-1612|+   -            367 83902at50557         -            211   8.6e-44  148.5  21.9   1   5   4.5e-07   3.4e-05   22.4   0.2   102   145    32    74    23    77 0.79 -
54603at50557_217634_0:0030bb|STRG.16414.1:512-1612|+   -            367 83902at50557         -            211   8.6e-44  148.5  21.9   2   5   7.4e-23   5.5e-21   74.0   5.3    31   185    69   232    68   235 0.89 -
54603at50557_217634_0:0030bb|STRG.16414.1:512-1612|+   -            367 83902at50557         -            211   8.6e-44  148.5  21.9   3   5   8.4e-06   0.00063   18.3   0.1   140   183   233   276   230   278 0.89 -
54603at50557_217634_0:0030bb|STRG.16414.1:512-1612|+   -            367 83902at50557         -            211   8.6e-44  148.5  21.9   4   5   1.2e-08   9.2e-07   27.5   0.8   139   185   278   324   275   325 0.96 -
