#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
84585at50557_520822_0:000271|STRG.19858.1:185-1954|+ -            590 84585at50557         -            445  1.9e-184  612.7  16.1   1   1  1.6e-184    3e-181  602.1  16.1     2   445     7   522     6   522 0.89 -
27943at50557_103372_0:001861|STRG.4999.3:107-2354|+  -            694 84585at50557         -            445   2.7e-09   35.4  11.4   1   2   1.6e-12   2.9e-09   35.3   8.8    16   169    21   186    13   190 0.69 -
27943at50557_103372_0:001861|STRG.4999.3:107-2354|+  -            694 84585at50557         -            445   2.7e-09   35.4  11.4   2   2      0.21   3.9e+02   -1.4   0.0   390   419   475   504   473   510 0.89 -
27943at50557_34720_0:000d3a|STRG.4999.1:372-2573|+   -            734 84585at50557         -            445     3e-09   35.2  11.4   1   2   1.7e-12   3.2e-09   35.1   8.8    16   169    21   186    13   190 0.69 -
27943at50557_34720_0:000d3a|STRG.4999.1:372-2573|+   -            734 84585at50557         -            445     3e-09   35.2  11.4   2   2      0.22   4.1e+02   -1.5   0.0   390   419   475   504   473   510 0.89 -
27943at50557_34720_0:000d3a|STRG.4999.2:211-2412|+   -            734 84585at50557         -            445     3e-09   35.2  11.4   1   2   1.7e-12   3.2e-09   35.1   8.8    16   169    21   186    13   190 0.69 -
27943at50557_34720_0:000d3a|STRG.4999.2:211-2412|+   -            734 84585at50557         -            445     3e-09   35.2  11.4   2   2      0.22   4.1e+02   -1.5   0.0   390   419   475   504   473   510 0.89 -
29608at50557_34720_0:0015a1|STRG.3304.1:208-2337|+   -            710 84585at50557         -            445    0.0099   13.8  11.5   1   2   0.00074       1.4    6.7   2.7    20    67    29    79    14   135 0.67 -
29608at50557_34720_0:0015a1|STRG.3304.1:208-2337|+   -            710 84585at50557         -            445    0.0099   13.8  11.5   2   2   3.1e-05     0.057   11.2   1.6   110   179   307   378   305   586 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/84585at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/84585at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/84585at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:10:06 2024
# [ok]
