#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89317at50557_307658_0:00251a|STRG.10492.2:125-931|+    -            269 89317at50557         -            194  1.1e-113  376.9  14.5   1   1  3.6e-116  1.3e-113  376.7  14.5     1   194    21   234    21   234 0.95 -
89317at50557_144034_0:0004c3|STRG.10492.1:126-839|+    -            238 89317at50557         -            194  1.6e-112  373.2  14.4   1   1  4.9e-115  1.8e-112  373.0  14.4     1   193    21   233    21   234 0.95 -
89317at50557_108931_0:002c91|STRG.10499.1:173-853|+    -            227 89317at50557         -            194   2.5e-34  118.0  14.4   1   1     8e-37   2.9e-34  117.8  14.4     1   181    20   222    20   227 0.82 -
89317at50557_7038_0:001f22|STRG.10498.1:251-868|+      -            206 89317at50557         -            194     1e-25   89.9   9.9   1   1   3.4e-28   1.3e-25   89.6   9.9     1   183     1   205     1   206 0.80 -
89317at50557_66420_0:0017df|STRG.10496.1:301-852|+     -            184 89317at50557         -            194   6.2e-25   87.4   5.4   1   2   1.6e-23   5.8e-21   74.4   2.7    15   117    33   145    27   154 0.86 -
89317at50557_66420_0:0017df|STRG.10496.1:301-852|+     -            184 89317at50557         -            194   6.2e-25   87.4   5.4   2   2   4.4e-05     0.016   14.2   0.1     3    38   148   184   146   184 0.86 -
89317at50557_108931_0:002c91|STRG.10500.1:327-923|+    -            199 89317at50557         -            194   2.5e-24   85.4  14.0   1   1   7.9e-27   2.9e-24   85.2  14.0     3   181     1   194     1   199 0.83 -
89317at50557_108931_0:002c91|STRG.10500.2:3507-4103|+  -            199 89317at50557         -            194   2.5e-24   85.4  14.0   1   1   7.9e-27   2.9e-24   85.2  14.0     3   181     1   194     1   199 0.83 -
89317at50557_108931_0:002c91|STRG.19062.1:201-779|+    -            193 89317at50557         -            194   4.3e-22   78.1  13.4   1   1   5.9e-24   2.2e-21   75.8  13.4     3   181     1   193     1   193 0.83 -
89317at50557_88501_0:002a2b|STRG.17041.1:707-1402|+    -            232 89317at50557         -            194   5.8e-20   71.2  13.6   1   3     6e-05     0.022   13.8   2.2     2    57    11    68    10    82 0.88 -
89317at50557_88501_0:002a2b|STRG.17041.1:707-1402|+    -            232 89317at50557         -            194   5.8e-20   71.2  13.6   2   3   9.7e-09   3.6e-06   26.1   0.2     2    56    92   147    91   158 0.87 -
89317at50557_88501_0:002a2b|STRG.17041.1:707-1402|+    -            232 89317at50557         -            194   5.8e-20   71.2  13.6   3   3   1.4e-12   5.1e-10   38.7   0.5     3    52   179   229   177   232 0.95 -
89317at50557_88501_0:002a2b|STRG.17041.2:707-1402|+    -            232 89317at50557         -            194   5.8e-20   71.2  13.6   1   3     6e-05     0.022   13.8   2.2     2    57    11    68    10    82 0.88 -
89317at50557_88501_0:002a2b|STRG.17041.2:707-1402|+    -            232 89317at50557         -            194   5.8e-20   71.2  13.6   2   3   9.7e-09   3.6e-06   26.1   0.2     2    56    92   147    91   158 0.87 -
89317at50557_88501_0:002a2b|STRG.17041.2:707-1402|+    -            232 89317at50557         -            194   5.8e-20   71.2  13.6   3   3   1.4e-12   5.1e-10   38.7   0.5     3    52   179   229   177   232 0.95 -
