#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
100579at50557_222816_0:000422|STRG.15291.4:315-1108|+ -            261 100579at50557        -            222  3.9e-121  401.9  11.5   1   1    5e-122  2.7e-119  395.9  11.5     1   221     1   256     1   257 0.92 -
100579at50557_103372_0:000367|STRG.15291.1:304-1101|+ -            266 100579at50557        -            222    1e-119  397.2  10.9   1   1  1.3e-120    7e-118  391.2  10.9     1   221     1   261     1   262 0.91 -
100579at50557_103372_0:000367|STRG.15291.2:244-1041|+ -            266 100579at50557        -            222    1e-119  397.2  10.9   1   1  1.3e-120    7e-118  391.2  10.9     1   221     1   261     1   262 0.91 -
100579at50557_103372_0:000367|STRG.15291.3:543-1340|+ -            266 100579at50557        -            222    1e-119  397.2  10.9   1   1  1.3e-120    7e-118  391.2  10.9     1   221     1   261     1   262 0.91 -
100579at50557_54969_0:00384d|STRG.12013.1:521-1090|+  -            190 100579at50557        -            222     4e-14   51.9   1.6   1   2   1.1e-14   6.1e-12   44.8   0.5    57   153     1    89     1   106 0.87 -
100579at50557_54969_0:00384d|STRG.12013.1:521-1090|+  -            190 100579at50557        -            222     4e-14   51.9   1.6   2   2    0.0096       5.2    5.8   0.0   157   178   116   137   102   154 0.76 -
100579at50557_54969_0:00384d|STRG.12013.2:354-923|+   -            190 100579at50557        -            222     4e-14   51.9   1.6   1   2   1.1e-14   6.1e-12   44.8   0.5    57   153     1    89     1   106 0.87 -
100579at50557_54969_0:00384d|STRG.12013.2:354-923|+   -            190 100579at50557        -            222     4e-14   51.9   1.6   2   2    0.0096       5.2    5.8   0.0   157   178   116   137   102   154 0.76 -
100579at50557_39758_0:00344c|STRG.18677.2:238-936|+   -            233 100579at50557        -            222   5.3e-13   48.3   1.7   1   1   6.8e-14   3.7e-11   42.2   1.7    39   206    13   217     3   229 0.68 -
93160at50557_35570_0:0000cd|STRG.7269.2:652-1407|+    -            252 100579at50557        -            222   1.1e-12   47.2   1.6   1   1   1.8e-13   9.6e-11   40.9   1.6    31   176    33   199     8   213 0.71 -
93160at50557_7213_0:00150a|STRG.7269.1:46-756|+       -            237 100579at50557        -            222   1.6e-12   46.7   1.8   1   1   2.8e-13   1.5e-10   40.2   1.8    31   176    19   185    11   200 0.72 -
93160at50557_224129_0:001b1d|STRG.17071.1:737-1381|+  -            215 100579at50557        -            222   6.5e-10   38.2   0.4   1   2   1.3e-11   6.9e-09   34.8   0.1    35    94     3    62     2    84 0.93 -
93160at50557_224129_0:001b1d|STRG.17071.1:737-1381|+  -            215 100579at50557        -            222   6.5e-10   38.2   0.4   2   2      0.16        89    1.7   0.0   153   180   143   172    86   182 0.69 -
93160at50557_224129_0:001b1d|STRG.17071.2:371-1015|+  -            215 100579at50557        -            222   6.5e-10   38.2   0.4   1   2   1.3e-11   6.9e-09   34.8   0.1    35    94     3    62     2    84 0.93 -
93160at50557_224129_0:001b1d|STRG.17071.2:371-1015|+  -            215 100579at50557        -            222   6.5e-10   38.2   0.4   2   2      0.16        89    1.7   0.0   153   180   143   172    86   182 0.69 -
93160at50557_224129_0:001b1d|STRG.17071.4:371-1006|+  -            212 100579at50557        -            222   8.4e-10   37.8   0.5   1   2   1.3e-11   7.2e-09   34.8   0.1    35    94     3    62     2    81 0.93 -
93160at50557_224129_0:001b1d|STRG.17071.4:371-1006|+  -            212 100579at50557        -            222   8.4e-10   37.8   0.5   2   2       0.2   1.1e+02    1.4   0.0   156   179   143   168    86   179 0.69 -
100579at50557_104688_0:000c00|STRG.18677.1:566-1123|+ -            186 100579at50557        -            222   2.1e-09   36.5   1.5   1   1   2.9e-10   1.6e-07   30.4   1.5    57   198     1   178     1   186 0.63 -
100579at50557_104688_0:000c00|STRG.18677.3:208-765|+  -            186 100579at50557        -            222   2.1e-09   36.5   1.5   1   1   2.9e-10   1.6e-07   30.4   1.5    57   198     1   178     1   186 0.63 -
93160at50557_103372_0:002931|STRG.7533.3:162-974|+    -            271 100579at50557        -            222   4.9e-06   25.5   0.2   1   2   4.5e-08   2.5e-05   23.2   0.1     8    95    13   106     7   166 0.79 -
93160at50557_103372_0:002931|STRG.7533.3:162-974|+    -            271 100579at50557        -            222   4.9e-06   25.5   0.2   2   2      0.37     2e+02    0.6   0.0    47    89   177   219   130   230 0.62 -
93160at50557_103372_0:002931|STRG.7533.1:317-1165|+   -            283 100579at50557        -            222   6.7e-06   25.0   0.2   1   2   5.9e-08   3.2e-05   22.8   0.1     9    95    26   118    21   179 0.78 -
93160at50557_103372_0:002931|STRG.7533.1:317-1165|+   -            283 100579at50557        -            222   6.7e-06   25.0   0.2   2   2       0.4   2.2e+02    0.5   0.0    47    89   189   231   142   242 0.62 -
93160at50557_103372_0:002931|STRG.7533.2:163-1011|+   -            283 100579at50557        -            222   6.7e-06   25.0   0.2   1   2   5.9e-08   3.2e-05   22.8   0.1     9    95    26   118    21   179 0.78 -
93160at50557_103372_0:002931|STRG.7533.2:163-1011|+   -            283 100579at50557        -            222   6.7e-06   25.0   0.2   2   2       0.4   2.2e+02    0.5   0.0    47    89   189   231   142   242 0.62 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/100579at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/100579at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/100579at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:01:57 2024
# [ok]
