#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
66691at50557_456900_0:002b0f|STRG.16519.1:383-1480|+  -            366 66691at50557         -            296  1.7e-144  479.5   9.6   1   1  5.8e-146  4.1e-144  478.2   9.6     1   290    15   354    15   359 0.89 -
78072at50557_34720_0:000cf9|STRG.14617.2:29-1042|+    -            338 66691at50557         -            296   4.2e-19   67.8  21.0   1   4   6.4e-08   4.5e-06   25.0   0.2    20    99     9    89     3    96 0.90 -
78072at50557_34720_0:000cf9|STRG.14617.2:29-1042|+    -            338 66691at50557         -            296   4.2e-19   67.8  21.0   2   4   3.3e-10   2.4e-08   32.5   6.3    24   127   102   205    94   206 0.95 -
78072at50557_34720_0:000cf9|STRG.14617.2:29-1042|+    -            338 66691at50557         -            296   4.2e-19   67.8  21.0   3   4    0.0001    0.0075   14.5   1.3    23    58   191   226   182   233 0.90 -
78072at50557_34720_0:000cf9|STRG.14617.2:29-1042|+    -            338 66691at50557         -            296   4.2e-19   67.8  21.0   4   4    0.0019      0.13   10.3   0.3    14   102   238   336   227   338 0.69 -
40115at50557_108931_0:001d6b|STRG.19253.1:926-1963|+  -            346 66691at50557         -            296   5.5e-18   64.1  10.6   1   4    0.0016      0.11   10.6   0.0    24    71     7    54     4    65 0.90 -
40115at50557_108931_0:001d6b|STRG.19253.1:926-1963|+  -            346 66691at50557         -            296   5.5e-18   64.1  10.6   2   4    0.0055       0.4    8.8   0.0   120   147    68    95    62    99 0.88 -
40115at50557_108931_0:001d6b|STRG.19253.1:926-1963|+  -            346 66691at50557         -            296   5.5e-18   64.1  10.6   3   4   8.5e-06   0.00061   18.0   0.3    23   103   102   179    95   183 0.87 -
40115at50557_108931_0:001d6b|STRG.19253.1:926-1963|+  -            346 66691at50557         -            296   5.5e-18   64.1  10.6   4   4     2e-09   1.5e-07   29.9   2.2    23   184   185   341   182   346 0.83 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 66691at50557         -            296     2e-16   59.0   8.2   1   7      0.73        52    1.8   0.0   120   146     4    29     2    39 0.83 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 66691at50557         -            296     2e-16   59.0   8.2   2   7     0.018       1.3    7.1   0.0    23    92    43   111    33   182 0.79 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 66691at50557         -            296     2e-16   59.0   8.2   3   7       4.6   3.3e+02   -0.8   0.1    40    58   210   228   163   237 0.58 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 66691at50557         -            296     2e-16   59.0   8.2   4   7   2.5e-06   0.00018   19.8   0.2    11    95   236   318   226   323 0.89 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 66691at50557         -            296     2e-16   59.0   8.2   5   7     0.093       6.7    4.8   0.0    16    60   366   409   353   423 0.70 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 66691at50557         -            296     2e-16   59.0   8.2   6   7   0.00015     0.011   13.9   0.0    22    91   426   494   419   502 0.84 -
33043at50557_568069_0:003d26|STRG.16130.1:395-2533|+  -            713 66691at50557         -            296     2e-16   59.0   8.2   7   7     0.035       2.5    6.2   0.0     9    95   623   708   618   713 0.71 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 66691at50557         -            296   1.2e-13   49.9   1.7   1   5   0.00043     0.031   12.4   0.1   122   196     9    75     3    80 0.82 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 66691at50557         -            296   1.2e-13   49.9   1.7   2   5   0.00011    0.0081   14.3   0.0    22    95    40   111    26   122 0.81 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 66691at50557         -            296   1.2e-13   49.9   1.7   3   5   6.7e-05    0.0048   15.1   0.1    25   102    85   160    75   199 0.72 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 66691at50557         -            296   1.2e-13   49.9   1.7   4   5   1.9e-05    0.0014   16.8   0.2    22   146   124   240   120   247 0.84 -
80377at50557_7220_0:002af5|STRG.18366.3:58-915|+      -            286 66691at50557         -            296   1.2e-13   49.9   1.7   5   5    0.0082      0.59    8.2   0.0    23    58   249   284   243   286 0.82 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 66691at50557         -            296   1.2e-13   49.9   1.7   1   5   0.00043     0.031   12.4   0.1   122   196     9    75     3    80 0.82 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 66691at50557         -            296   1.2e-13   49.9   1.7   2   5   0.00011    0.0081   14.3   0.0    22    95    40   111    26   122 0.81 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 66691at50557         -            296   1.2e-13   49.9   1.7   3   5   6.7e-05    0.0048   15.1   0.1    25   102    85   160    75   199 0.72 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 66691at50557         -            296   1.2e-13   49.9   1.7   4   5   1.9e-05    0.0014   16.8   0.2    22   146   124   240   120   247 0.84 -
80377at50557_7220_0:002af5|STRG.18366.4:58-915|+      -            286 66691at50557         -            296   1.2e-13   49.9   1.7   5   5    0.0082      0.59    8.2   0.0    23    58   249   284   243   286 0.82 -
56099at50557_34720_0:001a91|STRG.19375.1:86-1417|+    -            444 66691at50557         -            296   7.5e-12   44.0   0.4   1   2    0.0013     0.091   10.9   0.0   119   198    66   139    63   144 0.87 -
56099at50557_34720_0:001a91|STRG.19375.1:86-1417|+    -            444 66691at50557         -            296   7.5e-12   44.0   0.4   2   2     9e-10   6.4e-08   31.1   0.1    29   151   237   356   202   369 0.79 -
78072at50557_7070_0:002a52|STRG.18902.1:1098-1940|+   -            281 66691at50557         -            296   5.5e-11   41.2   8.2   1   3       7.3   5.2e+02   -1.4   0.0    34    53     3    22     1    34 0.66 -
