#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30983at50557_103372_0:001d08|STRG.1369.1:131-2146|+  -            672 30983at50557         -            589         0 1094.0  37.9   1   1         0         0 1093.7  37.9     1   589     7   663     7   663 0.93 -
15852at50557_103372_0:0023aa|STRG.2902.1:22-2829|+   -            936 30983at50557         -            589   1.9e-26   91.8   5.2   1   4    0.0092       7.7    3.9   0.0    71    99   304   332   277   357 0.49 -
15852at50557_103372_0:0023aa|STRG.2902.1:22-2829|+   -            936 30983at50557         -            589   1.9e-26   91.8   5.2   2   4   1.2e-14   9.8e-12   43.2   2.2    60   293   357   590   348   593 0.80 -
15852at50557_103372_0:0023aa|STRG.2902.1:22-2829|+   -            936 30983at50557         -            589   1.9e-26   91.8   5.2   3   4   2.3e-12   1.9e-09   35.6   0.0    72   272   536   736   535   738 0.93 -
15852at50557_103372_0:0023aa|STRG.2902.1:22-2829|+   -            936 30983at50557         -            589   1.9e-26   91.8   5.2   4   4   5.6e-11   4.7e-08   31.0   0.1    46   229   713   897   703   907 0.87 -
15589at50557_456900_0:000a2c|STRG.17051.1:59-2593|+  -            845 30983at50557         -            589   2.2e-26   91.6  35.4   1   6    0.0098       8.3    3.8   0.4    59   111    21    72    10    84 0.81 -
15589at50557_456900_0:000a2c|STRG.17051.1:59-2593|+  -            845 30983at50557         -            589   2.2e-26   91.6  35.4   2   6   1.8e-08   1.5e-05   22.7   2.5    91   196    94   200    89   220 0.85 -
15589at50557_456900_0:000a2c|STRG.17051.1:59-2593|+  -            845 30983at50557         -            589   2.2e-26   91.6  35.4   3   6    0.0038       3.2    5.2   0.3   211   355   262   302   232   314 0.56 -
15589at50557_456900_0:000a2c|STRG.17051.1:59-2593|+  -            845 30983at50557         -            589   2.2e-26   91.6  35.4   4   6   6.6e-08   5.6e-05   20.9   4.8   304   419   346   470   250   509 0.60 -
15589at50557_456900_0:000a2c|STRG.17051.1:59-2593|+  -            845 30983at50557         -            589   2.2e-26   91.6  35.4   5   6   6.4e-10   5.4e-07   27.5   2.3    71   233   392   545   387   560 0.84 -
15589at50557_456900_0:000a2c|STRG.17051.1:59-2593|+  -            845 30983at50557         -            589   2.2e-26   91.6  35.4   6   6   2.9e-16   2.4e-13   48.5   6.3   310   537   519   754   518   769 0.69 -
19158at50557_103372_0:000dad|STRG.3975.1:99-3311|+   -           1071 30983at50557         -            589   8.8e-13   46.6  13.5   1   2   2.3e-08     2e-05   22.4   1.7   299   439   443   590   419   603 0.81 -
19158at50557_103372_0:000dad|STRG.3975.1:99-3311|+   -           1071 30983at50557         -            589   8.8e-13   46.6  13.5   2   2   4.4e-10   3.7e-07   28.1   4.4    66   230   707   882   689   910 0.82 -
19158at50557_103372_0:000dad|STRG.3975.2:85-3894|+   -           1071 30983at50557         -            589   8.8e-13   46.6  13.5   1   2   2.3e-08     2e-05   22.4   1.7   299   439   443   590   419   603 0.81 -
19158at50557_103372_0:000dad|STRG.3975.2:85-3894|+   -           1071 30983at50557         -            589   8.8e-13   46.6  13.5   2   2   4.4e-10   3.7e-07   28.1   4.4    66   230   707   882   689   910 0.82 -
30983at50557_7394_0:001634|STRG.2069.2:3938-4765|+   -            276 30983at50557         -            589   5.5e-10   37.4   1.0   1   1   3.8e-12   3.2e-09   34.9   1.0   191   424    18   257     6   275 0.76 -
30983at50557_7394_0:001634|STRG.2069.1:3789-4586|+   -            266 30983at50557         -            589   1.1e-09   36.4   0.7   1   1   6.8e-12   5.7e-09   34.1   0.6   191   421    18   254     7   258 0.76 -
18461at50557_103372_0:0023e3|STRG.4947.1:161-2302|+  -            714 30983at50557         -            589   2.7e-06   25.2  20.0   1   4   0.00018      0.15    9.5   0.9   116   181    40   106    22   121 0.78 -
18461at50557_103372_0:0023e3|STRG.4947.1:161-2302|+  -            714 30983at50557         -            589   2.7e-06   25.2  20.0   2   4    0.0075       6.3    4.2   2.3   116   168   158   211   117   283 0.73 -
18461at50557_103372_0:0023e3|STRG.4947.1:161-2302|+  -            714 30983at50557         -            589   2.7e-06   25.2  20.0   3   4   9.4e-06    0.0079   13.8   1.7   173   249   340   416   315   440 0.69 -
18461at50557_103372_0:0023e3|STRG.4947.1:161-2302|+  -            714 30983at50557         -            589   2.7e-06   25.2  20.0   4   4    0.0072       6.1    4.3   0.0   416   462   446   497   437   509 0.84 -
35300at50557_103372_0:002ae9|STRG.13845.1:346-2103|+ -            586 30983at50557         -            589    0.0077   13.8   0.9   1   2     0.021        18    2.7   0.1   102   173   330   401   306   430 0.70 -
35300at50557_103372_0:002ae9|STRG.13845.1:346-2103|+ -            586 30983at50557         -            589    0.0077   13.8   0.9   2   2   0.00042      0.35    8.3   0.2    69   138   443   513   424   560 0.64 -
57156at50557_77166_0:0029c4|STRG.12402.1:510-1715|+  -            402 30983at50557         -            589    0.0089   13.6   0.1   1   3      0.31   2.6e+02   -1.1   0.0   415   473    54   115    40   127 0.66 -
57156at50557_77166_0:0029c4|STRG.12402.1:510-1715|+  -            402 30983at50557         -            589    0.0089   13.6   0.1   2   3   0.00027      0.22    9.0   0.0    83   234   134   289   123   318 0.75 -
57156at50557_77166_0:0029c4|STRG.12402.1:510-1715|+  -            402 30983at50557         -            589    0.0089   13.6   0.1   3   3    0.0077       6.4    4.2   0.0    80   198   267   387   263   394 0.72 -
57156at50557_77166_0:0029c4|STRG.12402.2:541-1746|+  -            402 30983at50557         -            589    0.0089   13.6   0.1   1   3      0.31   2.6e+02   -1.1   0.0   415   473    54   115    40   127 0.66 -
57156at50557_77166_0:0029c4|STRG.12402.2:541-1746|+  -            402 30983at50557         -            589    0.0089   13.6   0.1   2   3   0.00027      0.22    9.0   0.0    83   234   134   289   123   318 0.75 -
57156at50557_77166_0:0029c4|STRG.12402.2:541-1746|+  -            402 30983at50557         -            589    0.0089   13.6   0.1   3   3    0.0077       6.4    4.2   0.0    80   198   267   387   263   394 0.72 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/30983at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/30983at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/30983at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:05:22 2024
# [ok]
