#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
39392at50557_103372_0:000839|STRG.15663.1:113-1726|+  -            538 39392at50557         -            462  1.9e-223  741.3   1.6   1   1  8.2e-226  6.3e-223  739.6   1.6     1   462     1   538     1   538 0.92 -
39392at50557_7070_0:000e0a|STRG.15663.2:85-1621|+     -            510 39392at50557         -            462  1.1e-203  676.2   1.9   1   1    5e-206  3.9e-203  674.4   1.9    23   460     1   510     1   510 0.91 -
101448at50557_103372_0:002ac7|STRG.13817.1:125-1123|+ -            333 39392at50557         -            462   7.6e-36  122.9   0.1   1   2   8.1e-33   6.3e-30  103.4   0.0    14   186    14   184     4   228 0.91 -
101448at50557_103372_0:002ac7|STRG.13817.1:125-1123|+ -            333 39392at50557         -            462   7.6e-36  122.9   0.1   2   2     9e-07   0.00069   17.5   0.0   384   455   251   324   221   331 0.73 -
101448at50557_103372_0:002ac7|STRG.13817.2:190-1188|+ -            333 39392at50557         -            462   7.6e-36  122.9   0.1   1   2   8.1e-33   6.3e-30  103.4   0.0    14   186    14   184     4   228 0.91 -
101448at50557_103372_0:002ac7|STRG.13817.2:190-1188|+ -            333 39392at50557         -            462   7.6e-36  122.9   0.1   2   2     9e-07   0.00069   17.5   0.0   384   455   251   324   221   331 0.73 -
101448at50557_103372_0:002ac7|STRG.13817.3:106-1104|+ -            333 39392at50557         -            462   7.6e-36  122.9   0.1   1   2   8.1e-33   6.3e-30  103.4   0.0    14   186    14   184     4   228 0.91 -
101448at50557_103372_0:002ac7|STRG.13817.3:106-1104|+ -            333 39392at50557         -            462   7.6e-36  122.9   0.1   2   2     9e-07   0.00069   17.5   0.0   384   455   251   324   221   331 0.73 -
101448at50557_568069_0:002eb6|STRG.9807.1:956-2092|+  -            379 39392at50557         -            462   1.3e-21   76.0   0.0   1   2   1.1e-20   8.2e-18   63.4   0.0    18   179     9   166     4   174 0.91 -
101448at50557_568069_0:002eb6|STRG.9807.1:956-2092|+  -            379 39392at50557         -            462   1.3e-21   76.0   0.0   2   2   0.00012      0.09   10.5   0.0   405   452   332   379   319   379 0.89 -
53261at50557_520822_0:0000dd|STRG.20349.1:31-1992|+   -            654 39392at50557         -            462   6.1e-17   60.5   0.1   1   1   1.2e-19   9.4e-17   59.9   0.1    33   168    17   152     9   169 0.87 -
60951at50557_29031_0:002586|STRG.10804.1:101-1387|+   -            429 39392at50557         -            462   1.1e-12   46.5   0.9   1   2   1.3e-14     1e-11   43.3   0.1    30   133    33   134    29   186 0.82 -
60951at50557_29031_0:002586|STRG.10804.1:101-1387|+   -            429 39392at50557         -            462   1.1e-12   46.5   0.9   2   2      0.06        46    1.6   0.1   418   453   280   315   269   325 0.85 -
90208at50557_91411_0:001110|STRG.7074.1:251-1144|+    -            298 39392at50557         -            462   2.3e-08   32.3   0.1   1   1     4e-11   3.1e-08   31.9   0.1    18   136     1   120     1   153 0.81 -
53261at50557_34740_0:000601|STRG.9807.1:2177-3790|+   -            538 39392at50557         -            462   5.3e-08   31.1   0.0   1   1   9.9e-11   7.6e-08   30.6   0.0    26   131     3   115     1   173 0.74 -
90208at50557_103372_0:00186f|STRG.12325.1:200-1381|+  -            394 39392at50557         -            462   0.00062   17.7   0.2   1   1   1.6e-06    0.0012   16.7   0.2    36   126    67   156    59   164 0.87 -
90208at50557_103372_0:00186f|STRG.12325.2:278-1459|+  -            394 39392at50557         -            462   0.00062   17.7   0.2   1   1   1.6e-06    0.0012   16.7   0.2    36   126    67   156    59   164 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/39392at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/39392at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/39392at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:05:52 2024
# [ok]
