#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
72085at50557_520822_0:002380|STRG.16277.1:131-1669|+ -            513 72085at50557         -            399  9.2e-166  550.5   0.0   1   1  2.3e-167  1.8e-165  549.5   0.0     1   399    35   506    35   506 0.90 -
72085at50557_64793_0:002c2e|STRG.16277.2:64-798|+    -            245 72085at50557         -            399   2.4e-84  282.4   0.0   1   1     6e-86   4.8e-84  281.4   0.0   204   399    13   238     2   238 0.91 -
108140at50557_7070_0:0020e2|STRG.5247.2:298-1737|+   -            480 72085at50557         -            399     6e-65  218.5   0.0   1   1     1e-65   8.2e-64  214.8   0.0     1   387     1   455     1   460 0.80 -
108140at50557_7070_0:0020e2|STRG.3625.2:362-1807|+   -            482 72085at50557         -            399   3.6e-62  209.3   4.3   1   1   2.8e-61   2.2e-59  200.2   4.3     2   387     1   457     1   477 0.79 -
108140at50557_7070_0:0020e2|STRG.3625.1:362-1852|+   -            497 72085at50557         -            399   1.2e-58  197.7   5.1   1   2    0.0013      0.11   10.2   0.0     2    33     1    32     1    43 0.87 -
108140at50557_7070_0:0020e2|STRG.3625.1:362-1852|+   -            497 72085at50557         -            399   1.2e-58  197.7   5.1   2   2     9e-55   7.1e-53  178.8   3.1    36   387    56   472    47   492 0.79 -
108140at50557_7070_0:0020e2|STRG.5247.1:302-1919|+   -            416 72085at50557         -            399   1.3e-58  197.6   0.0   1   2   2.5e-23   1.9e-21   75.2   0.0     1   188     1   226     1   230 0.80 -
108140at50557_7070_0:0020e2|STRG.5247.1:302-1919|+   -            416 72085at50557         -            399   1.3e-58  197.6   0.0   2   2   3.1e-36   2.5e-34  117.7   0.0   243   387   232   391   228   396 0.88 -
72085at50557_197043_0:003e79|STRG.1118.1:2-523|+     -            174 72085at50557         -            399     2e-36  124.6   0.1   1   1   4.2e-38   3.3e-36  123.9   0.1   255   387     8   156     1   166 0.85 -
108140at50557_7070_0:0020e2|STRG.7005.1:226-1701|+   -            492 72085at50557         -            399   1.3e-32  112.0   0.0   1   2   1.3e-07   1.1e-05   23.4   0.0     7   110    39   147    34   178 0.81 -
108140at50557_7070_0:0020e2|STRG.7005.1:226-1701|+   -            492 72085at50557         -            399   1.3e-32  112.0   0.0   2   2   7.7e-27   6.1e-25   86.8   0.0   198   385   265   463   179   467 0.80 -
94143at50557_7029_0:006933|STRG.15146.1:587-1939|+   -            451 72085at50557         -            399     1e-30  105.8   0.7   1   1   1.5e-30   1.2e-28   99.0   0.7     3   385     6   435     4   437 0.78 -
94143at50557_7029_0:006933|STRG.15146.2:486-1838|+   -            451 72085at50557         -            399     1e-30  105.8   0.7   1   1   1.5e-30   1.2e-28   99.0   0.7     3   385     6   435     4   437 0.78 -
72085at50557_64459_0:00143b|STRG.9688.2:526-1974|+   -            483 72085at50557         -            399   2.4e-29  101.3   0.5   1   2   0.00036     0.029   12.1   0.1     4   134     7   135     4   178 0.74 -
72085at50557_64459_0:00143b|STRG.9688.2:526-1974|+   -            483 72085at50557         -            399   2.4e-29  101.3   0.5   2   2   4.5e-27   3.5e-25   87.6   0.0   234   385   291   456   273   468 0.85 -
126811at50557_39758_0:001e02|STRG.3215.1:490-1740|+  -            417 72085at50557         -            399     7e-29   99.7   0.1   1   2    0.0028      0.22    9.2   0.1    36   134     2    97     1   115 0.77 -
126811at50557_39758_0:001e02|STRG.3215.1:490-1740|+  -            417 72085at50557         -            399     7e-29   99.7   0.1   2   2   2.2e-27   1.7e-25   88.6   0.0   184   387   176   402   155   408 0.83 -
